cluster,n_cells,percentage
acinar,6978,21.59
acinar_minor_mhcclassII,144,0.45
alpha,8826,27.31
beta_major,7287,22.54
beta_minor,1372,4.24
delta,957,2.96
duct_acinar_related,1522,4.71
duct_major,335,1.04
endothelial,1016,3.14
epsilon,152,0.47
hybrid,2564,7.93
immune_stellates,195,0.6
pp,373,1.15
stellates,602,1.86
