,acinar,acinar_minor_mhcclassII,alpha,beta_major,beta_minor,delta,duct_acinar_related,duct_major,endothelial,epsilon,hybrid,immune_stellates,pp,stellates
ENSG00000163623,0.0,0.0,0.0,0.4614284,0.17659427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137575,0.0,0.59639794,0.0,0.38022953,0.21368718,0.0,0.9450805,1.142606,0.0,0.0,0.0,0.86402166,0.0,1.0580146
ENSG00000124762,0.4304332,0.29490387,0.0,0.31438193,0.0,0.0,1.041178,0.7277585,1.0474879,0.0,0.0,0.0,0.0,0.0
ENSG00000106591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23326436
ENSG00000151914,0.0,0.0,0.58702326,0.3492899,0.0,0.32395476,0.9098176,0.76498544,0.0,0.0,0.0,0.0,0.7062722,0.0
ENSG00000122873,0.0,0.0,0.55324113,0.39370978,0.270087,0.44163442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100941,0.0,0.0,0.66708124,0.32342628,0.0,0.4540833,0.77193296,0.4734073,0.85124135,0.0,0.0,0.0,0.3409311,0.41951433
ENSG00000156482,2.766666,3.334219,3.2148976,2.9531016,2.9434216,2.912348,3.3136656,2.9967542,3.472665,2.8769627,3.1576023,3.7583134,2.8729384,3.334858
ENSG00000265241,0.24237595,0.2728178,0.717507,0.37881553,0.0,0.43120602,1.0587065,1.03381,1.4363501,0.0,0.30191326,0.0,0.2578358,1.0595708
ENSG00000077721,0.0,0.0,0.0,0.0,0.0,0.0,0.32209367,0.4583076,0.0,0.0,0.0,0.0,0.0,0.47897613
ENSG00000167772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27551955
ENSG00000112473,0.0,0.0,0.4968033,0.22323358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5613074
ENSG00000160180,0.0,0.0,0.39796668,0.45410427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43421078,0.0
ENSG00000215301,0.0,0.0,0.3783588,0.17588447,0.0,0.0,0.51877904,0.52345705,0.0,0.0,0.0,0.0,0.0,0.3897651
ENSG00000110958,0.34573412,0.72022307,1.0843517,1.0649483,0.9289634,0.9528609,1.0468286,1.140285,1.363666,0.0,0.63336504,0.0,0.79695255,1.2114303
ENSG00000214026,0.26652342,0.5324927,0.0,0.30090916,0.0,0.32532626,0.0,0.66161025,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000091583,0.0,0.0,0.67045105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171766,1.0180243,0.4289328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
