cluster,count
B cell (Plasmocyte),13094
Enterocyte progenitor,12163
Enterocyte,8668
Stromal cell,5284
Gastric chief cell,4973
Goblet cell,4620
Fibroblast,3958
Basal cell,3712
B cell,3067
T cell,2727
Epithelial cell,2306
Macrophage,1898
Endothelial cell (APC),1483
Dendritic cell,972
Stratified epithelial cell,838
Fetal endocrine cell,676
Mast cell,600
Smooth muscle cell,409
Endothelial cell,174
Monocyte,136
Neutrophil,75
Fetal enterocyte,58
Fetal stromal cell,48
Endothelial cell (endothelial to mesenchymal transition),37
Fetal Neuron,19
Fetal neuron,13
Hepatocyte/Endodermal cell,12
Fetal epithelial progenitor,11
Fetal mesenchymal progenitor,7
Epithelial cell (intermediated),6
CB CD34+,6
M2 Macrophage,6
Primordial germ cell,5
Gastric endocrine cell,5
