author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
B cell,0.19452951757811757,0.3419022280945513,0.3365077684436104,3067
B cell (Plasmocyte),0.6466955876144937,0.1354404197838572,0.6751657124668305,13094
Basal cell,0.5455006078059639,0.1864232496873791,0.5914099358927745,3712
CB CD34+,0.2986086362379092,0.3458029799357039,0.44320934662653877,6
Dendritic cell,0.06489299275549044,0.2709488464711391,0.20172532021174652,972
Endothelial cell,-0.10865823726057743,0.21806917787022426,-0.1074264164496401,174
Endothelial cell (APC),0.3176858100743312,0.1941120742359878,0.3796788953857193,1483
Endothelial cell (endothelial to mesenchymal transition),-0.3780074870005609,0.2648506416472136,-0.33288829595912406,37
Enterocyte,0.32314060819746276,0.22289290494029831,0.3993035524148294,8668
Enterocyte progenitor,0.396875011897362,0.22004080687042687,0.46216110885919104,12163
Epithelial cell,0.35704715490485,0.31260585648337025,0.48081239218898797,2306
Epithelial cell (intermediated),0.5814126575567307,0.09911054895225993,0.604956179604702,6
Fetal Neuron,-0.4713232793871642,0.20041182567300228,-0.3726641671260475,19
Fetal endocrine cell,0.8852441952334537,0.17091578854546421,0.91611599757618,676
Fetal enterocyte,-0.2562164423175989,0.2672154508627953,-0.11526871130151148,58
Fetal epithelial progenitor,0.3126880687216869,0.39890799863143,0.4203775283859473,11
Fetal mesenchymal progenitor,-0.03717907758517134,0.464496487684193,0.21564558823350113,7
Fetal neuron,0.8771720960575184,0.05650840099661721,0.9051819050181406,13
Fetal stromal cell,-0.4522035099475148,0.27445636477620855,-0.33758381942353266,48
Fibroblast,0.4187129956748175,0.26752835150971016,0.5210699852862826,3958
Gastric chief cell,0.5225480078556035,0.19004211753400185,0.58228785163024,4973
Gastric endocrine cell,0.7167679761576848,0.23231339347472899,0.8104015324383663,5
Goblet cell,0.33396666907705647,0.21292559501377725,0.3847824732062396,4620
Hepatocyte/Endodermal cell,-0.07470465395937394,0.35574503650532974,0.11404180854739901,12
M2 Macrophage,0.1733076002863001,0.1149733627236063,0.153382021682255,6
Macrophage,-0.10249151651789766,0.17800076656526514,-0.07759623788560188,1898
Mast cell,0.5300158441429672,0.2148787749466904,0.5942279940861233,600
Monocyte,0.3037623600406131,0.2212623400156629,0.38761794324794113,136
Neutrophil,0.7620916646919096,0.18494860135618788,0.80766934234526,75
Primordial germ cell,-0.6185769695066681,0.13469031697672607,-0.581941724697376,5
Smooth muscle cell,0.5411809557084877,0.32875760711875596,0.6760307720476454,409
Stratified epithelial cell,0.7729615748974422,0.1837794591321935,0.8141737172502084,838
Stromal cell,-0.18268145381350392,0.22705495263535497,-0.15869205440477568,5284
T cell,0.19765624215415442,0.3354456623862469,0.32814928788756687,2727
