Broad cell type,mean_silhouette,std_silhouette,median_silhouette,count
Endothelial cell (lymphatic),0.75381696,0.21921252,0.7967714,334
Endothelial cell (vascular),0.62389153,0.140629,0.6626365,2412
Epithelial cell (alveolar type I),0.713573,0.17165178,0.75450313,7274
Epithelial cell (alveolar type II),0.54615366,0.17996114,0.6080035,15103
Epithelial cell (basal),-0.23087779,0.43356848,-0.43478888,142
Epithelial cell (ciliated),0.89320046,0.23431748,0.9295472,896
Epithelial cell (club),-0.043922413,0.32181218,-0.010580467,660
Fibroblast,0.82240134,0.17564729,0.8667587,1476
Immune (B cell),0.80967385,0.15487812,0.8554565,56
Immune (DC/macrophage),0.27837628,0.23272222,0.35290205,921
Immune (NK cell),0.6928589,0.11942768,0.72741,56
Immune (T cell),0.048417963,0.30103847,0.14229846,613
Immune (alveolar macrophage),0.5172804,0.194553,0.5674241,5121
Immune (mast cell),0.7714418,0.2354353,0.8076907,57
Pericyte/SMC,0.021702778,0.45571482,0.29604742,163
