,Endothelial cell (lymphatic),Endothelial cell (vascular),Epithelial cell (alveolar type I),Epithelial cell (alveolar type II),Epithelial cell (basal),Epithelial cell (ciliated),Epithelial cell (club),Fibroblast,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (alveolar macrophage),Immune (mast cell),Pericyte/SMC
COP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6168388,0.0,0.0
RASAL2,0.0,0.0,1.9978908,0.0,0.0,1.7288065,0.0,0.0,0.0,0.0,0.0,0.0,2.200788,0.0,2.121751
RALGPS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.899734,0.0,0.0,0.0,0.0,0.0,0.0
XPR1,0.0,0.0,0.0,0.0,2.0236707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9655356,0.0,0.0
LAMC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3828056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMCN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8528647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTPRC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8101983,2.85147,1.6717592,0.0,0.0
CD55,0.0,0.0,2.254699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESRRG,0.0,0.0,0.0,0.0,0.0,1.9352728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPATA17,0.0,0.0,0.0,0.0,0.0,1.9831874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RYR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2520456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDCCAG8,0.0,0.0,0.0,2.107866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9441979,0.0,0.0
AKT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0328345
EFCAB2,0.0,0.0,0.0,0.0,0.0,2.2052085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMYD3,0.0,0.0,2.842295,2.8504457,2.9022431,1.9769884,2.9094176,0.0,2.0796862,0.0,0.0,0.0,0.0,2.6490505,0.0
ADAM17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.200788,0.0,0.0
BIRC6,0.0,0.0,0.0,1.3621154,0.0,0.0,1.7033621,0.0,2.1856818,0.0,0.0,0.0,1.6793463,0.0,0.0
SLC8A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8050528,0.0,0.0,2.441275,0.0,0.0
EML4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5445182,0.0,0.0
PLEKHH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8430562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKCE,0.0,0.0,0.0,0.0,0.0,2.0334148,0.0,0.0,0.0,0.0,0.0,0.0,2.2339644,0.0,0.0
EPAS1,0.0,3.304933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPTBN1,0.0,0.0,2.0406594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCDC88A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.285838,0.0,0.0
USP34,0.0,0.0,0.0,1.693146,1.68205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WDPCP,0.0,0.0,0.0,0.0,0.0,2.0392046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEIS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0305324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAH6,0.0,0.0,0.0,0.0,0.0,2.538054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP39,0.0,0.0,1.4094234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFTPB,0.0,0.0,4.3737206,5.3404784,4.699513,0.0,5.3134785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.850864,0.0,0.0,0.0,0.0
AFF3,0.0,0.0,0.0,2.8104184,0.0,0.0,2.3540769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D8,0.0,0.0,0.0,0.0,0.0,1.9553117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNF149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4591775,0.0,0.0,2.7686133,0.0,0.0
IL18R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.915173,0.0
ACOXL,0.0,0.0,0.0,2.2677875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFAP221,0.0,0.0,0.0,0.0,0.0,2.0521095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPB41L5,0.0,0.0,2.2104895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCKAP5,0.0,0.0,3.8592687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGAT5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5817051,0.0,0.0
