,Endothelial cell (lymphatic),Endothelial cell (vascular),Epithelial cell (alveolar type I),Epithelial cell (alveolar type II),Epithelial cell (basal),Epithelial cell (ciliated),Epithelial cell (club),Fibroblast,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (alveolar macrophage),Immune (mast cell),Pericyte/SMC
RERE,0.0,0.0,0.7142857142857143,0.7238315897328513,0.7246432474681309,0.7287014084202903,0.7706156160150256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FHAD1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF4G3,0.0,0.0,0.0,0.0,0.0,0.9522694477013179,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0
CSF3R,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACF1,0.6279286018439701,0.6033380287034171,0.5927414468356541,0.6218036668641227,0.0,0.5976895349366325,0.5714285714285714,0.7425757305962699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCDC30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGBL4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAF1,0.8175645002296993,0.0,0.0,0.7857142857142857,0.8511892173971448,0.0,0.7895345432417733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFIA,0.6762597603457314,0.0,0.0,0.5714285714285714,0.5871177528585706,0.6306787260941097,0.6305314600467682,0.576471175466265,0.0,0.0,0.0,0.0,0.0,0.0,0.5926241108349392
PATJ,0.0,0.0,0.7641043492725917,0.719393083027431,0.7573024119649615,0.7142857142857143,0.7281924443585532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROR1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CACHD1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAI4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEGR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST6GALNAC3,0.9404695417199816,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST6GALNAC5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRL2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ODF2L,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPYD,0.0,0.0,0.0,0.7002776648317065,0.6428571428571429,0.0,0.6519829290253776,0.6572883810315814,0.0,0.7530828969819205,0.0,0.0,0.7110751271247864,0.0,0.0
VAV3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGI3,0.0,0.0,0.8421004414558411,0.8107813809599195,0.7857142857142857,0.0,0.8292399219104222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAG17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
