cluster_order
Fibroblast
Pericyte/SMC
Endothelial cell (vascular)
Endothelial cell (lymphatic)
Immune (alveolar macrophage)
Immune (DC/macrophage)
Immune (mast cell)
Immune (B cell)
Immune (NK cell)
Immune (T cell)
Epithelial cell (ciliated)
Epithelial cell (alveolar type II)
Epithelial cell (club)
Epithelial cell (basal)
Epithelial cell (alveolar type I)
