cluster_name,skos,manual_mapped_cid,cell_ontology_id
Endothelial cell (lymphatic),,,CL:0000183
Endothelial cell (lymphatic),,,CL:0000322
Endothelial cell (lymphatic),,,CL:0002138
Endothelial cell (lymphatic),,,CL:0002139
Endothelial cell (vascular),,,CL:0000057
Endothelial cell (vascular),,,CL:0000084
Endothelial cell (vascular),,,CL:0000097
Endothelial cell (vascular),,,CL:0000322
Endothelial cell (vascular),,,CL:0000583
Endothelial cell (vascular),,,CL:0002138
Endothelial cell (vascular),,,CL:0002139
Endothelial cell (vascular),,,CL:0002328
Epithelial cell (alveolar type I),,,CL:0000057
Epithelial cell (alveolar type I),,,CL:0000084
Epithelial cell (alveolar type I),,,CL:0000097
Epithelial cell (alveolar type I),,,CL:0000235
Epithelial cell (alveolar type I),,,CL:0000322
Epithelial cell (alveolar type I),,,CL:0000583
Epithelial cell (alveolar type I),,,CL:0002138
Epithelial cell (alveolar type I),,,CL:0002139
Epithelial cell (alveolar type I),,,CL:0002328
Epithelial cell (alveolar type I),,,CL:0002633
Epithelial cell (alveolar type II),,,CL:0000057
Epithelial cell (alveolar type II),,,CL:0000322
Epithelial cell (alveolar type II),,,CL:0000583
Epithelial cell (alveolar type II),,,CL:0002139
Epithelial cell (basal),,,CL:0002633
Epithelial cell (ciliated),,,CL:0000583
Epithelial cell (ciliated),,,CL:0002139
Epithelial cell (ciliated),,,CL:0002633
Epithelial cell (club),,,CL:0000057
Epithelial cell (club),,,CL:0002328
Fibroblast,,,CL:0000057
Fibroblast,,,CL:0000084
Fibroblast,,,CL:0000183
Fibroblast,,,CL:0000322
Fibroblast,,,CL:0000583
Fibroblast,,,CL:0002139
Immune (B cell),,,CL:0000084
Immune (B cell),,,CL:0000236
Immune (B cell),,,CL:0002139
Immune (DC/macrophage),,,CL:0000057
Immune (DC/macrophage),,,CL:0000084
Immune (DC/macrophage),,,CL:0000235
Immune (DC/macrophage),,,CL:0000236
Immune (DC/macrophage),,,CL:0000322
Immune (DC/macrophage),,,CL:0000583
Immune (DC/macrophage),,,CL:0000861
Immune (DC/macrophage),,,CL:0002139
Immune (NK cell),,,CL:0000084
Immune (NK cell),,,CL:0000814
Immune (T cell),,,CL:0000057
Immune (T cell),,,CL:0000084
Immune (T cell),,,CL:0000097
Immune (T cell),,,CL:0000183
Immune (T cell),,,CL:0000235
Immune (T cell),,,CL:0000236
Immune (T cell),,,CL:0000322
Immune (T cell),,,CL:0000814
Immune (T cell),,,CL:0002139
Immune (alveolar macrophage),,,CL:0000057
Immune (alveolar macrophage),,,CL:0000084
Immune (alveolar macrophage),,,CL:0000097
Immune (alveolar macrophage),,,CL:0000235
Immune (alveolar macrophage),,,CL:0000322
Immune (alveolar macrophage),,,CL:0000583
Immune (alveolar macrophage),,,CL:0002139
Immune (alveolar macrophage),,,CL:0002328
Immune (alveolar macrophage),,,CL:0002633
Immune (mast cell),,,CL:0000097
Immune (mast cell),,,CL:0000322
Immune (mast cell),,,CL:0002139
Pericyte/SMC,,,CL:0000057
Pericyte/SMC,,,CL:0000183
Pericyte/SMC,,,CL:0000236
Pericyte/SMC,,,CL:0000322
