Broad cell type,mean,std,median,count,q1,q3,f_score
Epithelial cell (ciliated),0.8932004705357143,0.23431747716961465,0.92954716,896,0.919409395,0.9360347375,0.8924010217113666
Fibroblast,0.8224013587696477,0.17564728452509315,0.8667587,1476,0.847004325,0.879424915,0.8294753086419753
Immune (B cell),0.8096738310714285,0.1548781229901592,0.85545648,56,0.827224525,0.8642779625,0.4444444444444444
Immune (mast cell),0.7714417926315789,0.23543531265665135,0.8076907,57,0.7896959,0.82124454,0.8011049723756906
Endothelial cell (lymphatic),0.7538169488922155,0.21921252358908364,0.7967714,334,0.765107525,0.815852855,0.8243243243243243
Epithelial cell (alveolar type I),0.7135729626624966,0.17165177716604585,0.75450313,7274,0.7042749125000001,0.7854523875,0.8963699799569446
Immune (NK cell),0.6928588744642857,0.11942768359230815,0.727410025,56,0.669006025,0.7619007250000001,0.78125
Endothelial cell (vascular),0.6238915318656716,0.14062898721511327,0.662636545,2412,0.5652908249999999,0.706284125,0.8184651762682718
Epithelial cell (alveolar type II),0.5461536234199019,0.17996113804679104,0.6080035,15103,0.51787273,0.6543470650000001,0.9374016043181648
Immune (alveolar macrophage),0.5172803869141378,0.19455300049150814,0.5674241,5121,0.50063777,0.61589456,0.8979826536968709
Immune (DC/macrophage),0.278376287954506,0.23272222267806886,0.35290205,921,0.15549776,0.45132965,0.4726622381195707
Pericyte/SMC,0.021702777914110433,0.4557148278414547,0.29604742,163,-0.46616168,0.323472305,0.5568445475638051
Immune (T cell),0.04841796395497553,0.3010384645492162,0.14229846,613,-0.114192314,0.28824127,0.7249190938511327
Epithelial cell (club),-0.04392241362715152,0.321812178621778,-0.010580467,660,-0.267260335,0.2525728825,0.2933673469387755
Epithelial cell (basal),-0.23087777885915492,0.433568482225493,-0.43478890000000003,142,-0.6558843999999999,0.247906495,0.2826086956521739
