,Endothelial cell (lymphatic),Endothelial cell (vascular),Epithelial cell (alveolar type I),Epithelial cell (alveolar type II),Epithelial cell (basal),Epithelial cell (ciliated),Epithelial cell (club),Fibroblast,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (alveolar macrophage),Immune (mast cell),Pericyte/SMC
ENSG00000142599,0.0,0.0,1.6924223,1.9534912,1.9654578,2.0053644,2.3717942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142621,0.0,0.0,0.0,0.0,0.0,1.9099746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075151,0.0,0.0,0.0,0.0,0.0,1.6558905,0.0,0.0,0.0,0.0,1.106512,0.0,0.0,0.0,0.0
ENSG00000119535,0.0,0.0,0.0,2.3834753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127603,2.451398,2.227662,2.0727763,2.4024532,0.0,2.1607404,1.4543008,3.5431588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000186409,0.0,0.0,0.0,0.0,0.0,2.5809758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000186094,0.0,0.0,0.0,0.0,0.0,3.545059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185104,2.227662,0.0,0.0,1.6834395,2.7310162,0.0,1.7785635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162599,2.8006883,0.0,0.0,1.7528441,2.0438843,2.4550319,2.4538188,1.8859882,0.0,0.0,0.0,0.0,0.0,0.0,2.1021698
ENSG00000132849,0.0,0.0,2.7071173,2.1053293,2.6312466,1.9547915,2.2489934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185483,0.0,0.0,2.3242207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158966,0.0,0.0,0.0,0.0,2.292735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000152763,0.0,0.0,0.0,0.0,0.0,1.9098518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000172260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0664544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000184005,3.110455,2.5923355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
