status,mean_silhouette,std_silhouette,median_silhouette,count
act_CD4,0.07137777766222068,0.32161584814754807,0.18966087696571257,1993
act_CD8,0.3227923993395428,0.3924885562571849,0.5125088980435691,2391
act_unassigned,-0.34481770509104687,0.19059098685801745,-0.39661382417945107,98
rest_CD4,0.025721353574410823,0.17244669650588598,0.09022500072534788,3056
rest_CD8,0.258237489664784,0.31222005377225837,0.3745824761041364,3350
rest_unassigned,-0.17673898515314646,0.14735544946397308,-0.12512502288206945,171
