,act_CD4,act_CD8,act_unassigned,rest_CD4,rest_CD8,rest_unassigned
LIMD2,0.5826715,0.6522203,0.569986,0.74593055,0.3871871,0.0
SNRPD1,0.4916485,0.0,0.0,0.0,0.0,0.0
MICOS13,0.36101335,0.4266702,0.0,0.0,0.0,0.0
PRDX1,0.75615704,0.81605536,0.0,0.0,0.0,0.0
NCL,0.7210541,0.6341847,0.0,0.0,0.0,0.0
NDUFB4,0.42456695,0.46046156,0.0,0.0,0.0,0.0
CYCS,0.76075745,0.79012465,0.0,0.0,0.0,0.0
HMGN1,0.70867693,0.6145867,0.0,0.0,0.0,0.0
C11orf58,0.58035976,0.48166198,0.0,0.0,0.0,0.0
MT-ND5,1.0355762,1.3517916,0.0,0.8269379,1.2926393,0.0
RPL36A,0.7432917,0.656951,0.86476433,0.70312095,0.0,0.0
RPL35,2.5588534,2.3040192,2.6362872,2.5071192,2.3260689,2.435381
ATP6V1G1,0.5842634,0.6695268,0.0,0.4441993,0.6127635,0.0
RPL23A,2.7624748,2.543611,2.8325062,2.9139628,2.7147357,2.8997824
LAMTOR5,0.4412227,0.47886944,0.0,0.0,0.0,0.0
CHCHD2,1.2444469,1.2517166,0.9413883,0.82704407,1.0067508,0.0
NAP1L1,0.96810347,0.7662294,0.8894779,1.0153953,0.7295704,1.0069125
ENSG00000232573,1.1357212,0.91849583,1.3696482,1.5001267,1.1368794,1.3391647
UQCRQ,0.7562449,0.7883934,0.0,0.0,0.0,0.0
SSR2,0.40827057,0.0,0.0,0.0,0.0,0.0
RPL26,2.7555711,2.4908414,2.8218787,2.8605614,2.6146805,2.8126607
NDUFB7,0.50996685,0.60486114,0.0,0.0,0.0,0.0
ENSG00000210082,1.7653728,1.9270463,1.6328422,1.7972792,2.0413575,2.0457158
RPS13,2.4680727,2.137483,2.5570803,2.568068,2.1711197,2.5068736
ENSG00000236552,0.6973524,0.0,0.0,0.85043836,0.0,0.0
MT-ND1,1.4510365,1.7962538,1.2131257,1.4564526,1.8972585,1.5987327
ENSG00000211459,0.51852804,0.74363106,0.0,0.0,0.6804183,0.0
PABPC1,1.5155851,1.1951503,1.4562685,1.6790786,1.1452751,1.6308929
ERP29,0.23904434,0.0,0.0,0.0,0.0,0.0
ENSG00000235576,0.0,1.1680527,0.0,0.0,0.94956017,0.0
RPS3,2.8329625,2.5528538,3.0209837,2.995593,2.777916,2.9170775
ANP32B,0.46930087,0.0,0.0,0.0,0.0,0.0
TRMT112,0.7289977,0.7947806,0.0,0.0,0.0,0.0
C19orf53,0.7525126,0.7489909,0.0,0.0,0.0,0.0
BAX,0.32801214,0.38883516,0.0,0.0,0.0,0.0
HLA-B,2.291119,2.4993923,2.0054731,2.167713,2.527349,2.2378583
CD47,0.3966229,0.0,0.0,0.0,0.0,0.0
GAPDH,1.9596078,2.2175138,1.6439611,1.8085107,2.1175346,1.5832175
UBE2D3,0.94277513,0.9625691,0.8283185,0.6373719,0.74380094,0.0
GBP2,0.33022374,0.0,0.0,0.0,0.0,0.0
PSME1,1.151527,1.0658939,0.9574733,0.8995562,1.0072359,0.80207276
NDUFA4,0.9981586,0.9805238,0.0,0.68247044,0.84285474,0.0
MZT2B,0.7317776,0.751875,0.0,0.6948377,0.48948866,0.0
UBL5,1.0043333,1.1533376,0.97690463,0.83845925,1.0451207,0.8144079
ARPC5,0.0,0.36256555,0.0,0.0,0.0,0.0
SLC25A5,0.45104262,0.0,0.0,0.0,0.0,0.0
UBA52,1.9778479,1.8562733,1.9367449,2.1011019,1.9386559,2.0614963
GADD45GIP1,0.6500737,0.7140159,0.0,0.0,0.0,0.0
RPSA,2.0794985,1.8644693,2.001717,2.0149698,1.7497503,1.8170458
RPS3A,2.5635011,2.1485207,2.7625058,2.7018247,2.295758,2.5570812
FKBP2,0.0,0.6280276,0.0,0.0,0.0,0.0
PTP4A2,0.6377418,0.83835,0.0,0.5415913,0.820518,0.0
PPIA,1.333706,1.3253151,0.9151195,1.0083699,1.0822659,0.8626696
SNU13,0.70296717,0.70645773,0.0,0.0,0.0,0.0
DDX21,0.7438009,0.62874556,0.0,0.0,0.0,0.0
PPDPF,0.7529189,0.8432962,0.0,0.813587,0.9584811,0.0
HNRNPH1,0.324797,0.0,0.8578243,0.0,0.0,0.0
TAP1,0.62281394,0.0,0.0,0.0,0.0,0.0
CD74,0.77353215,0.66613376,0.80841434,0.0,0.0,0.0
LTB,1.4456309,1.0153953,1.3795844,1.4842615,0.0,1.063521
PGK1,0.66317713,0.7776113,0.0,0.0,0.0,0.0
PPA1,0.45919943,0.0,0.0,0.0,0.0,0.0
ISCU,0.43900022,0.55775267,0.0,0.0,0.0,0.0
ENSG00000234883,0.44953084,0.0,0.0,0.0,0.0,0.0
PTMA,2.4824812,2.2858658,2.2480145,2.3824563,2.182657,2.2535472
TUBB4B,0.44683543,0.551049,0.0,0.0,0.0,0.0
FTL,2.1687663,2.4167688,2.1709073,2.2529883,2.3726878,2.2487159
ENSG00000229659,0.8269379,0.70527,1.2188725,0.94785553,0.93719995,0.0
IL2RG,0.46319926,0.80267024,0.0,0.0,0.0,0.0
CDC42SE2,0.3592831,0.37603125,0.0,0.4311883,0.39058512,0.0
PSMB6,0.44683543,0.4650321,0.0,0.0,0.0,0.0
LDHB,0.77123445,0.0,0.8455379,0.97085905,0.0,0.0
RPL13A,3.2371864,2.8424535,3.508974,3.5189517,3.1230168,3.3989727
TXN,1.3370965,1.3676723,0.0,0.0,0.0,0.0
RPL3,2.7833068,2.4558425,3.0164397,3.0313525,2.6035872,2.874871
HNRNPA1,1.5466704,1.4009885,1.3985775,1.4144335,1.3429856,1.4625887
PSMB8,0.512552,0.0,0.0,0.0,0.0,0.0
NDUFA3,0.46564633,0.5764926,0.0,0.0,0.0,0.0
COX7C,1.4479626,1.4174365,1.3960538,1.4332998,1.368686,1.4158176
ARID5B,0.35263705,0.0,0.0,0.0,0.0,0.0
PGAM1,0.5530657,0.66277605,0.0,0.0,0.0,0.0
FTH1,2.0278282,1.8759079,1.948113,2.1948993,2.0625792,2.2329378
RPS4Y1,0.8629018,0.8088991,1.1718726,1.1432443,0.9903988,1.0649798
ITM2B,0.43682882,0.73136735,0.7857493,0.97763324,1.0947175,0.978696
TOMM7,1.1376178,1.0127687,1.333262,1.339571,1.1811988,1.3002791
NDFIP1,0.196847,0.0,0.0,0.0,0.0,0.0
HNRNPA0,0.59523344,0.60513777,0.0,0.0,0.0,0.0
ENSG00000234851,0.807181,0.7475576,0.9570414,1.1163206,0.9796091,0.0
ACTR3,0.6114034,0.5369967,0.0,0.0,0.0,0.0
TMSB4X,3.5472822,3.6851697,3.6686146,3.962134,4.2111025,4.049918
RBX1,0.6913923,0.82041365,0.0,0.0,0.0,0.0
LINC01943,0.71793747,0.7597794,0.0,0.0,0.0,0.0
ENSG00000223551,0.52647173,0.6542081,0.0,1.3346887,1.5183004,1.2580245
RPL10,3.5092518,3.346916,3.6763313,3.7646546,3.4922683,3.6711583
MORF4L1,0.5504105,0.6657289,0.0,0.0,0.0,0.0
RPL39,3.1876,2.8471217,3.2595444,3.3030376,2.9280586,3.1944284
RBM8A,0.68446404,0.783058,0.0,0.0,0.0,0.0
PIM1,0.0,0.41001278,0.0,0.0,0.0,0.0
SEC61B,0.8254551,0.97115797,0.0,0.0,0.0,0.0
ATP5MC1,0.38409024,0.0,0.0,0.0,0.0,0.0
MYL12B,0.76895094,0.97657263,0.9174543,0.7063815,0.99905837,0.0
H2AZ1,0.8474655,0.87063897,0.83901197,0.0,0.0,0.0
COX6A1,0.9110444,0.96966535,0.39181298,0.0,0.80063283,0.0
ENSG00000178464,0.29712397,0.0,0.0,0.50146395,0.0,0.0
EIF5B,0.5909319,0.5034293,0.0,0.0,0.0,0.0
IFITM2,0.0,0.5387348,0.0,0.6321801,0.7340009,0.0
RPS17,2.5746818,2.2983732,2.4564788,2.4138765,2.209306,2.4394336
NDUFB1,0.5525142,0.6087018,0.0,0.0,0.0,0.0
ENSG00000230979,0.75484073,0.3974191,0.0,0.96022856,0.533342,0.0
CLDND1,0.0,0.7201532,0.0,0.0,0.7871486,0.0
RPS2,3.3655984,3.0378528,3.289136,3.316514,2.9346378,3.171453
RACK1,2.0528884,1.8217019,2.0681062,2.1262794,1.8262813,1.9657767
SRM,0.45397443,0.0,0.0,0.0,0.0,0.0
ANXA2,0.0,0.80829185,0.0,0.0,0.89488786,0.0
RPS15,2.7001019,2.4918346,2.8382397,2.8426473,2.628558,2.8076408
PCBP1,0.6424657,0.7233834,0.0,0.0,0.0,0.0
ARPC2,1.2646719,1.3887186,1.1422839,1.078309,1.2598779,1.0160542
SH3BGRL3,1.3980657,1.9973991,1.3236833,1.7701277,2.2420735,1.6485639
RPS21,2.3869233,2.159273,2.273231,2.37957,2.1726685,2.2596583
RPL41,3.5948482,3.4177685,3.7036119,3.7638392,3.6029623,3.7304788
RAN,1.0449454,0.97065985,0.36564273,0.0,0.0,0.0
ARID5A,0.5614759,0.0,0.0,0.0,0.0,0.0
RPL30,2.4860163,2.1953154,2.6044893,2.6527176,2.3692179,2.6214468
RANBP1,0.67879975,0.0,0.0,0.0,0.0,0.0
VAPA,0.24381903,0.0,0.0,0.0,0.0,0.0
CORO1A,0.89526445,1.0647973,0.8283185,0.7995936,0.9128297,0.0
NDUFB9,0.22168688,0.0,0.0,0.0,0.0,0.0
CNBP,0.57539266,0.42421848,0.0,0.0,0.0,0.0
MT-ND4,2.1256893,2.460549,2.0337849,2.1795835,2.6054091,2.2406049
NACA,1.6310543,1.4427285,1.5535536,1.6416368,1.4075599,1.4551587
YWHAZ,0.36221513,0.5406161,0.0,0.0,0.0,0.0
CD3E,0.48291373,0.7347452,0.0,0.55930305,0.8234534,0.0
HINT1,1.3600048,1.2951745,1.1604164,1.3526225,1.1904591,1.290675
RPS5,2.3020244,2.0003648,2.2582023,2.2956405,1.9627969,2.192028
LSM7,0.5664559,0.46236807,0.0,0.0,0.0,0.0
TPT1,2.6426828,2.4615757,2.6221082,2.802412,2.5327175,2.677392
ATF4,0.2595857,0.3159937,0.0,0.0,0.0,0.0
RPL13,3.354705,2.9974473,3.5505326,3.5455585,3.1605167,3.4701498
LRRFIP1,0.550684,0.7215851,0.0,0.0,0.0,0.0
TRIR,0.6836082,0.75170124,0.0,0.65642697,0.71612805,0.0
EDF1,0.9242825,0.99604833,0.87044847,0.7799492,0.90504754,0.0
GPX4,0.7745477,0.8553091,0.78569007,0.63522315,0.6489847,0.0
ATP5MC2,0.9267092,0.94446164,0.895042,0.7958567,0.89841604,0.0
S100A10,0.7580078,1.361522,0.0,1.2315727,1.6260655,1.2459967
CCNI,0.6639808,0.5378643,0.0,0.795172,0.0,0.0
RPL32,3.1458375,2.849867,3.3261318,3.266479,2.897644,3.2079215
RAD23A,0.3238945,0.32436067,0.0,0.0,0.0,0.0
SNRPG,1.038506,1.0701203,0.0,0.48882776,0.65847707,0.0
ENSG00000242299,1.3170439,0.9826658,1.3790879,1.3175329,1.017458,1.3640592
PRR13,0.36124533,0.0,0.0,0.0,0.0,0.0
EMP3,1.0749426,1.4105289,0.83265615,1.2514559,1.4963698,1.1230477
ENSG00000137970,0.6836082,0.0,0.8722039,1.0504966,0.8395535,1.2236927
SKP1,0.7617381,0.8284263,0.16805199,0.74867594,0.7846221,0.0
RPL4,1.8679454,1.5345579,1.9652635,1.8549724,1.4389396,1.7600943
ENSG00000269893,0.4972086,0.0,0.0,0.0,0.0,0.0
