clusterName,gene
MUC5B+ ductal cells,ENSG00000162896
MUC5B+ ductal cells,ENSG00000099139
Ductal cells,ENSG00000001626
Ductal cells,ENSG00000080493
Acinar-mix,ENSG00000142102
Acinar-mix,ENSG00000169783
Secretory acinar cells,ENSG00000179751
Stressed beta cells,ENSG00000175197
Stressed beta cells,ENSG00000087074
Stressed beta cells,ENSG00000163938
Beta cells,ENSG00000187634
Beta cells,ENSG00000171476
Delta cells,ENSG00000152804
Delta cells,ENSG00000131016
Alpha cells,ENSG00000170561
Gamma cells,ENSG00000108849
Endothelial cells,ENSG00000130300
Endothelial cells,ENSG00000102755
Quiescent stellate cells,ENSG00000107796
Activated stellate cells,ENSG00000163359
Activated stellate cells,ENSG00000142156
Idling acinar cells,ENSG00000133019
Macrophages,ENSG00000169554
Macrophages,ENSG00000019582
