,Adipocytes,Arterial SMC,Arterial endothelial cells,Atria-enriched endothelial cells,Atria-enriched pericytes,Atrial cardiomyocytes,Basic SMC,CMC-like endothelial cells,CMC-like pericytes,Capillary endothelial cells,Cytoplasmic cardiomyocytes,Fibroblast-like endothelial cells,Fibroblasts,Immune-related endothelial cells,Lymphatic endothelial cells,Lymphoid,MT-high fibroblasts,Mast cells,Mesothelial cells,Myeloid,NK cells,Neuronal cells,Stromal pericytes,Venous endothelial cells,Ventricle-enriched pericytes,Ventricular cardiomyocytes
ENSG00000175899,0.0,1.2014819,2.7805936,0.0,0.0,0.0,0.0,1.8413494,0.0,2.254699,0.0,0.0,0.0,2.1704776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8690995,1.9334992,0.0,0.0
ENSG00000128274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7203123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115977,0.0,0.0,0.0,1.0804157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5598245
ENSG00000154262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9198424,2.5575964,0.0,0.0,0.0,1.578338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000141338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.946768,2.6564083,0.0,0.0,0.0,2.342001,0.0,0.0,0.0,0.0,2.0279484,0.0,0.0,0.0,0.0
ENSG00000154258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.426009,2.0716133,0.0,0.0,0.0,0.92096615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000069431,0.0,0.0,0.0,0.0,1.9429162,0.0,0.0,0.0,1.9522799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8883605,0.0,2.3812447,0.0
ENSG00000154175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1003486,0.0,1.1377637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000099204,0.0,0.0,0.7622011,1.9734957,0.0,2.557798,0.0,2.0877988,2.2533,0.7661551,0.0,1.9854145,0.0,0.0,1.8756211,0.0,0.7473899,0.0,1.1390573,0.0,0.0,0.0,0.0,1.31811,0.0,3.1525102
ENSG00000224063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6342111,0.0,0.0,1.4640346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000229618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6613111
ENSG00000076555,3.8301878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7279167
ENSG00000072778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8894093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
