cluster,count
Ventricular cardiomyocytes,235692
Fibroblasts,177974
Capillary endothelial cells,87214
Ventricle-enriched pericytes,83573
Myeloid,59298
Atrial cardiomyocytes,57942
Cytoplasmic cardiomyocytes,29409
Arterial endothelial cells,28741
Atria-enriched endothelial cells,21909
Basic SMC,20418
Lymphoid,16636
Venous endothelial cells,16610
Stromal pericytes,15871
Atria-enriched pericytes,14592
Adipocytes,12678
MT-high fibroblasts,9687
Neuronal cells,7354
CMC-like endothelial cells,6947
Arterial SMC,5917
Immune-related endothelial cells,4914
NK cells,4302
CMC-like pericytes,3381
Mast cells,2927
Lymphatic endothelial cells,2766
Fibroblast-like endothelial cells,2564
Mesothelial cells,1696
