Curated_annotation,mean_silhouette,std_silhouette,median_silhouette,count
Adipocytes,0.5921989,0.18071775,0.638168,12678
Arterial SMC,0.18085197,0.092499934,0.20870605,5917
Arterial endothelial cells,-0.21826309,0.26003808,-0.14311367,28741
Atria-enriched endothelial cells,0.01908843,0.28198874,0.11534411,21909
Atria-enriched pericytes,-0.034827758,0.19277444,0.0053809425,14592
Atrial cardiomyocytes,0.43890402,0.3061979,0.5598013,57942
Basic SMC,-0.16990332,0.15162714,-0.17786984,20418
CMC-like endothelial cells,-0.25841743,0.22913922,-0.23488961,6947
CMC-like pericytes,0.1667622,0.3316286,0.3450616,3381
Capillary endothelial cells,-0.15834674,0.17525302,-0.1494558,87214
Cytoplasmic cardiomyocytes,-0.12541215,0.20237723,-0.11888668,29409
Fibroblast-like endothelial cells,-0.35331705,0.19187017,-0.34015226,2564
Fibroblasts,0.09039931,0.22412238,0.13356581,177974
Immune-related endothelial cells,-0.03354899,0.26660302,0.028135348,4914
Lymphatic endothelial cells,0.441876,0.23550524,0.5267565,2766
Lymphoid,0.0175931,0.24045742,0.059322555,16636
MT-high fibroblasts,0.75856173,0.09283378,0.7783004,9687
Mast cells,0.6713798,0.15849577,0.73215294,2927
Mesothelial cells,-0.17959562,0.34137818,-0.0043510012,1696
Myeloid,0.017561767,0.3102025,0.13021739,59298
NK cells,0.38514665,0.30938524,0.56113225,4302
Neuronal cells,0.6705788,0.14065513,0.7086693,7354
Stromal pericytes,-0.29523802,0.17845158,-0.3051116,15871
Venous endothelial cells,-0.39483395,0.13931409,-0.37311563,16610
Ventricle-enriched pericytes,-0.13443695,0.17683677,-0.10757499,83573
Ventricular cardiomyocytes,0.3955652,0.30819404,0.52341175,235692
