Curated_annotation,mean,std,median,count,q1,q3,f_score
MT-high fibroblasts,0.7585617143538763,0.09283378219811682,0.7783004,9687,0.73911762,0.80804345,0.8227649913887585
Mast cells,0.6713798133946532,0.15849576485651978,0.73215294,2927,0.64034845,0.7685922000000001,0.8323501018985305
Neuronal cells,0.6705788096537394,0.1406551271973478,0.7086693150000001,7354,0.628265815,0.76089732,0.835008480432188
Adipocytes,0.5921989267120603,0.18071774472083313,0.638167945,12678,0.5694780500000001,0.6905619175,0.7463609688740579
NK cells,0.3851466484361902,0.3093852546280089,0.561132255,4302,0.223892565,0.589839125,0.713070115724983
Atrial cardiomyocytes,0.43890401925721534,0.30619790865063923,0.559801275,57942,0.404135555,0.604377975,0.610385955304033
Lymphatic endothelial cells,0.44187598254078087,0.2355052366766862,0.5267564849999999,2766,0.42984680249999996,0.57449205,0.647800886464371
Ventricular cardiomyocytes,0.39556519019007125,0.3081940448943628,0.5234117300000001,235692,0.32721535999999996,0.5997239750000001,0.8765305092598964
CMC-like pericytes,0.166762197217693,0.33162858659075095,0.3450616,3381,-0.1664682,0.4385413,0.3977350252421885
Arterial SMC,0.18085196344893528,0.09249993650336105,0.20870605,5917,0.14591233,0.23964621,0.5246993238011666
Fibroblasts,0.09039930604420036,0.22412237525065679,0.13356580499999998,177974,-0.060486043499999996,0.27810420999999996,0.7067878102241392
Myeloid,0.01756176713560011,0.3102025231778077,0.13021738500000002,59298,-0.2093347475,0.28733580000000003,0.7775482965332351
Atria-enriched endothelial cells,0.019088430259789308,0.28198872602119096,0.11534411,21909,-0.21894677,0.26441228,0.661408121530821
Lymphoid,0.01759310182348389,0.2404574116190181,0.059322555,16636,-0.1495635625,0.2121697025,0.4747936760465348
Immune-related endothelial cells,-0.03354898708534798,0.26660301189995156,0.028135349,4914,-0.25350765,0.206821335,0.3028383172833249
Atria-enriched pericytes,-0.034827760080151794,0.19277444937133825,0.0053809428,14592,-0.16605405499999998,0.1207799625,0.1791230988593156
Mesothelial cells,-0.17959562008366156,0.34137817343585325,-0.004351001199999999,1696,-0.57229634,0.14585935,0.6925837320574163
Ventricle-enriched pericytes,-0.13443694175106416,0.1768367693154005,-0.10757499,83573,-0.24923852,0.013882173,0.6650829080411803
Cytoplasmic cardiomyocytes,-0.1254121462258547,0.20237722393832724,-0.11888668,29409,-0.29191402,0.050806355,0.4926038976285513
Arterial endothelial cells,-0.21826310330932727,0.2600380786620018,-0.14311367,28741,-0.41603163,0.016512426,0.5325255484971119
Capillary endothelial cells,-0.15834673718446773,0.17525301532625231,-0.1494558,87214,-0.24607489999999999,-0.03520960675,0.632976812866664
Basic SMC,-0.1699033215088051,0.1516271342780338,-0.17786984,20418,-0.257072525,-0.050900553,0.4238791845747407
CMC-like endothelial cells,-0.2584174467682631,0.2291392280939047,-0.23488961,6947,-0.450459345,-0.059644525500000004,0.1392363241610421
Stromal pericytes,-0.2952380095426963,0.17845158060970748,-0.3051116,15871,-0.44541146,-0.14903438,0.3811892380737056
Fibroblast-like endothelial cells,-0.35331705069251174,0.1918701702892485,-0.34015226499999995,2564,-0.512617525,-0.206214925,0.2028258887876025
Venous endothelial cells,-0.394833958006171,0.13931409247837973,-0.373115635,16610,-0.45626475499999997,-0.3148136625,0.4610051753244956
