Original_annotation,mean_silhouette,std_silhouette,median_silhouette,count
Endothelia_vascular_arterial_systemic,-0.016717374,0.17109275,-0.0041332636,83
Endothelia_vascular_venous_pulmonary,-0.19191517,0.12551078,-0.17047723,1762
Endothelia_vascular_venous_systemic,-0.1181072,0.20597878,-0.094541624,1529
Erythrocyte,-0.27522054,0.26872367,-0.22710401,313
Fibro_adventitial,-0.27927232,0.3442148,-0.3259263,3589
Fibro_alveolar,-0.22367,0.22820161,-0.28460038,2790
Fibro_immune_recruiting,-0.3057043,0.15418604,-0.29361245,51
Fibro_myofibroblast,-0.29965082,0.12508938,-0.26584533,538
Fibro_peribronchial,-0.09302257,0.26914755,-0.026859574,258
Fibroblast,-0.34630087,0.2655755,-0.3255702,5470
Fibromyocyte,-0.02708141,0.14771779,-0.009644059,98
Goblet,-0.5485789,0.16809773,-0.48789117,260
IGSF21+ Dendritic,0.17232117,0.15139447,0.21318373,278
ILC,-0.36441785,0.16762504,-0.36711478,397
ILC_A,0.19358657,0.24837966,0.2640295,276
ILC_B,0.2594581,0.16221996,0.31420562,137
Intermediate Monocyte,0.059112705,0.25004682,0.11414099,188
Ionocyte,-0.021996435,0.14995979,0.029267069,22
Ionocyte_n_Brush,0.07446375,0.13181528,0.106106706,20
Lipofibroblast,0.4454713,0.18421274,0.5101741,35
Lymph_vessel,0.083791204,0.17318831,0.09989217,337
Lymphatic,0.13458206,0.25293845,0.23046583,1440
MAIT,-0.4171984,0.13188379,-0.40910932,879
Macro_AW_CX3CR1,-0.33831185,0.23581372,-0.31463796,185
Macro_CCL,-0.40796417,0.21519895,-0.4045591,295
Macro_CHIT1,-0.117430024,0.124678895,-0.07769389,1433
Macro_alv,0.0029785119,0.2249584,0.078192204,14539
Macro_alveolar_metallothioneins,-0.4442174,0.18889272,-0.44592032,332
Macro_dividing,-0.30218923,0.22567835,-0.23654944,130
Macro_int,-0.28905168,0.20959823,-0.32021102,4241
Macro_interstitial,-0.5539506,0.1286092,-0.5465469,251
Macrophage,-0.408782,0.18559793,-0.4357831,55481
Macrophage_Alveolar,0.14280967,0.3127448,0.22197369,23905
Macrophage_Dividing,0.20529571,0.38614717,0.35312593,94
Macrophage_MARCOneg,-0.18049169,0.11143084,-0.18650289,937
Macrophage_MARCOpos,-0.36452553,0.18370326,-0.30953267,4512
Macrophage_intermediate,-0.4038201,0.19744883,-0.4181994,2309
Mast,0.12636213,0.28175193,0.23637043,165
Mast_cell,-0.39742157,0.1493343,-0.35993853,2209
Mast_cells,-0.23442012,0.18949395,-0.17250684,2911
Mesothelia,-0.4998274,0.17168254,-0.5419437,90
Mesothelial,-0.28056702,0.21081567,-0.31209153,75
Monocyte,-0.28824866,0.19751608,-0.2691445,6067
Monocyte_CD14,-0.14815655,0.22718522,-0.12762761,4980
Monocyte_CD16,-0.3878495,0.13759613,-0.40193152,3050
Mucous,0.2965921,0.28617877,0.40181172,491
Muscle_cells,-0.36289933,0.13369596,-0.36424857,839
Muscle_pericyte_airway,0.44159263,0.27543288,0.5673542,265
Muscle_pericyte_parenchyma,0.007884884,0.27097926,0.07241363,1087
Muscle_perivascular_immune_recruiting,0.018127987,0.2813381,0.1305083,25
Muscle_smooth_pulmonary,-0.30410802,0.11131718,-0.29951307,1159
Muscle_smooth_syst_arterial,-0.2081083,0.1376254,-0.16763404,92
Myeloid Dendritic Type 1,0.09742955,0.17176145,0.102152415,130
Myeloid Dendritic Type 2,0.03952947,0.26286697,0.07607025,236
Myofibroblast,-0.15450326,0.21486485,-0.13365096,452
NAF_endoneurial,-0.18342534,0.2829996,-0.23355988,18
NK,-0.4019187,0.14958774,-0.39974105,13162
NKT,-0.3859365,0.1706469,-0.42224818,1682
NK_CD11d,-0.2663392,0.21368712,-0.26956862,736
NK_CD16hi,-0.41334048,0.16097929,-0.39069885,5914
NK_CD56bright,-0.27166593,0.21018572,-0.30094928,744
NK_Dividing,-0.4431881,0.21107951,-0.45619547,130
Natural Killer,0.3821296,0.23992713,0.47843826,4250
Natural Killer T,0.054871503,0.20329788,0.05915375,335
Nonclassical Monocyte,0.15115775,0.28427497,0.2624001,604
OLR1+ Classical Monocyte,-0.16763774,0.1772903,-0.14088762,207
PNEC,0.6721908,0.17336039,0.76023966,17
Pericyte,0.20930144,0.2626896,0.325768,1632
Plasma,0.43133393,0.30198786,0.5670044,181
Plasma_cells,-0.26357043,0.20663235,-0.19108506,287
