,Bcells,CentralHep,Cholangiocyte,Erythroid,InfMac,InterHep,NKTcell,NonInfMac,PortalEndo,PortalHep,Stellate,cvLSECs
CFH,0.0,3.1118155,0.48064506,0.0,0.0,2.9825275,0.0,0.0,0.0,2.6763394,2.3770232,0.0
GCLC,0.0,0.76878303,0.0,0.0,0.0,0.18815278,0.0,0.0,0.0,0.0,0.0,0.0
CFLAR,0.0,0.9469304,1.1918151,0.0,0.0,0.69854045,0.0,0.0,1.677663,0.0,0.8987331,1.1203421
TFPI,0.0,1.5906655,1.1803653,0.0,0.0,1.5128881,0.0,0.0,1.9363503,0.0,1.5226921,2.3861601
SLC7A2,0.0,1.3066515,0.0,0.0,0.0,1.5878717,0.0,0.0,0.0,0.0,0.0,0.0
RBM6,0.0,1.327097,1.2074497,0.0,0.0,1.0085248,0.0,0.0,0.0,0.0,1.2931266,0.0
SLC25A13,0.0,1.8888366,0.0,0.0,0.0,1.4341912,0.0,0.0,0.0,0.0,0.0,0.0
ST7,0.0,0.6526147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6298535
CREBBP,0.0,0.67170864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PON1,0.0,1.0081654,0.0,0.0,0.0,0.9799967,0.0,0.0,0.0,0.0,0.0,0.0
ABCB4,0.0,2.1644833,0.0,0.0,0.0,1.4353894,0.0,0.0,0.0,0.0,0.0,0.0
IBTK,0.0,0.9232163,0.0,0.0,0.0,0.5828519,0.0,0.0,0.0,0.0,0.0,0.0
MYCBP2,0.0,0.9410786,0.0,0.0,0.0,0.59795564,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOR2,0.0,0.9546753,0.0,0.0,0.0,0.7605587,0.0,0.0,0.0,0.0,0.0,0.0
PAFAH1B1,0.0,0.5452911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FMO3,0.0,1.3088658,0.0,0.0,0.0,0.66221607,0.0,0.0,0.0,0.0,0.0,0.0
SPAG9,0.0,0.7632898,0.0,0.0,0.0,0.25391906,0.0,0.0,0.0,0.0,0.0,0.0
