,Bcells,CentralHep,Cholangiocyte,Erythroid,InfMac,InterHep,NKTcell,NonInfMac,PortalEndo,PortalHep,Stellate,cvLSECs
CFH,0.0,0.7511965307322416,0.6363636363636364,0.0,0.0,0.7404112870042975,0.0,0.0,0.0,0.7211134054444053,0.7088904922658746,0.0
GCLC,0.0,0.9777508107098666,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
CFLAR,0.0,0.5739281069148671,0.6295672329989347,0.0,0.0,0.5454545454545454,0.0,0.0,0.7368438189679926,0.0,0.5657045299356634,0.6117348237471147
TFPI,0.0,0.5772337480024858,0.5454545454545454,0.0,0.0,0.565435761755163,0.0,0.0,0.6364781964908947,0.0,0.5664777647365223,0.7050048871473833
SLC7A2,0.0,0.9090909090909091,0.0,0.0,0.0,0.9251913753422824,0.0,0.0,0.0,0.0,0.0,0.0
RBM6,0.0,0.759618797085502,0.7422498193654147,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.7533039775761691,0.0
SLC25A13,0.0,0.9309728416529569,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ST7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CREBBP,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PON1,0.0,0.9116309556094083,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ABCB4,0.0,0.9397131204605103,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
IBTK,0.0,0.9426065845922991,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
MYCBP2,0.0,0.9422369165854021,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOR2,0.0,0.9275756911797957,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
PAFAH1B1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FMO3,0.0,0.954004862091758,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
SPAG9,0.0,0.9697578170082786,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
AASS,0.0,0.9523845423351635,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
MGST1,0.0,0.7128433097492565,0.6363636363636364,0.0,0.0,0.7017094601284374,0.0,0.0,0.0,0.690929878841747,0.6365490393205122,0.0
ST3GAL1,0.0,0.924351388757879,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
SEC62,0.0,0.9090909090909091,0.0,0.0,0.0,0.917608607899059,0.0,0.0,0.0,0.0,0.0,0.0
RPS20,0.8181818181818182,0.0,0.0,0.0,0.9032896540381692,0.0,0.8863468224352057,0.0,0.0,0.0,0.0,0.0
UBE3C,0.0,0.9745137258009477,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
REV3L,0.0,0.9036594033241272,0.8281431685794484,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0
TENM1,0.0,0.9091419144110247,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
MASP2,0.0,0.9168810681863264,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
MLXIPL,0.0,0.7338031151077964,0.6682088971138,0.0,0.0,0.7065591432831504,0.0,0.0,0.0,0.7232445966113697,0.6363636363636364,0.0
ZNF207,0.0,0.9604774659330194,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
STAB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SCMH1,0.0,0.9090909090909091,0.9194701476530596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSPAN9,0.0,0.9420972845771096,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
PIK3C2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488636905496771,0.0,0.0,0.9090909090909091
RABGAP1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAP4K3,0.0,0.8181818181818182,0.8647213253107938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8547211181033741,0.0
TYROBP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NR1H4,0.0,0.7747435732321306,0.7272727272727273,0.0,0.0,0.7481062683192167,0.0,0.0,0.0,0.0,0.8088480396704241,0.0
SLC25A39,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAF2,0.0,0.9357733238827098,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
IGF1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RUFY3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WWTR1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMD4A,0.0,0.8495001034303145,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.8906558968804099,0.0
CPS1,0.0,0.7941895560784773,0.0,0.0,0.0,0.7829879847439852,0.0,0.0,0.0,0.7684670144861395,0.7272727272727273,0.0
C8B,0.0,0.9090909090909091,0.0,0.0,0.0,0.9100654829632152,0.0,0.0,0.0,0.0,0.0,0.0
RB1CC1,0.0,0.9366075450723822,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ALAS1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC2,0.0,0.9473564408042214,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
UBR2,0.0,0.9721088138493624,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
HSD17B6,0.0,0.846305863423781,0.0,0.0,0.0,0.8383819352496754,0.0,0.0,0.0,0.8181818181818182,0.0,0.0
SEC63,0.0,0.9300783005627719,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
VIM,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
