,Bcells,CentralHep,Cholangiocyte,Erythroid,InfMac,InterHep,NKTcell,NonInfMac,PortalEndo,PortalHep,Stellate,cvLSECs
ENSG00000000971,0.0,3.1118155,0.48064506,0.0,0.0,2.9825275,0.0,0.0,0.0,2.6763394,2.3770232,0.0
ENSG00000001084,0.0,0.76878303,0.0,0.0,0.0,0.18815278,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000003402,0.0,0.9469304,1.1918151,0.0,0.0,0.69854045,0.0,0.0,1.677663,0.0,0.8987331,1.1203421
ENSG00000003436,0.0,1.5906655,1.1803653,0.0,0.0,1.5128881,0.0,0.0,1.9363503,0.0,1.5226921,2.3861601
ENSG00000003989,0.0,1.3066515,0.0,0.0,0.0,1.5878717,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004534,0.0,1.327097,1.2074497,0.0,0.0,1.0085248,0.0,0.0,0.0,0.0,1.2931266,0.0
ENSG00000004864,0.0,1.8888366,0.0,0.0,0.0,1.4341912,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004866,0.0,0.6526147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6298535
ENSG00000005339,0.0,0.67170864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005421,0.0,1.0081654,0.0,0.0,0.0,0.9799967,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005471,0.0,2.1644833,0.0,0.0,0.0,1.4353894,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005700,0.0,0.9232163,0.0,0.0,0.0,0.5828519,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005810,0.0,0.9410786,0.0,0.0,0.0,0.59795564,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006831,0.0,0.9546753,0.0,0.0,0.0,0.7605587,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007168,0.0,0.5452911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007933,0.0,1.3088658,0.0,0.0,0.0,0.66221607,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008294,0.0,0.7632898,0.0,0.0,0.0,0.25391906,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008311,0.0,1.2081344,0.0,0.0,0.0,0.6327846,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008394,0.0,2.3248448,1.4874752,0.0,0.0,2.2380688,0.0,0.0,0.0,2.1274834,1.490515,0.0
ENSG00000008513,0.0,0.36750612,0.0,0.0,0.0,0.3058146,0.0,0.0,0.0,0.0,0.0,0.0
