author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
cd3_gd,-0.04043741,0.2559645,0.04180924,626
cd4_cm,0.08804583,0.40199894,0.29169038,172
cd4_naive,0.570441,0.22982544,0.6431761,29
cd4_tem,-0.45859438,0.25580513,-0.35075554,326
cd4_temra,0.48461914,0.33158928,0.6413751,79
cd4_treg,0.19374077,0.35686916,0.35705596,56
cd4_trm,-0.23340574,0.43057984,-0.08491591,217
cd8_cm,-0.043829996,0.49944207,0.23569895,23
cd8_mait,0.7724253,0.25361457,0.8309887,507
cd8_naive,-0.4722014,0.32212287,-0.45452565,20
cd8_tem,-0.26798984,0.15453242,-0.2594682,346
cd8_temra,0.09073012,0.20332146,0.13657793,811
cd8_trm,-0.13816406,0.355016,-0.12022209,680
dc1,0.91250956,0.09607459,0.94593346,11
dc2,0.24386059,0.35211182,0.3408673,32
ilc1,-0.29674724,0.2070384,-0.26890576,7
ilc3,-0.11126915,0.48448476,0.19235799,5
macrophage,-0.084632136,0.32148522,0.015186541,44
monocyte_classical,0.22727439,0.3127646,0.34297922,422
monocyte_nonclassical,0.5981701,0.22654949,0.69290745,230
nk_cd56br,0.3042048,0.3074143,0.47332874,576
nk_cd56dim,0.234871,0.26194122,0.33248287,1454
nk_ilc_precursor,-0.027505536,0.24376741,0.055065032,155
pdc,0.9413781,0.01975122,0.9498415,12
progenitor,0.1879569,0.30873063,0.375839,18
