cluster,count
Developing Ciliated Cells,3854
FOXJ1 high Ciliated Cells,3529
CCL5 high Squamous Cells,3452
Early Response FOXJ1 high Ciliated Cells,1848
Cilia high Ciliated Cells,1740
Basal Cells,1691
BEST4 high Cilia high Ciliated Cells,1616
Interferon Responsive Ciliated Cells,1326
BPIFA1 high Secretory Cells,1271
AZGP1 high Goblet Cells,1036
CD8 T Cells,1003
Erythroblasts,986
MUC5AC high Goblet Cells,944
SERPINB11 high Secretory Cells,813
SCGB1A1 high Goblet Cells,729
HOPX high Squamous Cells,646
Early Response Secretory Cells,605
VEGFA high Squamous Cells,603
Deuterosomal Cells,583
KRT24 KRT13 high Secretory Cells,563
SPRR2D high Squamous Cells,549
ITGAX high Macrophages,546
Developing Secretory and Goblet Cells,406
Ionocytes,399
Early Response T Cells,331
Mitotic Basal Cells,266
BPIFA1 and Chemokine high Secretory Cells,243
Inflammatory Macrophages,222
Dendritic Cells,142
Interferon Responsive Cytotoxic CD8 T Cells,141
Interferon Responsive Secretory Cells,138
AZGP1 SCGB3A1 LTF high Goblet Cells,98
MSR1 C1QB high Macrophages,82
B Cells,71
Enteroendocrine Cells,41
Interferon Responsive Macrophages,33
FFAR4 high Macrophages,20
Plasmacytoid DCs,13
Mast Cells,9
