,AZGP1 SCGB3A1 LTF high Goblet Cells,AZGP1 high Goblet Cells,B Cells,BEST4 high Cilia high Ciliated Cells,BPIFA1 high Secretory Cells,Basal Cells,CCL5 high Squamous Cells,CD8 T Cells,Cilia high Ciliated Cells,Dendritic Cells,Deuterosomal Cells,Developing Ciliated Cells,Developing Secretory and Goblet Cells,Early Response FOXJ1 high Ciliated Cells,Early Response Secretory Cells,Early Response T Cells,Enteroendocrine Cells,Erythroblasts,FOXJ1 high Ciliated Cells,HOPX high Squamous Cells,ITGAX high Macrophages,Interferon Responsive Ciliated Cells,Interferon Responsive Cytotoxic CD8 T Cells,Ionocytes,KRT24 KRT13 high Secretory Cells,MUC5AC high Goblet Cells,Mitotic Basal Cells,SCGB1A1 high Goblet Cells,SERPINB11 high Secretory Cells,SPRR2D high Squamous Cells,VEGFA high Squamous Cells
CHD9NB,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9202008863290151,0.0,0.0,0.0,0.0,0.9150417586167653,0.0,0.0,0.9017139951388041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000231621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000273674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEMD1-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000253802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9841166357199351
ACAD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982922104994456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667
ACADM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACADVL,0.0,0.6243083318074544,0.0,0.6393598894278208,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.5822272300720215,0.0,0.6567607005437215,0.5540430009365082,0.5550094187259674,0.0,0.0,0.0,0.5592650552590688,0.6885700205961863,0.0,0.5534594277540843,0.0,0.625251277287801,0.6448336402575175,0.0,0.0,0.6039372444152832,0.0,0.594822363058726,0.61915602684021
ACAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
