software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,Detailed_Cell_Annotations,Dendritic Cells,14,0.6666666666666666,1.0,0.2857142857142857,8853,0,10,4,2,"['HLA-DQB1', 'HLA-DQA1']","['ENSG00000114013', 'ENSG00000126353', 'ENSG00000197872', 'ENSG00000052795', 'ENSG00000179344', 'ENSG00000196735', 'ENSG00000112149', 'ENSG00000204287', 'ENSG00000119508', 'ENSG00000115956']",0.710269033908844
4.1,Detailed_Cell_Annotations,B Cells,12,0.875,1.0,0.5833333333333334,8855,0,5,7,2,"['MS4A1', 'FCRL1']","['ENSG00000156738', 'ENSG00000105369', 'ENSG00000211899', 'ENSG00000163534', 'ENSG00000211592', 'ENSG00000143297', 'ENSG00000102445', 'ENSG00000153064', 'ENSG00000012124', 'ENSG00000160683']",1.0
4.1,Detailed_Cell_Annotations,Early Response T Cells,50,0.6818181818181818,1.0,0.3,8817,0,35,15,3,"['DOK2', 'CSRNP1', 'NR4A3']","['ENSG00000147443', 'ENSG00000102760', 'ENSG00000144655', 'ENSG00000158050', 'ENSG00000119508', 'ENSG00000271503', 'ENSG00000118503', 'ENSG00000153234', 'ENSG00000081320', 'ENSG00000067082']",1.0
4.1,Detailed_Cell_Annotations,CD8 T Cells,301,0.5789473684210527,0.6505376344086021,0.4019933554817276,8501,65,180,121,2,"['PTPRC', 'LCP1']","['ENSG00000271503', 'ENSG00000082074', 'ENSG00000081320', 'ENSG00000118503', 'ENSG00000081237', 'ENSG00000136167', 'ENSG00000174718', 'ENSG00000067082', 'ENSG00000143384', 'ENSG00000173821']",0.1883299648761749
4.1,Detailed_Cell_Annotations,Interferon Responsive Cytotoxic CD8 T Cells,7,0.7894736842105263,1.0,0.4285714285714285,8860,0,4,3,2,"['GNLY', 'CD247']","['ENSG00000203747', 'ENSG00000100453', 'ENSG00000115523', 'ENSG00000135362', 'ENSG00000198821', 'ENSG00000111537', 'ENSG00000105374', 'ENSG00000145649', 'ENSG00000163508', 'ENSG00000185697']",1.0
4.1,Detailed_Cell_Annotations,Developing Ciliated Cells,934,0.4712260216847372,0.6174863387978142,0.2419700214132762,7793,140,708,226,1,['CIMAP3'],"['ENSG00000164972', 'ENSG00000173947', 'ENSG00000243955', 'ENSG00000108946', 'ENSG00000174844', 'ENSG00000070081', 'ENSG00000105519', 'ENSG00000133640', 'ENSG00000039139', 'ENSG00000130770']",0.2079071551561355
4.1,Detailed_Cell_Annotations,Deuterosomal Cells,35,0.6910569105691057,0.7727272727272727,0.4857142857142857,8827,5,18,17,1,['CDC20B'],"['ENSG00000164287', 'ENSG00000152669', 'ENSG00000144485', 'ENSG00000175455', 'ENSG00000070081', 'ENSG00000130770', 'ENSG00000074800', 'ENSG00000039139', 'ENSG00000188229', 'ENSG00000078674']",1.0
4.1,Detailed_Cell_Annotations,Cilia high Ciliated Cells,1052,0.6286656891495601,0.8186157517899761,0.3260456273764258,7739,76,709,343,2,"['DMD', 'DYNC2I1']","['ENSG00000180071', 'ENSG00000198947', 'ENSG00000155085', 'ENSG00000188596', 'ENSG00000104218', 'ENSG00000126870', 'ENSG00000157423', 'ENSG00000206530', 'ENSG00000197748', 'ENSG00000105877']",0.3055067360401153
4.1,Detailed_Cell_Annotations,BEST4 high Cilia high Ciliated Cells,1221,0.6148522757519297,0.7287066246056783,0.3783783783783784,7474,172,759,462,3,"['SPPL2B', 'MAPK15', 'CCDC187']","['ENSG00000005206', 'ENSG00000161996', 'ENSG00000226321', 'ENSG00000181085', 'ENSG00000105479', 'ENSG00000260220', 'ENSG00000142959', 'ENSG00000187492', 'ENSG00000175267', 'ENSG00000160401']",0.4558260440826416
4.1,Detailed_Cell_Annotations,Interferon Responsive Ciliated Cells,62,0.2597402597402597,0.3478260869565217,0.1290322580645161,8790,15,54,8,5,"['MX1', 'BLTP1', 'IFI27', 'RSPH1', 'ADAR']","['ENSG00000230453', 'ENSG00000157601', 'ENSG00000138688', 'ENSG00000165949', 'ENSG00000160188', 'ENSG00000160710', 'ENSG00000135940', 'ENSG00000105519', 'ENSG00000127948', 'ENSG00000163993']",0.2051596939563751
4.1,Detailed_Cell_Annotations,FOXJ1 high Ciliated Cells,1449,0.5245901639344263,0.5423728813559322,0.463768115942029,6851,567,777,672,5,"['IGFBP7', 'FAM216B', 'CIMIP1', 'SPAG6', 'RRAD']","['ENSG00000133115', 'ENSG00000163453', 'ENSG00000179813', 'ENSG00000124237', 'ENSG00000077327', 'ENSG00000166592', 'ENSG00000000003', 'ENSG00000164972', 'ENSG00000142973', 'ENSG00000105519']",0.3020997941493988
4.1,Detailed_Cell_Annotations,Early Response FOXJ1 high Ciliated Cells,628,0.6473684210526316,0.7735849056603774,0.3917197452229299,8167,72,382,246,4,"['CLDN3', 'FOXJ1', 'GDF15', 'KLF4']","['ENSG00000165215', 'ENSG00000129654', 'ENSG00000159388', 'ENSG00000130513', 'ENSG00000162772', 'ENSG00000136826', 'ENSG00000126432', 'ENSG00000162783', 'ENSG00000189143', 'ENSG00000120129']",0.4045039713382721
4.1,Detailed_Cell_Annotations,Erythroblasts,586,0.8741146168705731,0.861904761904762,0.9266211604095564,8194,87,43,543,1,['HBB'],"['ENSG00000244734', 'ENSG00000142621', 'ENSG00000174844', 'ENSG00000243955', 'ENSG00000133640', 'ENSG00000039139', 'ENSG00000131018', 'ENSG00000105519', 'ENSG00000198695', 'ENSG00000103534']",1.0
4.1,Detailed_Cell_Annotations,Ionocytes,92,0.8814102564102564,1.0,0.5978260869565217,8775,0,37,55,2,"['STAP1', 'DGKI']","['ENSG00000035720', 'ENSG00000249601', 'ENSG00000184908', 'ENSG00000157680', 'ENSG00000069122', 'ENSG00000154678', 'ENSG00000001626', 'ENSG00000123243', 'ENSG00000145362', 'ENSG00000106538']",1.0
4.1,Detailed_Cell_Annotations,Basal Cells,912,0.7452276064610867,0.8962472406181016,0.4451754385964912,7908,47,506,406,2,"['KRT15', 'COL7A1']","['ENSG00000171346', 'ENSG00000114270', 'ENSG00000186081', 'ENSG00000068078', 'ENSG00000196754', 'ENSG00000086570', 'ENSG00000120738', 'ENSG00000146648', 'ENSG00000151914', 'ENSG00000042980']",0.6990684270858765
4.1,Detailed_Cell_Annotations,Enteroendocrine Cells,10,0.9782608695652174,1.0,0.9,8857,0,1,9,1,['ENSG00000278869'],"['ENSG00000278869', 'ENSG00000224717', 'ENSG00000159224', 'ENSG00000049249', 'ENSG00000161956', 'ENSG00000101049', 'ENSG00000253802', 'ENSG00000280927', 'ENSG00000283683', 'ENSG00000121073']",1.0
