cluster,count
Fibroblast,16076
AT2 cell,7401
M2 Macrophage,5421
Endothelial cell (endothelial to mesenchymal transition),3681
Stratified epithelial cell,3603
Mesothelial cell,2611
Endothelial cell (APC),2573
Basal cell,2388
Macrophage,2229
Endothelial cell,1229
Neutrophil,1110
T cell,1079
Dendritic cell,819
Smooth muscle cell,691
Mast cell,679
Monocyte,537
B cell (Plasmocyte),493
Chondrocyte,421
Stromal cell,381
Epithelial cell,68
B cell,55
Fetal epithelial progenitor,42
Fetal mesenchymal progenitor,33
CB CD34+,9
Sinusoidal endothelial cell,9
Fetal stromal cell,8
Antigen presenting cell (RPS high),6
Neutrophil (RPS high),5
Fetal chondrocyte,5
Thyroid follicular cell,5
