cluster,n_cells,percentage
AT2 cell,7401,13.79
Antigen presenting cell (RPS high),6,0.01
B cell,55,0.1
B cell (Plasmocyte),493,0.92
Basal cell,2388,4.45
CB CD34+,9,0.02
Chondrocyte,421,0.78
Dendritic cell,819,1.53
Endothelial cell,1229,2.29
Endothelial cell (APC),2573,4.79
Endothelial cell (endothelial to mesenchymal transition),3681,6.86
Epithelial cell,68,0.13
Fetal chondrocyte,5,0.01
Fetal epithelial progenitor,42,0.08
Fetal mesenchymal progenitor,33,0.06
Fetal stromal cell,8,0.01
Fibroblast,16076,29.96
M2 Macrophage,5421,10.1
Macrophage,2229,4.15
Mast cell,679,1.27
Mesothelial cell,2611,4.87
Monocyte,537,1.0
Neutrophil,1110,2.07
Neutrophil (RPS high),5,0.01
Sinusoidal endothelial cell,9,0.02
Smooth muscle cell,691,1.29
Stratified epithelial cell,3603,6.71
Stromal cell,381,0.71
T cell,1079,2.01
Thyroid follicular cell,5,0.01
