cluster,count
Macrophage,14734
Capillary,7391
Capillary Aerocyte,4352
Natural Killer,4250
Alveolar Epithelial Type 2,3814
CD4+ Memory/Effector T,2419
Pericyte,1608
Artery,1484
CD8+ Naive T,1411
Basophil/Mast 1,1349
Ciliated,1321
Alveolar Fibroblast,1296
Vein,1155
Classical Monocyte,1013
Alveolar Epithelial Type 1,972
Club,926
CD8+ Memory/Effector T,771
Airway Smooth Muscle,693
Signaling Alveolar Epithelial Type 2,669
Capillary Intermediate 1,628
Nonclassical Monocyte,604
Adventitial Fibroblast,557
Basophil/Mast 2,552
Mucous,491
Vascular Smooth Muscle,469
Lymphatic,467
Capillary Intermediate 2,464
Bronchial Vessel 1,455
Basal,430
Natural Killer T,335
CD4+ Naive T,288
IGSF21+ Dendritic,278
B,250
Differentiating Basal,249
Myofibroblast,248
Myeloid Dendritic Type 2,236
Bronchial Vessel 2,235
Proliferating Macrophage,226
OLR1+ Classical Monocyte,207
Intermediate Monocyte,188
Plasma,181
TREM2+ Dendritic,159
Goblet,159
Proximal Basal,157
EREG+ Dendritic,142
Myeloid Dendritic Type 1,130
Plasmacytoid Dendritic,116
Proliferating NK/T,101
Fibromyocyte,98
Proximal Ciliated,88
Proliferating Basal,45
Lipofibroblast,35
Mesothelial,29
Serous,24
Ionocyte,22
Platelet/Megakaryocyte,11
Neuroendocrine,11
