,Adventitial Fibroblast,Airway Smooth Muscle,Alveolar Epithelial Type 1,Alveolar Epithelial Type 2,Alveolar Fibroblast,Artery,B,Basal,Basophil/Mast 1,Basophil/Mast 2,Bronchial Vessel 1,Bronchial Vessel 2,CD4+ Memory/Effector T,CD4+ Naive T,CD8+ Memory/Effector T,CD8+ Naive T,Capillary,Capillary Aerocyte,Capillary Intermediate 1,Capillary Intermediate 2,Ciliated,Classical Monocyte,Club,Differentiating Basal,EREG+ Dendritic,Fibromyocyte,Goblet,IGSF21+ Dendritic,Intermediate Monocyte,Ionocyte,Lipofibroblast,Lymphatic,Macrophage,Mesothelial,Mucous,Myeloid Dendritic Type 1,Myeloid Dendritic Type 2,Myofibroblast,Natural Killer,Natural Killer T,Neuroendocrine,Nonclassical Monocyte,OLR1+ Classical Monocyte,Pericyte,Plasma,Plasmacytoid Dendritic,Platelet/Megakaryocyte,Proliferating Basal,Proliferating Macrophage,Proliferating NK/T,Proximal Basal,Proximal Ciliated,Serous,Signaling Alveolar Epithelial Type 2,TREM2+ Dendritic,Vascular Smooth Muscle,Vein
ENSG00000111206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000141759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7260705669011388,0.0,0.0,0.6985458465559142,0.0,0.0,0.7736286552889007,0.0,0.0,0.8182587176561356,0.0,0.0,0.7053400874137878,0.6911356523633003,0.6896697112492153,0.698797627219132,0.7025626535926547,0.0,0.0,0.0,0.7649128500904355,0.0,0.0,0.0,0.7114644912736756,0.740752429834434,0.7399929836392403,0.7271103135177067,0.7265870209251132,0.0,0.7429074666329792,0.7702707456690925,0.6785714285714286,0.0,0.7210609912872314,0.0,0.0
ENSG00000143001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.922241992184094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8593696440969195,0.0,0.0,0.0,0.0,0.9293835727231843,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8577813452907971,0.8807664502944265,0.863042587680476,0.0,0.872147516480514,0.8622446656227112,0.0,0.0,0.0,0.0,0.0
ENSG00000168522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.9282923841050693,0.0,0.0,0.8571579339248794,0.875039533845016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8745719279561724,0.8992863552910941,0.8813111154096467,0.0,0.8863864892295429,0.0,0.0,0.0,0.8619276082941464,0.0,0.0
ENSG00000260032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8776627204247883,0.0,0.0,0.823558930839811,0.0,0.0,0.8619706556200981,0.0,0.0,0.0,0.0,0.0,0.0,0.8280598946980068,0.8214285714285714,0.0,0.0,0.0,0.0,0.0,0.8298054337501526,0.0,0.0,0.0,0.0,0.0,0.8594377264380455,0.8432581807885852,0.0,0.0,0.8339399067418916,0.864014632999897,0.8244938946196011,0.0,0.0,0.0,0.0
ENSG00000115419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.9877224138804844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972638093999454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9872461280652455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9677458309701511,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000161526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444047680922917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8864252663084439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.8758357656853539,0.9023787091885295,0.8888769692608288,0.0,0.8781588673591614,0.0,0.0,0.0,0.8773169379149165,0.0,0.0
ENSG00000182149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9343395531177521,0.9373048331056323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9475128757102149,0.9285714285714286,0.9374861344695091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000034239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9750059438603265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.9784586653113365,0.0,0.0,0.0,0.0,0.0
ENSG00000170421,0.0,0.0,0.8055263800280434,0.7353626989892551,0.0,0.0,0.0,0.7474374866911343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7652116907494408,0.0,0.7405094589505877,0.7893004779304776,0.0,0.0,0.8113880902528763,0.0,0.0,0.8159033762557166,0.0,0.0,0.0,0.7768704571894237,0.7244399477328572,0.0,0.0,0.0,0.0,0.0,0.7574505593095507,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7819423505238124,0.0,0.0,0.7708060933010918,0.7537357785872051,0.7160528898239136,0.7227912545204163,0.0,0.0,0.0
