Cell_label,mean_silhouette,std_silhouette,median_silhouette,count
Aberrant erythroid,0.6950657008005808,0.2186388267082673,0.7686108382420809,182
CD4+ cytotoxic T cells,0.3385011340365949,0.30822604744583365,0.4763349357668567,418
CD4+ memory T cells,0.10217868592149106,0.2771904794445772,0.18926650096083966,4555
CD4+ naive T cells,0.25661755061129743,0.23659831816702487,0.3458379319620574,505
CD8+ central memory T cells,-0.05764296320562038,0.16453845126102018,-0.029875868979123643,2364
CD8+ effector memory T cells,0.10820172844343323,0.2998619246339881,0.2008132688263345,3769
CD8+ naive T cells,0.516724672418764,0.2765231546603718,0.6391640855342262,339
CD8+CD103+ tissue resident memory T cells,-0.2936137301366076,0.20529941831224743,-0.29694436110929395,1886
CD11c+ memory B cells,0.2833150975137777,0.24237707470435477,0.4023838886272698,103
CD56brightCD16- NK cells,0.33930476501121243,0.1661162296487649,0.37805672468089013,300
CD56dimCD16+ NK cells,-0.07397305230529475,0.2179720828014582,-0.03310270550170777,5112
CD69+PD-1+ memory CD4+ T cells,0.015836054206884605,0.26596065928866147,0.04720425777466142,52
Class switched memory B cells,-0.054432745570053356,0.22866375933514052,-0.05408172570501141,1449
Classical Monocytes,0.3372136369797292,0.2094647900215419,0.4051238646226331,3083
Conventional dendritic cell 1,0.10459214052702477,0.28103474493149405,0.19231900278300867,1180
Conventional dendritic cell 2,0.40698741870368915,0.34883336476636234,0.5604054531151819,586
Early erythroid progenitor,0.30130504912563094,0.24314859314114382,0.3619730177735388,1950
Early promyelocytes,0.11694415187933382,0.34057884195583854,0.21834798302559963,947
Eosinophil-basophil-mast cell progenitors,0.4447328047742968,0.4408037564871238,0.6560764188079147,199
Erythro-myeloid progenitors,0.4520199855513595,0.2542042374835172,0.5575306866589752,492
GammaDelta T cells,-0.07065659597931476,0.3220572469537887,0.02131363453783439,667
HSCs & MPPs,0.36666743353620174,0.27917130184821504,0.48247404215629575,1908
Immature B cells,0.6301072486980882,0.21931375366129371,0.7086824599687284,466
Late erythroid progenitor,0.4175269010182637,0.25684283593495977,0.5210005453312866,1887
Late promyelocytes,0.09247716589493762,0.2908495285335247,0.20587467794593858,712
Lymphomyeloid prog,-0.04248054332873848,0.30531244646215283,0.03251468607306439,1454
Mature naive B cells,0.38237098480337733,0.21181358415787535,0.4497528602566716,4068
Megakaryocyte progenitors,0.1361224841082893,0.3358828831242712,0.2538938874532525,666
Mesenchymal cells_1,0.9885599141056661,0.007967405360989152,0.9922593272112774,17
Myelocytes,-0.05865073946509283,0.24642143342305609,-0.027527783587832054,1401
NK T cells,0.012874883410463717,0.18542386937229507,0.03882380850724565,152
NK cell progenitors,0.7716750222975158,0.3432106261821175,0.880881967391779,26
Non-classical monocytes,0.6649483199293443,0.2227159242363105,0.7150979351382326,996
Nonswitched memory B cells,-0.09833168836128171,0.26946997931171063,-0.07057429644627689,2811
Plasma cells,0.8327636514454648,0.23466407026542488,0.878209464389365,486
Plasmacytoid dendritic cell progenitors,0.22574409771703044,0.25030392891292236,0.29018112842070237,571
Plasmacytoid dendritic cells,0.6549148808349425,0.16995122274589222,0.7014331154296813,344
Pre-B cells,0.3207421174775528,0.29808972284641577,0.4448600309107006,456
Pre-pro-B cells,0.4023880872606731,0.24641884145410067,0.5473499084839135,17
Pro-B cells,0.14536179110306588,0.30905953642193257,0.23219559820490102,474
