cell.type,mean,std,median,count,q1,q3,f_score
Microfold cell,0.9145460488564054,0.320966481976706,0.9689036022146328,35,0.9686387598867252,0.96897880115452,0.9776536312849162
Tuft cell,0.8571702503207357,0.12752381733064824,0.8795293170015445,844,0.8515062302752555,0.8937112393549829,0.9313991323210412
Paneth cell,0.815070715576427,0.20901954333843928,0.8528811014379922,134,0.8345696155618412,0.8774893972781241,0.8085106382978723
Enteroendocrine cell subset 2,0.701473820062944,0.11788515896337685,0.7635816010497491,217,0.6329758422815518,0.7792506854204624,0.9558067831449126
BEST4+ cell,0.7002434092824704,0.16374067571670314,0.7454064302579059,985,0.7036320437095602,0.7730585583908169,0.8442829186469109
Goblet cell subset 2,0.5932270554476496,0.35424223219766227,0.708149351784618,596,0.669326836864339,0.7310742453638673,0.2677998717126363
Mature enterocyte subset 2,0.6159834094170222,0.18834319576268807,0.6922567256812244,564,0.5958932698621326,0.7276875261026463,0.9289176090468496
Transit amplifying cell subset 1,0.6241488338878114,0.16935120378625282,0.672903913257532,1786,0.5711800517006757,0.724954117435045,0.7336435806186696
Goblet progenitor,0.5619194492458711,0.2253903547301379,0.6423669015410342,300,0.5418966774816056,0.677960969322112,0.7142857142857143
Mature enterocyte subset 1,0.5678535023473591,0.2062279360736039,0.6309484867984918,499,0.5208536674747475,0.6893970773145042,0.8017103153393907
Stem cell,0.5074339281959085,0.32639015168883484,0.6271146012710157,816,0.5438843267632489,0.6622366013543061,0.5889423076923077
Enterocyte subset 2,0.45767455611396823,0.30661296239166563,0.596222537806038,261,0.3863016218769331,0.6488885652689765,0.6366723259762309
Enteroendocrine cell subset 1,0.5065343071708044,0.16333957294933676,0.5743927877137377,563,0.40424800062004584,0.6109182816342205,0.7701492537313432
Enterocyte subset 1,0.4266312526881742,0.28363043605280486,0.5308442123006123,705,0.3573897799021263,0.6122701294593224,0.5575459023734886
Goblet cell subset 1,0.345820575262668,0.25923585227067425,0.45498834010877937,1876,0.21935500216717757,0.5323390506225124,0.8649977648636566
Enterocyte progenitor cell subset 3,0.38352558457543734,0.2003861493412786,0.4362472482960228,1514,0.30310110413492364,0.5281720797856693,0.3490531006312662
Transit amplifying cell subset 2,0.26568952244348587,0.24969202617006875,0.3268109451215217,1626,0.17887445625324666,0.44972512321979713,0.6791656319841073
Transit amplifying cell subset 3,0.16962218251398217,0.3468878651579064,0.2930246062274464,1516,0.1434170789424189,0.39420262745354506,0.3777292576419214
Goblet cell subset 3,-0.26808889026855365,0.29411972301871664,-0.2068484543072464,1033,-0.4962533476806511,-0.0003399830237691,0.5513370749422252
Enterocyte progenitor cell subset 2,-0.3071499337509527,0.21752620206591267,-0.26658626125095874,748,-0.42573002974512464,-0.1401700362453278,0.2220998531571218
enterocyte progenitor subset 1,-0.25912341246759674,0.19226834805835494,-0.2748048959126736,2119,-0.3931619297921139,-0.10059104592576279,0.4369295226694598
Mixed cell types,-0.5051494913798741,0.27746094179052866,-0.5334986042243671,463,-0.7406867029494835,-0.206837486411419,0.4084442404772831
