cell.type,mean_silhouette,std_silhouette,median_silhouette,count
enterocyte progenitor subset 1,-0.25912341246759674,0.19226834805835497,-0.2748048959126736,2119
Goblet cell subset 1,0.345820575262668,0.25923585227067425,0.45498834010877937,1876
Transit amplifying cell subset 1,0.6241488338878114,0.16935120378625282,0.672903913257532,1786
Transit amplifying cell subset 2,0.26568952244348587,0.24969202617006878,0.3268109451215217,1626
Transit amplifying cell subset 3,0.1696221825139822,0.34688786515790637,0.29302460622744647,1516
Enterocyte progenitor cell subset 3,0.38352558457543734,0.20038614934127855,0.4362472482960228,1514
Goblet cell subset 3,-0.26808889026855365,0.29411972301871664,-0.20684845430724644,1033
BEST4+ cell,0.7002434092824704,0.16374067571670314,0.7454064302579059,985
Tuft cell,0.8571702503207357,0.12752381733064824,0.8795293170015445,844
Stem cell,0.5074339281959086,0.32639015168883484,0.6271146012710157,816
Enterocyte progenitor cell subset 2,-0.30714993375095273,0.21752620206591264,-0.26658626125095874,748
Enterocyte subset 1,0.4266312526881742,0.28363043605280486,0.5308442123006123,705
Goblet cell subset 2,0.5932270554476496,0.35424223219766227,0.708149351784618,596
Mature enterocyte subset 2,0.6159834094170222,0.18834319576268807,0.6922567256812244,564
Enteroendocrine cell subset 1,0.5065343071708044,0.16333957294933676,0.5743927877137377,563
Mature enterocyte subset 1,0.5678535023473591,0.20622793607360387,0.6309484867984918,499
Mixed cell types,-0.5051494913798741,0.27746094179052866,-0.5334986042243671,463
Goblet progenitor,0.5619194492458711,0.2253903547301379,0.6423669015410342,300
Enterocyte subset 2,0.45767455611396823,0.30661296239166563,0.596222537806038,261
Enteroendocrine cell subset 2,0.701473820062944,0.11788515896337684,0.7635816010497491,217
Paneth cell,0.815070715576427,0.20901954333843928,0.8528811014379922,134
Microfold cell,0.9145460488564054,0.320966481976706,0.9689036022146329,35
