,B cells,CD16+ NK cells,CD16- NK cells,CD4 T cells,Central venous LSECs,Cholangiocytes,Classical monocytes,DC1,DC2,Fibroblasts,Immune mix,Inflammatory macrophages,Interzonal hepatocytes,MAIT cells,Macrophages,Migratory DCs,NK cells,Neutrophils,Non-classical monocytes,Non-inflammatory macrophages,Pericentral hepatocytes,Periportal LSECs,Periportal hepatocytes,Plasma cells,Portal endothelial cells,Stellate cells,Tem/Temra cytotoxic T cells,Tem/Trm cytotoxic T cells,pDC
ENSG00000170348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8679845694984708,0.8470957683665412,0.0,0.0,0.8452429345675877,0.8214285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9007740254913058,0.0,0.0,0.0,0.0,0.8891804239579609
ENSG00000086598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9514786835227694,0.0,0.0,0.0,0.0,0.9451034494808742
ENSG00000184840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9747059707130704,0.0,0.0,0.0,0.0,0.9642857142857143
ENSG00000139173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000152558,0.0,0.0,0.0,0.0,0.0,0.8012266393218722,0.0,0.0,0.8176544457674026,0.0,0.0,0.8087073670966285,0.807399583714349,0.0,0.0,0.8138551669461387,0.0,0.0,0.0,0.8812190102679389,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000166575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000096092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9304471399102893,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.9418845559869494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000174695,0.0,0.0,0.0,0.0,0.0,0.0,0.971645617059299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
