Curated_annotation,mean_silhouette,std_silhouette,median_silhouette,count
B cells,0.7524587,0.12909281,0.7925368,2513
CD4 T cells,0.36265293,0.13218638,0.40336707,5879
CD16+ NK cells,0.17731124,0.2824519,0.3067322,11831
CD16- NK cells,0.4479146,0.15440738,0.48347378,11492
Central venous LSECs,-0.09430384,0.21638896,-0.09088968,10747
Cholangiocytes,-0.26410544,0.08836666,-0.27588448,3631
Classical monocytes,0.26075143,0.24720004,0.32471368,18034
DC1,0.7843783,0.15502727,0.8238474,1216
DC2,0.008578761,0.25403032,0.060962424,1308
Fibroblasts,0.18412143,0.35919648,0.37850082,1248
Immune mix,-0.13781483,0.28903943,-0.027557638,4861
Inflammatory macrophages,0.04332358,0.3910171,0.18237504,8426
Interzonal hepatocytes,0.01917586,0.18996748,0.035565898,10200
MAIT cells,0.07599584,0.31000704,0.2303238,25463
Macrophages,-0.066345535,0.313184,0.002414417,3510
Migratory DCs,0.4083929,0.13371886,0.4270815,42
NK cells,-0.016707528,0.23985542,-0.011274811,1248
Neutrophils,0.68573433,0.1497735,0.7204195,3002
Non-classical monocytes,0.2653005,0.3222166,0.39967299,11186
Non-inflammatory macrophages,0.5395173,0.14665125,0.5915967,3976
Pericentral hepatocytes,0.083891824,0.27469105,0.23779708,27012
Periportal LSECs,0.054689925,0.09031597,0.07615003,1153
Periportal hepatocytes,-0.16085593,0.23496197,-0.14906465,34031
Plasma cells,0.4798324,0.22214359,0.5579847,1994
Portal endothelial cells,-0.0284157,0.101765975,-0.04213462,747
Stellate cells,-0.20597848,0.22250512,-0.21773902,1997
Tem/Temra cytotoxic T cells,0.25351226,0.19771305,0.3118115,12662
Tem/Trm cytotoxic T cells,-0.16699137,0.25842056,-0.12222637,39056
pDC,0.90017444,0.032081295,0.91108614,1213
