,B cells,CD16+ NK cells,CD16- NK cells,CD4 T cells,Central venous LSECs,Cholangiocytes,Classical monocytes,DC1,DC2,Fibroblasts,Immune mix,Inflammatory macrophages,Interzonal hepatocytes,MAIT cells,Macrophages,Migratory DCs,NK cells,Neutrophils,Non-classical monocytes,Non-inflammatory macrophages,Pericentral hepatocytes,Periportal LSECs,Periportal hepatocytes,Plasma cells,Portal endothelial cells,Stellate cells,Tem/Temra cytotoxic T cells,Tem/Trm cytotoxic T cells,pDC
A1BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6172025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0295101,0.0,1.0998137,0.0,0.0,0.0,0.0,0.0,0.95521617
A1CF,0.0,0.0,0.0,0.0,0.0,1.654092,0.0,0.0,0.0,0.0,0.0,0.0,1.9384546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3711042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3529508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80927634,1.7246255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78347254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46033663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AASS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6343165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4274199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8846784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0876275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98150754,0.0,0.0,1.6456244,0.0,1.4444896,0.0,0.0,0.0,0.0,0.8276039,1.9229517,0.0,0.0,0.0,0.0,1.5167639,0.0,0.0,0.0
ABCA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.604766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.060763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6138794,0.0,0.0,0.0,0.0,1.4266099,0.0,0.0,0.0
ABCA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90205586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
