clusterName,gene
Medullary Fibroblast,MOXD1
Medullary Fibroblast,SYT1
Ascending Vasa Recta Endothelial Cell,GPM6A
Ascending Vasa Recta Endothelial Cell,PLAT
Degenerative Peritubular Capilary Endothelial Cell,FLT1
Degenerative Peritubular Capilary Endothelial Cell,ST6GALNAC3
Degenerative Peritubular Capilary Endothelial Cell,GPX3
Cycling Endothelial Cell,SMC4
Cycling Endothelial Cell,MELK
Cycling Endothelial Cell,ANKRD36C
Lymphatic Endothelial Cell,MMRN1
Descending Vasa Recta Endothelial Cell,PALMD
Descending Vasa Recta Endothelial Cell,ADAMTS6
Afferent / Efferent Arteriole Endothelial Cell,LTBP4
Afferent / Efferent Arteriole Endothelial Cell,JAG2
Glomerular Capillary Endothelial Cell,SOST
Glomerular Capillary Endothelial Cell,EHD3
Podocyte,PTPRQ
Podocyte,PTPRO
Neutrophil,S100A8
Neutrophil,S100A9
Non-classical Monocyte,LST1
Monocyte-derived Cell,HLA-DRA
M2 Macrophage,MRC1
M2 Macrophage,CD163
Cycling Mononuclear Phagocyte,HDAC9
Cycling Mononuclear Phagocyte,DOCK10
Classical Dendritic Cell,RAB7B
Classical Dendritic Cell,CD83
Plasmacytoid Dendritic Cell,LINC01478
Mast Cell,CPA3
Mast Cell,SLC24A3
Plasma Cell,FCRL5
Plasma Cell,IFNG-AS1
B Cell,BANK1
Degenerative Podocyte,HTRA1
Degenerative Cortical Thick Ascending Limb Cell,SERPINA1
Degenerative Cortical Thick Ascending Limb Cell,SLPI
Degenerative Endothelial Cell,IFITM3
Degenerative Endothelial Cell,APOO
Degenerative Endothelial Cell,UBC
Degenerative Medullary Fibroblast,LTBP1
Degenerative Medullary Fibroblast,AKR1B1
Degenerative Medullary Fibroblast,AQP2
Natural Killer Cell / Natural Killer T Cell,NKG7
Natural Killer Cell / Natural Killer T Cell,CCL4
Cycling Natural Killer Cell / Natural Killer T Cell,HMGB2
Cycling Natural Killer Cell / Natural Killer T Cell,UBE2C
Degenerative Fibroblast,TIMP1
Degenerative Vascular Smooth Muscle Cell,TPM2
Degenerative Vascular Smooth Muscle Cell,PLN
Degenerative Distal Convoluted Tubule Cell,ENSG00000263146
Degenerative Distal Convoluted Tubule Cell,KNG1
Degenerative Cortical Intercalated Cell Type A,APOC1
Degenerative Cortical Intercalated Cell Type A,ATP6V1G3
Degenerative Cortical Intercalated Cell Type A,LGALS3
T Cell,IL7R
