subclass.full,mean,std,median,count,q1,q3,f_score
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,0.2839438230533693,0.28679474532169213,0.3566309252398811,5867,0.16289711539248986,0.5018289498851433,0.6183614350441952
Cycling Myofibroblast,0.2167572363999438,0.3322292516555512,0.32446374651490617,18,0.24284830568208246,0.3939547999022224,0.2564102564102564
Connecting Tubule Intercalated Cell Type A,0.2032510422965106,0.312535501305905,0.30864730114767935,110,0.20242118115918856,0.3799908021657608,0.025852163921869
Connecting Tubule Cell,0.186239956047638,0.31629724187428254,0.29104352445471293,2944,-0.04302984164982988,0.44703873645622433,0.4894333488156061
B Cell,0.1655512761540002,0.27345419067482635,0.2666936669747766,422,0.062361982933325226,0.3538140573108382,0.7382039573820396
Vascular Smooth Muscle Cell,0.15923000661074874,0.22064208356839377,0.2517449918299191,491,0.0245373162789554,0.32905222783563165,0.5913113435237329
Degenerative Peritubular Capilary Endothelial Cell,0.19658809065917351,0.22099368620501889,0.2312955933734657,126,0.11901282096275785,0.3191341389702666,0.1666666666666666
Descending Vasa Recta Endothelial Cell,0.15890238966765396,0.24079313027290267,0.2252756176441213,1809,0.0617971813731368,0.3547964961216897,0.6658141517476556
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,0.1066629809307831,0.31403854738351805,0.2151058791479247,2757,-0.0941477287871538,0.3629943579993162,0.5144328662115223
Degenerative Connecting Tubule Cell,0.10930917107701914,0.28382707871477736,0.19361819744388242,356,-0.036978552165790574,0.32611750374321413,0.1676829268292683
Monocyte-derived Cell,0.08454416970931848,0.31801712627612533,0.1852257188676188,1027,-0.0513013398314289,0.3227385699926285,0.5212922173274597
Vascular Smooth Muscle Cell / Pericyte,0.041117442680915314,0.300201657907558,0.098555742298745,1425,-0.1185632999703647,0.3072720963399692,0.4471424341131181
Distal Convoluted Tubule Cell Type 1,0.061833419880903615,0.22389379735827777,0.09780810648779939,3550,-0.110058429945822,0.26734190309443145,0.6562714187799863
Cycling Endothelial Cell,-0.06965896789385333,0.3556431902743511,0.0937106957449345,54,-0.3647279105746163,0.2390916426357784,0.4385964912280701
Degenerative Outer Medullary Collecting Duct Principal Cell,-0.02557801917253134,0.30384708538866423,0.0896729847433812,1449,-0.2100945244215867,0.2212026118549601,0.4743232987604351
Degenerative Inner Medullary Collecting Duct Cell,-0.02395373333161941,0.2676044106259695,0.0246027165822759,1764,-0.25000054644469494,0.22373257992316656,0.5358527131782945
Connecting Tubule Principal Cell,-0.02755577260104555,0.320282645923217,0.021590287262852302,2140,-0.33139926463765434,0.2647318722220322,0.5511288180610889
Degenerative Distal Convoluted Tubule Cell,-0.06228943322403446,0.24730919290624293,0.0149972450197956,1535,-0.23833249849878402,0.14810941793150467,0.6957443051386191
Cycling Natural Killer Cell / Natural Killer T Cell,-0.04759046332561189,0.3520779256191651,0.010828185988819503,16,-0.339657581180971,0.2830830593796593,0.6944444444444444
Renin-positive Juxtaglomerular Granular Cell,-0.10252611969798259,0.2373579178227285,-0.056513980083067544,60,-0.2607074076722417,0.05605349854552452,0.7746478873239436
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,-0.1243244661296375,0.38542794709468664,-0.1000140395994281,8551,-0.548985592617911,0.2741270284642507,0.6192490902097695
Neutrophil,-0.31382055956374744,0.33985013646152346,-0.1099411432638011,89,-0.7015420735302177,-0.0808606073737618,0.7883817427385892
Degenerative Endothelial Cell,-0.22016327958202972,0.18587707382187563,-0.1465333111590619,70,-0.27565525233004956,-0.10342575632108975,0.2105263157894736
Mast Cell,-0.27005570426007736,0.22058732224128966,-0.20080089436885615,112,-0.21718304280558895,-0.1869743826152277,0.8012820512820513
Cycling Mononuclear Phagocyte,-0.35816762256100254,0.3222578653217203,-0.2195845197521976,47,-0.7384239809537713,-0.08965072049014361,0.0980392156862745
Degenerative Vascular Smooth Muscle Cell,-0.2706715012809895,0.14052789484729641,-0.2822390534463243,762,-0.3461080301174871,-0.2051875906289466,0.8599088838268792
Myofibroblast,-0.31372147859514193,0.147864269140998,-0.3215900935476112,696,-0.403477298567963,-0.2377889065282571,0.4145408163265306
Degenerative Proximal Tubule Epithelial Cell,-0.30574443301844173,0.18949680520739434,-0.3222596360144764,7586,-0.4579110515283503,-0.12695894018816362,0.5052887908073967
Cycling Connecting Tubule Cell,-0.2736221584147872,0.2832822913758942,-0.3495419996619833,11,-0.4487317317477842,0.00141004941456155,0.3333333333333333
Degenerative Ascending Thin Limb Cell,-0.3727879206416626,0.14965197005704395,-0.3799772582072676,1090,-0.4550737886575983,-0.2787861637581355,0.5500342700479781
Transitional Principal-Intercalated Cell,-0.39647905950133155,0.2544485853895449,-0.3855130339924663,167,-0.5948635106095609,-0.1702732374317823,0.2824133504492939
Degenerative Cortical Intercalated Cell Type A,-0.4436763189478859,0.15558516009669862,-0.3922121599902414,1031,-0.4760019941934033,-0.34636986511352064,0.5549915397631133
Cycling Distal Convoluted Tubule Cell,-0.3776289757825888,0.1298426592427305,-0.43676387248269205,6,-0.47813790412975293,-0.2658906571031431,0.5
Cycling Proximal Tubule Epithelial Cell,-0.716445897665926,0.1332807273207822,-0.6979643804722363,141,-0.8015993210740235,-0.6360824525661589,0.2448979591836734
Degenerative Medullary Thick Ascending Limb Cell,-0.6992451226386761,0.09235093197730086,-0.7177330947709879,712,-0.7653825139253732,-0.6355816872954161,0.2781173594132029
