subclass.full,mean,std,median,count,q1,q3,f_score
Parietal Epithelial Cell,0.7963405745531514,0.2744432639026616,0.8654302669403544,776,0.834045756012077,0.8741846374675123,0.523598820058997
Plasmacytoid Dendritic Cell,0.8105160720956391,0.1184777291504085,0.853753232841898,31,0.8155560748104989,0.8680084752879649,0.7831325301204819
Schwann Cell / Neural,0.7467250071658699,0.29442993489006036,0.8261249032752606,35,0.8107510409274453,0.8307119922248494,0.8992805755395683
Classical Dendritic Cell,0.7450150598917105,0.12466595343412923,0.8000089368015398,57,0.7601567018440416,0.8142697872744479,0.5982905982905983
Non-classical Monocyte,0.7233526393483518,0.18452458241164793,0.7792604119478341,241,0.7164325320719916,0.8048814514395408,0.5745062836624776
Glomerular Capillary Endothelial Cell,0.7300463379799675,0.15445838380094454,0.7707219246493715,1826,0.7255763206319473,0.7951897754296694,0.7478097622027534
Outer Medullary Collecting Duct Intercalated Cell Type A,0.6868827560392706,0.17693178564540188,0.7627041994361998,886,0.6643085006003144,0.7911299566875618,0.7174616006467259
Intercalated Cell Type B,0.6612648788042025,0.29118084298073166,0.7607982351315283,1112,0.705158873816461,0.7757766093594016,0.7153096330275229
Inner Medullary Collecting Duct Cell,0.6741797234081229,0.17774898672790482,0.7376971328625894,4094,0.6755090323908067,0.7632462254835393,0.7505773672055427
Proximal Tubule Epithelial Cell Segment 3,0.6503777886889766,0.21370140150302797,0.7216263974436673,2121,0.6243627052828019,0.7585701118314638,0.4815450643776824
Mesangial Cell,0.6248384175626153,0.26634454925244766,0.7183745049865228,229,0.6437797814939679,0.7527799985401946,0.4415584415584415
Medullary Thick Ascending Limb Cell,0.6402511340749529,0.18625751347911096,0.7038263356396945,3492,0.6120516548117649,0.7466033544173958,0.6886169386169386
Macula Densa Cell,0.6068136496413927,0.22129092897061606,0.6813266742008094,1185,0.586779749323145,0.7159170022867936,0.4788627010849233
Adaptive / Maladaptive / Repairing Fibroblast,0.5962200129794175,0.24175781934721702,0.6762683708846334,423,0.5833036317743303,0.7054471350395698,0.4686226568867155
Lymphatic Endothelial Cell,0.5764855756935074,0.3524786141228069,0.6734605444379727,130,0.652045017519,0.6775049448139965,0.7101167315175098
Degenerative Cortical Thick Ascending Limb Cell,0.5147939773938464,0.4030968948598216,0.666027076637197,344,0.6044684242904677,0.69208219439241,0.4496951219512195
Ascending Vasa Recta Endothelial Cell,0.5488680569216056,0.22935950110128972,0.6578010677358308,2454,0.48817098585683316,0.692526466113511,0.7514792899408284
Outer Medullary Collecting Duct Principal Cell,0.5185174404158904,0.2637772219263503,0.6423078485558472,879,0.46190263331963677,0.6846234116607661,0.5169722980881779
M2 Macrophage,0.5472466041068945,0.24354163917884683,0.6412170167107708,1285,0.5243372277777689,0.6801863626213688,0.7264124686891177
Podocyte,0.5109943139303117,0.258192122772155,0.6259474680487943,1061,0.4597210630095266,0.6613344797820621,0.9437621202327084
Degenerative Medullary Fibroblast,0.543667649148444,0.242534346878362,0.619715047129949,655,0.5003257325050825,0.6789751104663402,0.3515850144092219
Cortical Collecting Duct Intercalated Cell Type A,0.4938411641995384,0.27260369316352806,0.5976408984709645,3512,0.48305109370956323,0.6400999468357345,0.6984835895305359
Descending Thin Limb Cell Type 2,0.45992206429654203,0.29377066502730176,0.5825467359568866,814,0.42388272098253593,0.6377575874830508,0.5447390223695112
Distal Convoluted Tubule Cell Type 2,0.5256636121360043,0.14956172588128303,0.5724875729510849,363,0.45222538882157626,0.6318625099240731,0.2323360916613621
Degenerative Fibroblast,0.44415140935993885,0.3459553325134593,0.5624130988952961,90,0.4658357505925741,0.623516721536329,0.4819277108433735
Degenerative Podocyte,0.4836656386995181,0.23054787659371512,0.5570501008488689,192,0.4388050765923855,0.6393792707672177,0.6449468085106383
Ascending Thin Limb Cell,0.3996489807648232,0.30506832083846247,0.5505230850499725,1764,0.31784393662845045,0.5992012076786211,0.6219806763285024
Descending Thin Limb Cell Type 3,0.4584834081053624,0.24509592860120383,0.548372775110787,1388,0.38252975463056077,0.6279513304623685,0.5563524590163934
Papillary Tip Epithelial Cell,0.47128896927274644,0.21799279823573955,0.5373725725736602,399,0.423648071972759,0.6126714053291386,0.6872586872586872
Natural Killer Cell / Natural Killer T Cell,0.43141238919663716,0.24484672468731017,0.5367193124429421,569,0.3706042033829229,0.5801702213814589,0.7900492072170585
Degenerative Descending Thin Limb Cell Type 3,0.4272990310451225,0.23532810140117066,0.5229849081631495,399,0.3882480216729452,0.5691948339140478,0.5310531053105311
Descending Thin Limb Cell Type 1,0.385282664920658,0.2870294099736521,0.5025888961479962,1233,0.3279859717973307,0.5673768360845837,0.5609607783520827
Fibroblast,0.42355464996880215,0.23000370919688068,0.501577229621013,1864,0.3372964718930196,0.5867909834980388,0.6459987782529016
Plasma Cell,0.3322259446127714,0.41134385186052924,0.49640347526738127,120,0.4144769062549979,0.5127043518350336,0.5952380952380952
Cortical Thick Ascending Limb Cell,0.3194766996360393,0.31603242870981774,0.4436737826906507,7215,0.20663715630527818,0.5491300463545046,0.7407174323473883
Afferent / Efferent Arteriole Endothelial Cell,0.2647104255779668,0.32145785024764034,0.4373597493599728,559,0.03509036138438835,0.5063839483056314,0.5209187858900738
Medullary Fibroblast,0.2576053887100406,0.29457504666233336,0.4046681140584759,4363,0.106996191833936,0.4804908676920378,0.8090280023281381
T Cell,0.23311716907073238,0.3251175889697443,0.38927157027105735,1718,0.04069522609671962,0.4888104489750352,0.7162076606521051
Cortical Collecting Duct Principal Cell,0.21201062576326798,0.3707511688649008,0.3808030898317277,2470,-0.06498014123080112,0.513385595416262,0.5710491367861886
Peritubular Capilary Endothelial Cell ,0.2687897891221815,0.27796767114785625,0.3611307666426154,4106,0.15370469375337117,0.47328378966747786,
