cluster,n_cells,percentage
DC1,604,0.31
DC2,724,0.37
Differentiated_KC,32496,16.6
F1,10161,5.19
F2,4260,2.18
F3,3035,1.55
ILC1_3,2935,1.5
ILC1_NK,2604,1.33
ILC2,494,0.25
Inf_mac,1773,0.91
LC,568,0.29
migLC,11977,6.12
LE1,1073,0.55
LE2,3851,1.97
Macro_1,5781,2.95
Macro_2,1424,0.73
Mast_cell,557,0.28
Melanocyte,3682,1.88
MigDC,2080,1.06
Mono_mac,4912,2.51
NK,739,0.38
Pericyte_1,4705,2.4
Pericyte_2,301,0.15
Plasma,71,0.04
Schwann_1,149,0.08
Schwann_2,120,0.06
Tc,8680,4.43
Th,20617,10.53
Treg,5743,2.93
Undifferentiated_KC,21348,10.91
VE1,9645,4.93
VE2,15511,7.92
VE3,629,0.32
moDC,12490,6.38
