,DC1,DC2,Differentiated_KC,F1,F2,F3,ILC1_3,ILC1_NK,ILC2,Inf_mac,LC,LE1,LE2,Macro_1,Macro_2,Mast_cell,Melanocyte,MigDC,Mono_mac,NK,Pericyte_1,Pericyte_2,Plasma,Schwann_1,Schwann_2,Tc,Th,Treg,Undifferentiated_KC,VE1,VE2,VE3,migLC,moDC
ENSG00000125740,0.0,0.41697717,0.0,0.0,0.33741313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54807353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24093027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56369746
ENSG00000105281,0.0,0.0,0.0,0.0,0.0,0.0,0.50781024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3965605,0.6053175,0.0,0.0,0.0
ENSG00000197405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006564,0.0,0.0,0.0,0.0,0.79908395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142227,1.102211,1.4538,0.0,0.7400667,1.116757,0.7963106,1.2683996,1.0764837,1.1085334,0.83005756,1.1831806,0.0,0.0,1.9441538,2.216078,1.8230493,2.0932713,0.5771414,1.5179344,0.0,0.7385733,0.0,0.9875221,1.1403228,0.0,1.1566396,1.0614957,1.1531689,0.0,0.0,0.0,0.0,1.4250499,0.8947321
ENSG00000105559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7401735,0.15150478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000087074,0.62154174,1.4348092,1.5630007,0.5945974,1.6008402,0.75580156,0.0,0.0,0.6380834,0.8028058,1.0694017,1.9647328,0.8045214,0.0,2.0345087,0.0,1.7503662,0.0,0.6542021,0.0,1.2635685,2.275025,1.105876,0.9861443,3.1403255,0.0,0.0,0.46665713,1.5000919,1.1452049,0.8668778,1.7889675,0.5110744,0.0
ENSG00000087086,3.2211688,2.8660595,0.9572547,3.682313,3.179462,3.2226572,2.3982344,2.4652796,2.3905866,2.5399034,2.5233455,2.6288996,3.4926,5.6205225,4.299356,4.2110205,3.4271538,2.2142253,4.9396954,2.6939492,3.3895264,2.5762477,2.3332927,3.4516594,3.221849,2.4673376,2.349914,2.79113,1.3994453,2.9711308,2.7612822,2.3819551,2.9936268,3.2369242
ENSG00000130529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37893772,0.0
ENSG00000104894,0.48608553,0.0,0.0,0.0,0.0,0.0,0.7019337,0.907267,0.90293646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1006055,0.0,0.0,0.0,0.0,0.0,0.9438677,1.09391,1.2264253,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142552,0.0,0.0,0.0,0.5004046,0.0,0.42736617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104951,0.8527912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52795434,0.0,0.0,0.0,0.9926768,0.0,0.0,0.0,1.3261704,1.3437232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046844,1.7887323
ENSG00000169136,0.504398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44543695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7482877,0.50021434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701044,1.2665048
ENSG00000167757,0.0,0.0,0.54363286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4722307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0782557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6270136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40003806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000186818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95445687,0.0,0.0,0.0,0.0,0.31375045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000015475,0.92732954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0204065,0.5306014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37090206,0.0,1.1391095,0.5671338
ENSG00000184113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9545115,2.3540583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6103621,1.7975332,0.9838895,0.0,0.0
ENSG00000128228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22049914,0.0
ENSG00000198832,0.0,0.0,0.0,1.9383552,1.4365261,1.9296012,0.0,0.0,0.0,0.0,0.0,0.38679624,1.440699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9133785,1.1028575,0.0,1.0029587,1.1369671,0.0,0.0,0.0,0.0,1.195136,1.0531121,0.6958624,0.0,0.0
ENSG00000100100,0.0,0.0,0.0,0.0,0.0,0.0,0.685861,0.0,0.6143347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65865797,0.8847097,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100234,0.0,0.0,0.0,0.0,0.5352928,0.0,0.0,0.0,0.0,0.0,0.0,1.0122244,0.5280874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2834988,0.0,0.0,0.97757685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
