cluster,count
TA,75596
Plasma cells,46348
Colonocytes,27948
Enterocytes,13545
Trm cytotoxic T cells,12488
Cycling/Secretory TA,7345
Type 17 helper T cells,5708
Goblet cells,5431
Stromal 1,5146
BEST4+ enterocytes,4903
Macrophages,4291
gamma-delta T cells,4006
Stromal 3,3951
Follicular B cells,3790
Type 1 helper T cells,3115
Tcm/Naive helper T cells,3093
Paneth,2752
Immature goblet cells,2708
Regulatory T cells,2619
Memory B cells,2584
Stromal 2,2283
Tem/Trm cytotoxic T cells,2173
Mast cells,2156
Venous endothelial cells,2039
Stem cells,1663
Tuft cells,1587
Tem/Effector helper T cells,1584
Naive B cells,1374
Arterial endothelial cells,1279
Pericytes,1154
Capillary endothelial cells,1114
DC2,1017
Lymphatic endothelial cells,927
Glia,853
Intestinal macrophages,807
ILC,709
NK cells,643
Myofibroblasts,561
Monocytes,560
Follicular helper T cells,527
DC1,275
Germinal center B cells,227
Enteroendocrine cells,213
Cycling B cells,183
