cluster,n_cells,percentage
Arterial endothelial cells,1279,0.49
BEST4+ enterocytes,4903,1.86
Capillary endothelial cells,1114,0.42
Colonocytes,27948,10.62
Cycling B cells,183,0.07
Cycling/Secretory TA,7345,2.79
DC1,275,0.1
DC2,1017,0.39
Enterocytes,13545,5.14
Enteroendocrine cells,213,0.08
Follicular B cells,3790,1.44
Follicular helper T cells,527,0.2
Germinal center B cells,227,0.09
Glia,853,0.32
Goblet cells,5431,2.06
ILC,709,0.27
Immature goblet cells,2708,1.03
Intestinal macrophages,807,0.31
Lymphatic endothelial cells,927,0.35
Macrophages,4291,1.63
Mast cells,2156,0.82
Memory B cells,2584,0.98
Monocytes,560,0.21
Myofibroblasts,561,0.21
NK cells,643,0.24
Naive B cells,1374,0.52
Paneth,2752,1.05
Pericytes,1154,0.44
Plasma cells,46348,17.6
Regulatory T cells,2619,0.99
Stem cells,1663,0.63
Stromal 1,5146,1.95
Stromal 2,2283,0.87
Stromal 3,3951,1.5
TA,75596,28.71
Tcm/Naive helper T cells,3093,1.17
Tem/Effector helper T cells,1584,0.6
Tem/Trm cytotoxic T cells,2173,0.83
Trm cytotoxic T cells,12488,4.74
Tuft cells,1587,0.6
Type 1 helper T cells,3115,1.18
Type 17 helper T cells,5708,2.17
Venous endothelial cells,2039,0.77
gamma-delta T cells,4006,1.52
