,cell_type,silhouette_score
cell80,T cell of anorectum,0.7361454230319618
cell81,T cell of anorectum,0.7535563011462683
cell82,T cell of anorectum,0.47135535796683575
cell83,T cell of anorectum,0.7228654288428658
cell84,T cell of anorectum,0.5699818724361294
cell85,T cell of anorectum,0.6623555689172753
cell86,T cell of anorectum,0.7059340834107242
cell87,T cell of anorectum,0.5634457480458027
cell88,T cell of anorectum,0.5322837866424797
cell89,T cell of anorectum,0.7022287676566051
cell90,T cell of anorectum,0.7025426867303584
cell91,T cell of anorectum,0.6494224443074975
cell92,T cell of anorectum,0.6856768891642989
cell93,T cell of anorectum,0.7232884658184505
cell94,T cell of anorectum,0.6825992909080462
cell95,T cell of anorectum,0.6760950537968088
cell96,T cell of anorectum,0.7648919826239087
cell97,T cell of anorectum,0.7028634483671666
cell98,T cell of anorectum,0.6573019477258398
cell99,T cell of anorectum,0.6362361658285404
cell100,T cell of anorectum,0.6898211207531288
cell101,T cell of anorectum,0.5872855506626637
cell102,T cell of anorectum,0.7348714943044162
cell103,T cell of anorectum,0.7169523861778704
cell104,T cell of anorectum,0.717921582510833
cell105,T cell of anorectum,0.6388007327753363
cell106,T cell of anorectum,0.7627608764606779
cell107,T cell of anorectum,0.5152363653233927
cell108,T cell of anorectum,0.6974534512184382
cell109,T cell of anorectum,0.5293286973201994
cell110,T cell of anorectum,0.7112860728189524
cell111,T cell of anorectum,0.6503186643523455
cell112,T cell of anorectum,0.6977689225546929
cell113,T cell of anorectum,0.5463039814403283
cell114,T cell of anorectum,0.6790670841827967
cell115,T cell of anorectum,0.7146368456944239
cell116,T cell of anorectum,0.6564863135545926
cell117,T cell of anorectum,0.5934889121803789
cell118,T cell of anorectum,0.6020187716547925
cell119,T cell of anorectum,0.6466652963733449
cell120,T cell of anorectum,0.5026743649136299
cell121,T cell of anorectum,0.7404444147729459
cell122,T cell of anorectum,0.7020393784954672
cell123,T cell of anorectum,0.7417790872110509
cell124,T cell of anorectum,0.7248435163420635
cell125,T cell of anorectum,0.5141121488358835
cell126,T cell of anorectum,0.7247922217004589
cell127,T cell of anorectum,0.6772093652226455
cell128,T cell of anorectum,0.5667624640162535
cell129,T cell of anorectum,0.7411704675574321
cell130,T cell of anorectum,0.7218790680775585
cell131,T cell of anorectum,0.7199630115801849
cell132,T cell of anorectum,0.7390286861561832
cell133,T cell of anorectum,0.6798064661106548
cell134,T cell of anorectum,0.6933520282907734
cell135,T cell of anorectum,0.7513414414488323
cell136,T cell of anorectum,0.7651812540165998
cell137,T cell of anorectum,0.7245537253623735
cell138,T cell of anorectum,0.734477429946596
cell139,T cell of anorectum,0.6483425841027838
cell140,T cell of anorectum,0.5348934716418202
cell141,T cell of anorectum,0.7336616525740312
cell142,T cell of anorectum,0.7235057024527953
cell143,T cell of anorectum,0.5736058550493339
cell144,T cell of anorectum,0.6938604616708527
cell145,T cell of anorectum,0.7621445753102647
cell146,T cell of anorectum,0.5552671829024278
cell147,T cell of anorectum,0.7377868796573454
cell148,T cell of anorectum,0.42754192112403117
cell149,T cell of anorectum,0.7047678697672998
cell150,T cell of anorectum,0.7094162406031068
cell151,T cell of anorectum,0.72971248957678
cell152,T cell of anorectum,0.7102489403440352
cell153,T cell of anorectum,0.7332674767834273
cell154,T cell of anorectum,0.6237947105451885
cell155,T cell of anorectum,0.6770474803431178
cell156,T cell of anorectum,0.6658047974168098
cell157,T cell of anorectum,0.7321194709628497
cell158,T cell of anorectum,0.554599499957899
cell159,T cell of anorectum,0.7644650709940634
cell160,T cell of anorectum,0.5623447413504209
cell161,T cell of anorectum,0.7317954807266988
cell162,T cell of anorectum,0.6588183816533327
cell163,T cell of anorectum,0.7446751305586613
cell164,T cell of anorectum,0.5726387484988843
cell165,T cell of anorectum,0.7464931896189069
cell166,T cell of anorectum,0.589230447112651
cell167,T cell of anorectum,0.7110401631326099
cell168,T cell of anorectum,0.7033488521635531
cell169,T cell of anorectum,0.7066906599606056
cell170,T cell of anorectum,0.47876251433446876
cell171,T cell of anorectum,0.7328068785492619
cell172,T cell of anorectum,0.6688791768778938
cell173,T cell of anorectum,0.7122426635038768
cell174,T cell of anorectum,0.7179723762122083
cell175,T cell of anorectum,0.6689047701275899
cell176,T cell of anorectum,0.5047166663022797
cell177,T cell of anorectum,0.6618819657800648
cell178,T cell of anorectum,0.74196996077247
cell179,T cell of anorectum,0.7627177380419422
cell180,T cell of anorectum,0.5627980492449303
cell181,T cell of anorectum,0.7577332413491514
cell182,T cell of anorectum,0.7197913407095081
cell183,T cell of anorectum,0.6475384752486348
cell184,T cell of anorectum,0.5604355540536728
cell185,T cell of anorectum,0.667060367956069
cell186,T cell of anorectum,0.7502789095266343
cell187,T cell of anorectum,0.5036744442611122
cell188,T cell of anorectum,0.5176897403430363
cell189,T cell of anorectum,0.5627047668816093
cell190,T cell of anorectum,0.7239135778340225
cell191,T cell of anorectum,0.6464687717321806
cell192,T cell of anorectum,0.5021661964941556
cell193,T cell of anorectum,0.5732422946796095
cell194,T cell of anorectum,0.7378008205430718
cell195,T cell of anorectum,0.7501408361341442
cell196,T cell of anorectum,0.6889397757526033
cell197,T cell of anorectum,0.6618169739015974
cell198,T cell of anorectum,0.7113497866631054
cell199,T cell of anorectum,0.7097161478284014
cell200,T cell of anorectum,0.6614106206355479
cell201,T cell of anorectum,0.6447997629526039
cell202,T cell of anorectum,0.5645681708798487
cell203,T cell of anorectum,0.6244620889625541
cell204,T cell of anorectum,0.6700662841984881
cell205,T cell of anorectum,0.6762426751833953
cell206,T cell of anorectum,0.6388771195646745
cell207,T cell of anorectum,0.6613165324071119
cell208,T cell of anorectum,0.7088692938641111
cell209,T cell of anorectum,0.6994174543287316
cell210,T cell of anorectum,0.6311821533876922
cell211,T cell of anorectum,0.7170225590344613
cell212,T cell of anorectum,0.6171589844627116
cell213,T cell of anorectum,0.7027859703611951
cell214,T cell of anorectum,0.7639473236627534
cell215,T cell of anorectum,0.5759491717053005
cell216,T cell of anorectum,0.6478194795283752
cell217,T cell of anorectum,0.710408963763379
cell218,T cell of anorectum,0.7412710545774043
cell219,T cell of anorectum,0.7152441311867347
cell220,T cell of anorectum,0.7098830205204806
cell221,T cell of anorectum,0.7082480764421039
cell222,T cell of anorectum,0.6784522246005208
cell223,T cell of anorectum,0.7054655709172996
cell224,T cell of anorectum,0.5012583111774592
cell225,T cell of anorectum,0.7295019667657968
cell226,T cell of anorectum,0.6394339625280229
cell227,T cell of anorectum,0.6797576797413055
cell228,T cell of anorectum,0.7080478977762613
cell229,T cell of anorectum,0.6782760546473329
cell230,T cell of anorectum,0.6986633924085707
cell231,T cell of anorectum,0.6600584186005721
cell232,T cell of anorectum,0.6593849425208193
cell233,T cell of anorectum,0.6537740206236359
cell234,T cell of anorectum,0.6869398772466399
cell235,T cell of anorectum,0.5802541834228949
cell236,T cell of anorectum,0.5990121564778215
cell237,T cell of anorectum,0.696840209104948
cell238,T cell of anorectum,0.7330014437262613
cell239,T cell of anorectum,0.6712386368062354
cell240,T cell of anorectum,0.7165082267344683
cell241,T cell of anorectum,0.7554096793033925
cell242,T cell of anorectum,0.653419370126838
cell243,T cell of anorectum,0.6167735292413611
cell244,T cell of anorectum,0.47367476484198573
cell245,T cell of anorectum,0.7179280866583186
cell246,T cell of anorectum,0.6908650489551076
cell247,T cell of anorectum,0.6214714431533843
cell248,T cell of anorectum,0.6777117584369614
cell249,T cell of anorectum,0.678580288679733
cell250,T cell of anorectum,0.6216398119039224
cell251,T cell of anorectum,0.48919644245937094
cell252,T cell of anorectum,0.5792410800493004
cell253,T cell of anorectum,0.6751108911973145
cell254,T cell of anorectum,0.756614747735805
cell255,T cell of anorectum,0.652572967692978
cell256,T cell of anorectum,0.679057802190207
cell257,T cell of anorectum,0.6973323633162444
cell258,T cell of anorectum,0.6098485929053177
cell259,T cell of anorectum,0.603681011211793
cell260,T cell of anorectum,0.5983725472777074
cell261,T cell of anorectum,0.7570461211552536
cell262,T cell of anorectum,-0.1067703228546647
cell263,T cell of anorectum,0.6714627396020455
cell264,T cell of anorectum,0.5294850588834623
cell265,T cell of anorectum,0.6887750996681296
cell266,T cell of anorectum,0.5710406713195044
cell267,T cell of anorectum,0.7118611144888836
cell268,T cell of anorectum,0.6324009223778289
cell269,T cell of anorectum,0.6466765359081975
cell270,T cell of anorectum,0.6346110157684666
cell271,T cell of anorectum,0.6869723498239979
cell272,T cell of anorectum,0.5334892273761006
cell273,T cell of anorectum,0.7034294970813092
cell274,T cell of anorectum,0.6840105808993343
cell275,T cell of anorectum,0.7448622076358541
cell276,T cell of anorectum,0.7515475352452287
cell277,T cell of anorectum,0.7643786188482679
cell278,T cell of anorectum,0.665758734790608
cell279,T cell of anorectum,0.7268392259001744
cell280,T cell of anorectum,0.6332630210139132
cell281,T cell of anorectum,0.6180776016459288
cell282,T cell of anorectum,0.677493543861637
cell283,T cell of anorectum,0.6505135055698742
cell284,T cell of anorectum,0.6357692238435738
cell285,T cell of anorectum,0.649679464056369
cell286,T cell of anorectum,0.6566763635877808
cell287,T cell of anorectum,0.54710142713699
cell288,T cell of anorectum,0.6396665276330687
cell289,T cell of anorectum,0.729196093393391
cell290,T cell of anorectum,0.5295270213492611
cell291,T cell of anorectum,0.6952460669392119
cell292,T cell of anorectum,0.6842657928206923
cell293,T cell of anorectum,0.7233113663000983
cell294,T cell of anorectum,0.5905694071304506
cell295,T cell of anorectum,0.5798136040384537
cell296,T cell of anorectum,0.6740694582698116
cell297,T cell of anorectum,0.6048372390142136
cell298,T cell of anorectum,0.7064330160221917
cell299,T cell of anorectum,0.6204630029679978
cell300,T cell of anorectum,0.6974222806953716
cell301,T cell of anorectum,0.7491476439279688
cell302,T cell of anorectum,0.7481756162501675
cell303,T cell of anorectum,0.6738112000783981
cell304,T cell of anorectum,0.734847719032729
cell305,T cell of anorectum,0.6500699452937845
cell306,T cell of anorectum,0.5651426038439499
cell307,T cell of anorectum,0.6783375583926197
cell308,T cell of anorectum,0.6510192976116611
cell309,T cell of anorectum,0.6657331392713478
cell310,T cell of anorectum,0.6766429233019553
cell311,T cell of anorectum,0.6583929214891544
cell312,T cell of anorectum,0.7302253432228717
cell313,T cell of anorectum,0.7177985583929329
cell314,T cell of anorectum,0.7255780879849184
cell315,T cell of anorectum,0.7094897811282889
cell316,T cell of anorectum,0.6338338987967074
cell317,T cell of anorectum,0.50131017578103
cell318,T cell of anorectum,0.7269254964484468
cell319,T cell of anorectum,0.7047017361429005
cell320,T cell of anorectum,0.6607016517811923
cell321,T cell of anorectum,0.6858650855786776
cell322,T cell of anorectum,0.5572129754377172
cell323,T cell of anorectum,0.725525153996688
cell324,T cell of anorectum,0.7664991967117636
cell325,T cell of anorectum,0.7147263460788377
cell326,T cell of anorectum,0.7417372124300644
cell327,T cell of anorectum,0.7538838924277544
cell328,T cell of anorectum,0.7249229822008909
cell329,T cell of anorectum,0.747961637567521
cell330,T cell of anorectum,0.7587790064372606
cell331,T cell of anorectum,0.6156392886935735
cell332,T cell of anorectum,0.7318252070889538
cell333,T cell of anorectum,0.49394972696444733
cell334,T cell of anorectum,0.746028529123976
cell335,T cell of anorectum,0.6962876588294322
cell336,T cell of anorectum,0.6536012992045596
cell337,T cell of anorectum,0.6769219401475391
cell338,T cell of anorectum,0.5825497046718321
cell339,T cell of anorectum,0.6711174096925988
cell340,T cell of anorectum,0.6771272661095141
cell341,T cell of anorectum,0.6938095022297193
cell342,T cell of anorectum,0.6857405092866756
cell343,T cell of anorectum,0.662206155182266
cell344,T cell of anorectum,0.7503842357249674
cell345,T cell of anorectum,0.7240573491853625
cell346,T cell of anorectum,0.5742933790348844
cell347,T cell of anorectum,0.7346188949900148
cell348,T cell of anorectum,0.7650004102403017
cell349,T cell of anorectum,0.7130172116874401
cell350,T cell of anorectum,0.6097813538010851
cell351,T cell of anorectum,0.7176465910034662
cell352,T cell of anorectum,0.5315272259562017
cell353,T cell of anorectum,0.4771075584845931
cell354,T cell of anorectum,0.5757762904916028
cell355,T cell of anorectum,0.7572822776683413
cell356,T cell of anorectum,0.7474273777000034
cell357,T cell of anorectum,0.7330745676604836
cell358,T cell of anorectum,0.7129285348242392
cell359,T cell of anorectum,0.5907935837057724
cell360,T cell of anorectum,0.6903619668654587
cell361,T cell of anorectum,0.580594114203759
cell362,T cell of anorectum,0.47713152718135904
cell363,T cell of anorectum,0.7283973904083147
cell364,T cell of anorectum,0.7172606785887359
cell365,T cell of anorectum,0.6908426392865726
cell366,T cell of anorectum,0.754928663820107
cell367,T cell of anorectum,0.5776739865514596
cell368,T cell of anorectum,0.743263636994584
cell369,T cell of anorectum,0.5816716394045693
cell370,T cell of anorectum,0.6810874735535478
cell371,T cell of anorectum,0.7061927537794364
cell372,T cell of anorectum,0.6330230097749359
cell373,T cell of anorectum,0.7162194271972082
cell374,T cell of anorectum,0.5828130565190064
cell375,T cell of anorectum,0.6240811372581979
cell376,T cell of anorectum,0.466619160687056
cell377,T cell of anorectum,0.6840169654918145
cell378,T cell of anorectum,0.7170798185948407
cell379,T cell of anorectum,0.628272918611196
cell380,T cell of anorectum,0.7137139518654062
cell381,T cell of anorectum,0.7456350817860814
cell382,T cell of anorectum,0.6728866168242844
cell383,T cell of anorectum,0.6587899810574749
cell384,T cell of anorectum,0.5816632027531711
cell385,T cell of anorectum,0.5356737355966708
cell386,T cell of anorectum,0.6854348807561551
cell387,T cell of anorectum,0.7077930045067466
cell388,T cell of anorectum,0.6752960562242282
cell389,T cell of anorectum,0.5620699125208803
cell390,T cell of anorectum,0.5003056749556558
cell391,T cell of anorectum,0.6400266373029568
cell392,T cell of anorectum,0.7233837072776608
cell393,T cell of anorectum,0.6361550929055034
cell394,T cell of anorectum,0.7065269048599746
