,cell_type,silhouette_score
cell6555,T cell of anorectum,0.6420103794779553
cell6556,T cell of anorectum,0.5955168137294748
cell6557,T cell of anorectum,0.7208333251501128
cell6558,T cell of anorectum,0.735425429666679
cell6559,T cell of anorectum,0.7223436029650115
cell6560,T cell of anorectum,0.6955622951349155
cell6561,T cell of anorectum,0.7540377904807473
cell6562,T cell of anorectum,0.7359248423209749
cell6563,T cell of anorectum,0.678519927600534
cell6564,T cell of anorectum,0.7279860717487789
cell6565,T cell of anorectum,0.6296247939427289
cell6566,T cell of anorectum,0.7246619086134192
cell6567,T cell of anorectum,0.6909620407054643
cell6568,T cell of anorectum,0.7320606625488474
cell6569,T cell of anorectum,0.749319608635257
cell6570,T cell of anorectum,0.7172406738570719
cell6571,T cell of anorectum,0.6350034144405651
cell6572,T cell of anorectum,0.5521726277855493
cell6573,T cell of anorectum,0.6776436527923951
cell6574,T cell of anorectum,0.7355135859221077
cell6575,T cell of anorectum,0.7068018750278212
cell6576,T cell of anorectum,0.6815594688304273
cell6577,T cell of anorectum,0.7211456145050007
cell6578,T cell of anorectum,0.6359980547568033
cell6579,T cell of anorectum,0.7386862722326253
cell6580,T cell of anorectum,0.7051972123733133
cell6581,T cell of anorectum,0.65025082115843
cell6582,T cell of anorectum,0.7083058045788657
cell6583,T cell of anorectum,0.7444339823816286
cell6584,T cell of anorectum,0.5762750601586137
cell6585,T cell of anorectum,0.610649126800982
cell6586,T cell of anorectum,0.670110275346728
cell6587,T cell of anorectum,0.6634760276744774
cell6588,T cell of anorectum,0.713923483834305
cell6589,T cell of anorectum,0.5773612225591745
cell6590,T cell of anorectum,0.7006245640945907
cell6591,T cell of anorectum,0.5257547162220256
cell6592,T cell of anorectum,0.7442252685817808
cell6593,T cell of anorectum,0.7066256063158362
cell6594,T cell of anorectum,0.7535496067014841
cell6595,T cell of anorectum,0.7124455390669842
cell6596,T cell of anorectum,0.6473520777698273
cell6597,T cell of anorectum,0.7144810321558498
cell6598,T cell of anorectum,0.7273087948661021
cell6599,T cell of anorectum,0.6711479564360773
cell6600,T cell of anorectum,0.7281543753504158
cell6601,T cell of anorectum,0.736021088998427
cell6602,T cell of anorectum,0.6745070502970015
cell6603,T cell of anorectum,0.7400157529431605
cell6604,T cell of anorectum,0.7304896813799556
cell6605,T cell of anorectum,0.5839235087072292
cell6606,T cell of anorectum,0.7256918638285911
cell6607,T cell of anorectum,0.7018235037799752
cell6608,T cell of anorectum,0.7511410377280505
cell6609,T cell of anorectum,0.7442141149107517
cell6610,T cell of anorectum,0.7565601909942425
cell6611,T cell of anorectum,0.6180170288857476
cell6612,T cell of anorectum,0.7591789502248087
cell6613,T cell of anorectum,0.7255394987789592
cell6614,T cell of anorectum,0.6836324910291536
cell6615,T cell of anorectum,0.5882038268643804
cell6616,T cell of anorectum,0.7047595489867474
cell6617,T cell of anorectum,0.7368229208252774
cell6618,T cell of anorectum,0.4481101173719044
cell6619,T cell of anorectum,0.6847064605993785
cell6620,T cell of anorectum,0.7144862844657839
cell6621,T cell of anorectum,0.7093566946178747
cell6622,T cell of anorectum,0.6642586125519364
cell6623,T cell of anorectum,0.7171847590275103
cell6624,T cell of anorectum,0.7179470290922503
cell6625,T cell of anorectum,0.5578065326182904
cell6626,T cell of anorectum,0.4991837685338454
cell6627,T cell of anorectum,0.6170870519340867
cell6628,T cell of anorectum,0.6996921490568478
cell6629,T cell of anorectum,0.7270207906229597
cell6630,T cell of anorectum,0.48481200343138064
cell6631,T cell of anorectum,0.7070394673405231
cell6632,T cell of anorectum,0.7140308330828095
cell6633,T cell of anorectum,0.7574938981548414
cell6634,T cell of anorectum,0.7243764889776977
cell6635,T cell of anorectum,0.7234868418785979
cell6636,T cell of anorectum,0.7494682040491114
cell6637,T cell of anorectum,0.6761235690218218
cell6638,T cell of anorectum,0.7380183162227802
cell6639,T cell of anorectum,0.7630894655301629
cell6640,T cell of anorectum,0.7030002469207319
cell6641,T cell of anorectum,0.5037568525239892
cell6642,T cell of anorectum,0.552192987089262
cell6643,T cell of anorectum,0.6355169043114746
cell6644,T cell of anorectum,0.7398449236954847
cell6645,T cell of anorectum,0.582834994129646
cell6646,T cell of anorectum,0.6578985577033569
cell6647,T cell of anorectum,0.7165718410280203
cell6648,T cell of anorectum,0.7493580773025009
cell6649,T cell of anorectum,0.7253620045946121
cell6650,T cell of anorectum,0.7115274018164846
cell6651,T cell of anorectum,0.5268439472239261
cell6652,T cell of anorectum,0.7221794578382592
cell6653,T cell of anorectum,0.604954032540113
cell6654,T cell of anorectum,0.7310771263823858
cell6655,T cell of anorectum,0.7149399302885712
cell6656,T cell of anorectum,0.7238827508104854
cell6657,T cell of anorectum,0.6775740833379418
cell6658,T cell of anorectum,0.6565365643789661
cell6659,T cell of anorectum,0.749658322268918
cell6660,T cell of anorectum,0.7545453718262316
cell6661,T cell of anorectum,0.5630975004802958
cell6662,T cell of anorectum,0.6259771275575832
cell6663,T cell of anorectum,0.6973792509070955
cell6664,T cell of anorectum,0.5212912132721393
cell6665,T cell of anorectum,0.601717010728694
cell6666,T cell of anorectum,0.735801292662266
cell6667,T cell of anorectum,0.7413716725227074
cell6668,T cell of anorectum,0.7301276564449141
cell6669,T cell of anorectum,0.6454183649264577
cell6670,T cell of anorectum,0.6529494664991273
cell6671,T cell of anorectum,0.6904821306168106
cell6672,T cell of anorectum,0.6601982552144123
cell6673,T cell of anorectum,0.628552565688272
cell6674,T cell of anorectum,0.7511495012657424
cell6675,T cell of anorectum,0.7446875779064218
cell6676,T cell of anorectum,0.6983965906513702
cell6677,T cell of anorectum,0.6209635677521995
cell6678,T cell of anorectum,0.7470640442031571
cell6679,T cell of anorectum,0.7415932494908808
cell6680,T cell of anorectum,0.7386778897123757
cell6681,T cell of anorectum,0.748286681911151
cell6682,T cell of anorectum,0.7247357220585474
cell6683,T cell of anorectum,0.6450772317910523
cell6684,T cell of anorectum,0.6750075975741008
cell6685,T cell of anorectum,0.7124898781003
cell6686,T cell of anorectum,0.44130941341687263
cell6687,T cell of anorectum,0.7318588706941369
cell6688,T cell of anorectum,0.7068407304620117
cell6689,T cell of anorectum,0.7541805527265701
cell6690,T cell of anorectum,0.70566162369056
cell6691,T cell of anorectum,0.7068586825286612
cell6692,T cell of anorectum,0.715634311193924
cell6693,T cell of anorectum,0.6827090363143442
cell6694,T cell of anorectum,0.7078358399074991
cell6695,T cell of anorectum,0.6231857285557787
cell6696,T cell of anorectum,0.7499790571515396
cell6697,T cell of anorectum,0.7009348166366931
cell6698,T cell of anorectum,0.6719342388209973
cell6699,T cell of anorectum,0.7401646637951331
cell6700,T cell of anorectum,0.48976181602807833
cell6701,T cell of anorectum,0.7136429350896336
cell6702,T cell of anorectum,0.7352586783037792
cell6703,T cell of anorectum,0.7367328126578284
cell6704,T cell of anorectum,0.47710692498145274
cell6705,T cell of anorectum,0.7458689874928488
cell6706,T cell of anorectum,0.5534217638096607
cell6707,T cell of anorectum,0.7356030090121842
cell6708,T cell of anorectum,0.5894906249923225
cell6709,T cell of anorectum,0.628095385771905
cell6710,T cell of anorectum,0.5877122343814697
cell6711,T cell of anorectum,0.5323235292855828
cell6712,T cell of anorectum,0.7556114609161177
cell6713,T cell of anorectum,0.603449369973111
cell6714,T cell of anorectum,0.6998710881059279
cell6715,T cell of anorectum,0.7100958737701588
cell6716,T cell of anorectum,0.6224999360172225
cell6717,T cell of anorectum,0.756376975260401
cell6718,T cell of anorectum,0.5923301651429803
cell6719,T cell of anorectum,0.6926174079599687
cell6720,T cell of anorectum,0.7572998309677286
cell6721,T cell of anorectum,0.5127417791083061
cell6722,T cell of anorectum,0.661765108079068
cell6723,T cell of anorectum,0.5981341327835509
cell6724,T cell of anorectum,0.5111283396554323
cell6725,T cell of anorectum,0.6929338859520168
cell6726,T cell of anorectum,0.7288991468790293
cell6727,T cell of anorectum,0.7078520915362067
cell6728,T cell of anorectum,0.7586114983282854
cell6729,T cell of anorectum,0.605922757827199
cell6730,T cell of anorectum,0.6805825553088964
cell6731,T cell of anorectum,0.7267309732894471
cell6732,T cell of anorectum,0.7384840704354161
cell6733,T cell of anorectum,0.5356561964573431
cell6734,T cell of anorectum,0.7129143434026018
cell6735,T cell of anorectum,0.5250478329744657
cell6736,T cell of anorectum,0.6803602524065698
cell6737,T cell of anorectum,0.6893296035597034
cell6738,T cell of anorectum,0.7175478587640973
cell6739,T cell of anorectum,0.6907997235896591
cell6740,T cell of anorectum,0.7223719456394485
cell6741,T cell of anorectum,0.6716680806569704
cell6742,T cell of anorectum,0.7424911660592006
cell6743,T cell of anorectum,0.658341663851308
cell6744,T cell of anorectum,0.7551939294808754
cell6745,T cell of anorectum,0.7105551968017717
cell6746,T cell of anorectum,0.7070275507638102
cell6747,T cell of anorectum,0.709805918852231
cell6748,T cell of anorectum,0.6674602923423139
cell6749,T cell of anorectum,0.6910423897304194
cell6750,T cell of anorectum,0.6239428493231145
cell6751,T cell of anorectum,0.7021540257139371
cell6752,T cell of anorectum,0.7298920279518254
cell6753,T cell of anorectum,0.6318495310025618
cell6754,T cell of anorectum,0.5604875645874545
cell6755,T cell of anorectum,0.764079569785469
cell6756,T cell of anorectum,0.634432664270753
cell6757,T cell of anorectum,0.7316300846354046
cell6758,T cell of anorectum,0.7232372462032305
cell6759,T cell of anorectum,0.7038829678439578
cell6760,T cell of anorectum,0.681439844796239
cell6761,T cell of anorectum,0.7251923635171439
cell6762,T cell of anorectum,0.7119407191046608
cell6763,T cell of anorectum,0.4815248416371916
cell6764,T cell of anorectum,0.7008655663649851
cell6765,T cell of anorectum,0.7656122205802433
cell6766,T cell of anorectum,0.7488574597878215
cell6767,T cell of anorectum,0.7523154808927285
cell6768,T cell of anorectum,0.6056832597550921
cell6769,T cell of anorectum,0.614457350495806
cell6770,T cell of anorectum,0.7581029100768337
cell6771,T cell of anorectum,0.7433376936134268
cell6772,T cell of anorectum,0.7416024430858901
cell6773,T cell of anorectum,0.7047215627413552
cell6774,T cell of anorectum,0.6163646315540829
cell6775,T cell of anorectum,0.726641465076311
cell6776,T cell of anorectum,0.5733672159002587
cell6777,T cell of anorectum,0.7118837822651816
cell6778,T cell of anorectum,0.7157953423170025
cell6779,T cell of anorectum,0.7079055446339877
cell6780,T cell of anorectum,0.7399183534695409
cell6781,T cell of anorectum,0.7415302603800796
cell6782,T cell of anorectum,0.7021265266569079
cell6783,T cell of anorectum,0.6436531451437005
cell6784,T cell of anorectum,0.6870705871466564
cell6785,T cell of anorectum,0.5737666056217738
cell6786,T cell of anorectum,0.7052623499442738
cell6787,T cell of anorectum,0.6372855740791685
cell6788,T cell of anorectum,0.6380136880229044
cell6789,T cell of anorectum,0.5963511091679667
cell6790,T cell of anorectum,0.7581139157026372
cell6791,T cell of anorectum,0.7492828144959507
cell6792,T cell of anorectum,0.7031215023644656
cell6793,T cell of anorectum,0.7459632450970464
cell6794,T cell of anorectum,0.6412316863417713
cell6795,T cell of anorectum,0.7188181945800565
cell6796,T cell of anorectum,0.7203570603800181
cell6797,T cell of anorectum,0.7319599592508599
cell6798,T cell of anorectum,0.7550837063524787
cell6799,T cell of anorectum,0.7013115003678505
cell6800,T cell of anorectum,0.6946382643785209
cell6801,T cell of anorectum,0.7547119662272177
cell6802,T cell of anorectum,0.7330640914907712
cell6803,T cell of anorectum,0.7163309535506471
cell6804,T cell of anorectum,0.5657018572714466
cell6805,T cell of anorectum,0.6668788679840741
cell6806,T cell of anorectum,0.6496673002975956
cell6807,T cell of anorectum,0.5998095801278023
cell6808,T cell of anorectum,0.6965167629809341
cell6809,T cell of anorectum,0.7391155345557774
cell6810,T cell of anorectum,0.7399193115243866
cell6811,T cell of anorectum,0.6988334600370968
cell6812,T cell of anorectum,0.7286495126055015
cell6813,T cell of anorectum,0.7148438986081872
cell6814,T cell of anorectum,0.7123228821290455
cell6815,T cell of anorectum,0.6310161986182429
cell6816,T cell of anorectum,0.637073965393469
cell6817,T cell of anorectum,0.7412585050008793
cell6818,T cell of anorectum,0.46812003439750227
cell6819,T cell of anorectum,0.6739716191292896
cell6820,T cell of anorectum,0.7638033484369697
cell6821,T cell of anorectum,0.7430035744380585
cell6822,T cell of anorectum,0.7343640233783215
cell6823,T cell of anorectum,0.6468418651462013
cell6824,T cell of anorectum,0.6313498325874107
cell6825,T cell of anorectum,0.748936288365958
cell6826,T cell of anorectum,0.6356562583898832
cell6827,T cell of anorectum,0.7544894730625953
cell6828,T cell of anorectum,0.7610686953832472
cell6829,T cell of anorectum,0.717273230514894
cell6830,T cell of anorectum,0.7074360767140191
cell6831,T cell of anorectum,0.6954224710955283
cell6832,T cell of anorectum,0.6136573898289877
cell6833,T cell of anorectum,0.7029253248891908
cell6834,T cell of anorectum,0.6819106518517687
cell6835,T cell of anorectum,0.5483431988025111
cell6836,T cell of anorectum,0.7091502567292023
cell6837,T cell of anorectum,0.735335365446702
cell6838,T cell of anorectum,0.4555334170296361
cell6839,T cell of anorectum,0.6447947959915381
cell6840,T cell of anorectum,0.7432769911937303
cell6841,T cell of anorectum,0.7503911092375254
cell6842,T cell of anorectum,0.6598691666179035
cell6843,T cell of anorectum,0.6145349344502954
cell6844,T cell of anorectum,0.7204090649314617
cell6845,T cell of anorectum,0.7190251137264786
cell6846,T cell of anorectum,0.7039790641028416
cell6847,T cell of anorectum,0.726416329586147
cell6848,T cell of anorectum,0.6964825568705283
cell6849,T cell of anorectum,0.709748529841109
cell6850,T cell of anorectum,0.6745261481347421
cell6851,T cell of anorectum,0.7318824656367869
cell6852,T cell of anorectum,0.6632997987248878
cell6853,T cell of anorectum,0.7550012091219085
cell6854,T cell of anorectum,0.603745095215181
cell6855,T cell of anorectum,0.7331482110098742
cell6856,T cell of anorectum,0.667159873084819
cell6857,T cell of anorectum,0.6759801151113061
cell6858,T cell of anorectum,0.7450319260034197
cell6859,T cell of anorectum,0.6884383899265679
cell6860,T cell of anorectum,0.7015365673561228
cell6861,T cell of anorectum,0.7152001744857817
cell6862,T cell of anorectum,0.5646407128014619
cell6863,T cell of anorectum,0.6715036047502965
cell6864,T cell of anorectum,0.726326788465965
cell6865,T cell of anorectum,0.728215038968402
cell6866,T cell of anorectum,0.7201894787855403
cell6867,T cell of anorectum,0.727340531165313
cell6868,T cell of anorectum,0.7622105243875026
cell6869,T cell of anorectum,0.5895253291001104
cell6870,T cell of anorectum,0.713684807440628
cell6871,T cell of anorectum,0.7026015153092792
cell6872,T cell of anorectum,0.49436593477910895
cell6873,T cell of anorectum,0.6096053614947513
cell6874,T cell of anorectum,0.6524754280486065
cell6875,T cell of anorectum,0.7361307516924
cell6876,T cell of anorectum,0.5437126716757178
cell6877,T cell of anorectum,0.7432693009428936
cell6878,T cell of anorectum,0.7117463794958332
cell6879,T cell of anorectum,0.7620989310835931
cell6880,T cell of anorectum,0.7189183693641995
cell6881,T cell of anorectum,0.4279979681793577
cell6882,T cell of anorectum,0.6366075170919673
cell6883,T cell of anorectum,0.7353501520474273
cell6884,T cell of anorectum,0.7208250358785987
cell6885,T cell of anorectum,0.6790602568231047
cell6886,T cell of anorectum,0.5134558312008006
cell6887,T cell of anorectum,0.7641324529094654
cell6888,T cell of anorectum,0.7453722532449206
cell6889,T cell of anorectum,0.6330624779907816
cell6890,T cell of anorectum,0.7566483801860493
cell6891,T cell of anorectum,0.7609051044759232
cell6892,T cell of anorectum,0.7582292287660549
cell6893,T cell of anorectum,0.7454013179589966
cell6894,T cell of anorectum,0.6373914944574004
cell6895,T cell of anorectum,0.6375860087268607
cell6896,T cell of anorectum,0.7353263916346268
cell6897,T cell of anorectum,0.7291518997726035
cell6898,T cell of anorectum,0.7068587321292865
cell6899,T cell of anorectum,0.7591077766951873
cell6900,T cell of anorectum,0.5332027434693654
cell6901,T cell of anorectum,0.7410535925347841
cell6902,T cell of anorectum,0.7311190029185706
cell6903,T cell of anorectum,0.7207033341180892
cell6904,T cell of anorectum,0.6406107021536622
cell6905,T cell of anorectum,0.5351004180977087
cell6906,T cell of anorectum,0.731680020569961
cell6907,T cell of anorectum,0.6333300627326776
cell6908,T cell of anorectum,0.7551693429542362
cell6909,T cell of anorectum,0.6440662266887436
cell6910,T cell of anorectum,0.6760320828011073
cell6911,T cell of anorectum,0.7503261919432761
cell6912,T cell of anorectum,0.6386473104869969
cell6913,T cell of anorectum,0.5828024238476266
cell6914,T cell of anorectum,0.7246445856777607
cell6915,T cell of anorectum,0.6851284300619068
cell6916,T cell of anorectum,0.7442610780825368
cell6917,T cell of anorectum,0.7197491804992879
cell6918,T cell of anorectum,0.7115282907540017
cell6919,T cell of anorectum,0.7264989435038044
cell6920,T cell of anorectum,0.44968407789762443
cell6921,T cell of anorectum,0.5532106355977402
cell6922,T cell of anorectum,0.6957839265618805
cell6923,T cell of anorectum,0.7594089415849009
cell6924,T cell of anorectum,0.7158107548932865
cell6925,T cell of anorectum,0.6760475246847082
cell6926,T cell of anorectum,0.7501597684973125
cell6927,T cell of anorectum,0.7181351517116397
cell6928,T cell of anorectum,0.7559962473111339
cell6929,T cell of anorectum,0.6894775729662822
cell6930,T cell of anorectum,0.6805343642100187
cell6931,T cell of anorectum,0.5726869919671678
cell6932,T cell of anorectum,0.7561991949058113
cell6933,T cell of anorectum,0.6630618283258201
cell6934,T cell of anorectum,0.6763731914590381
cell6935,T cell of anorectum,0.6299973025162172
cell6936,T cell of anorectum,0.6978573970565124
cell6937,T cell of anorectum,0.7512959670613834
cell6938,T cell of anorectum,0.531519725646719
cell6939,T cell of anorectum,0.692601391878905
cell6940,T cell of anorectum,0.6098468189585352
cell6941,T cell of anorectum,0.47859691786560044
cell6942,T cell of anorectum,0.6899340069422727
cell6943,T cell of anorectum,0.7435996390343026
cell6944,T cell of anorectum,0.6790576540490264
cell6945,T cell of anorectum,0.7041524423094648
cell6946,T cell of anorectum,0.5581718266148155
cell6947,T cell of anorectum,0.736440194683112
cell6948,T cell of anorectum,0.6527649858903232
cell6949,T cell of anorectum,0.6651636618780719
cell6950,T cell of anorectum,0.6122104248113254
cell6951,T cell of anorectum,0.5850777163715886
cell6952,T cell of anorectum,0.6970610334143219
cell6953,T cell of anorectum,0.7555795965391151
cell6954,T cell of anorectum,0.6771236868604886
cell6955,T cell of anorectum,0.6388737719819302
cell6956,T cell of anorectum,0.6665422428177744
cell6957,T cell of anorectum,0.648215240303435
cell6958,T cell of anorectum,0.6897418285080654
cell6959,T cell of anorectum,0.458125218469584
cell6960,T cell of anorectum,0.7329209322768656
cell6961,T cell of anorectum,0.7233664689145034
cell6962,T cell of anorectum,0.6989887159467187
cell6963,T cell of anorectum,0.703911379328516
cell6964,T cell of anorectum,0.6441642961568581
cell6965,T cell of anorectum,0.7396931508241699
cell6966,T cell of anorectum,0.7270417194009116
cell6967,T cell of anorectum,0.708240798485106
cell6968,T cell of anorectum,0.6725254052414891
cell6969,T cell of anorectum,0.6742099209064023
cell6970,T cell of anorectum,0.6168084380225192
cell6971,T cell of anorectum,0.6991693896598798
cell6972,T cell of anorectum,0.6935387925120926
cell6973,T cell of anorectum,0.6800044130811402
cell6974,T cell of anorectum,0.7361351171619265
cell6975,T cell of anorectum,0.7660580550342666
cell6976,T cell of anorectum,0.7035684019679364
cell6977,T cell of anorectum,0.4497976133967786
cell6978,T cell of anorectum,0.5754768300430113
cell6979,T cell of anorectum,0.7129944996379581
cell6980,T cell of anorectum,0.6826594208696913
cell6981,T cell of anorectum,0.6434499024675989
cell6982,T cell of anorectum,0.6486554600201301
cell6983,T cell of anorectum,0.6308233416811143
cell6984,T cell of anorectum,0.5773399346084308
cell6985,T cell of anorectum,0.6686062707852908
cell6986,T cell of anorectum,0.6590714852241104
cell6987,T cell of anorectum,0.6678405895315701
cell6988,T cell of anorectum,0.7077294407243369
cell6989,T cell of anorectum,0.7053724492625303
cell6990,T cell of anorectum,0.6270279796451683
cell6991,T cell of anorectum,0.6617161273312674
cell6992,T cell of anorectum,0.7567710854843259
cell6993,T cell of anorectum,0.7136241010133453
cell6994,T cell of anorectum,0.6773293706192826
cell6995,T cell of anorectum,0.7380989545532823
cell6996,T cell of anorectum,0.6832452722035905
cell6997,T cell of anorectum,0.5663614218269158
cell6998,T cell of anorectum,0.7551902269366543
cell6999,T cell of anorectum,0.5279846723820895
cell7000,T cell of anorectum,0.7345651196226544
cell7001,T cell of anorectum,0.7082686615807816
cell7002,T cell of anorectum,0.7422596601982774
cell7003,T cell of anorectum,0.7027674982188203
cell7004,T cell of anorectum,0.4780171417482585
cell7005,T cell of anorectum,0.6976481778319307
cell7006,T cell of anorectum,0.7405586060486914
cell7007,T cell of anorectum,0.5758616645087636
cell7008,T cell of anorectum,0.745984142653456
cell7009,T cell of anorectum,0.6819450186693671
cell7010,T cell of anorectum,0.7346413578940743
cell7011,T cell of anorectum,0.7411228912673663
cell7012,T cell of anorectum,0.5595211722184557
cell7013,T cell of anorectum,0.6496383912797264
cell7014,T cell of anorectum,0.4573584824521578
cell7015,T cell of anorectum,0.6586381027374653
cell7016,T cell of anorectum,0.6470644644683776
cell7017,T cell of anorectum,0.6584085476332159
cell7018,T cell of anorectum,0.6255794141049382
cell7019,T cell of anorectum,0.617110559618915
cell7020,T cell of anorectum,0.7329524774872741
cell7021,T cell of anorectum,0.6287966003537251
cell7022,T cell of anorectum,0.49900822814985435
cell7023,T cell of anorectum,0.558875878199682
cell7024,T cell of anorectum,0.5887612596578349
cell7025,T cell of anorectum,0.7123794445896597
cell7026,T cell of anorectum,0.7624829025949016
cell7027,T cell of anorectum,0.5811029483873184
cell7028,T cell of anorectum,0.7158715923662683
cell7029,T cell of anorectum,0.7135443484468331
cell7030,T cell of anorectum,0.6706405626247995
cell7031,T cell of anorectum,0.6594635506287455
cell7032,T cell of anorectum,0.7446180105302376
cell7033,T cell of anorectum,0.6482535858133247
cell7034,T cell of anorectum,0.5246073154088909
cell7035,T cell of anorectum,0.6710311941272202
cell7036,T cell of anorectum,0.6738790336674024
cell7037,T cell of anorectum,0.6946575811341067
cell7038,T cell of anorectum,0.7004515949221475
cell7039,T cell of anorectum,0.6258348500342561
cell7040,T cell of anorectum,0.7353454175131817
cell7041,T cell of anorectum,0.7484765849195738
cell7042,T cell of anorectum,0.750657395891167
cell7043,T cell of anorectum,0.6907914137644877
cell7044,T cell of anorectum,0.5632717085620557
cell7045,T cell of anorectum,0.6287056496188252
cell7046,T cell of anorectum,0.6784201494957719
cell7047,T cell of anorectum,0.6879386378606823
cell7048,T cell of anorectum,0.6534116162671944
cell7049,T cell of anorectum,0.5544438250365096
cell7050,T cell of anorectum,0.6337263853317314
cell7051,T cell of anorectum,0.6855909399340865
cell7052,T cell of anorectum,0.6754847496073688
cell7053,T cell of anorectum,0.7357378687389626
cell7054,T cell of anorectum,0.6650297054225734
cell7055,T cell of anorectum,0.6920407656176042
cell7056,T cell of anorectum,0.7226270196996445
cell7057,T cell of anorectum,0.6334313151952787
cell7058,T cell of anorectum,0.753818118547989
cell7059,T cell of anorectum,0.7245889620111565
cell7060,T cell of anorectum,0.6184580569647975
cell7061,T cell of anorectum,0.6942166994370702
cell7062,T cell of anorectum,0.7541828883549514
cell7063,T cell of anorectum,0.6908560307485458
cell7064,T cell of anorectum,0.7351948953345352
cell7065,T cell of anorectum,0.7314640602712379
cell7066,T cell of anorectum,0.7099811853887665
cell7067,T cell of anorectum,0.7289192546524611
cell7068,T cell of anorectum,0.6921161553597514
cell7069,T cell of anorectum,0.6966536321501983
cell7070,T cell of anorectum,0.7051745317453888
cell7071,T cell of anorectum,0.7215538313600384
cell7072,T cell of anorectum,0.6985314136874294
cell7073,T cell of anorectum,0.7025686544772862
cell7074,T cell of anorectum,0.691939199083978
cell7075,T cell of anorectum,0.671285220835741
cell7076,T cell of anorectum,0.6028671245331687
cell7077,T cell of anorectum,0.683925435618011
cell7078,T cell of anorectum,0.7332411631572351
cell7079,T cell of anorectum,0.6105020917123519
cell7080,T cell of anorectum,0.7098673006298573
cell7081,T cell of anorectum,0.7556058245217173
cell7082,T cell of anorectum,0.6883534850242772
cell7083,T cell of anorectum,0.644038170803282
cell7084,T cell of anorectum,0.7018610339857906
cell7085,T cell of anorectum,0.712975797486348
cell7086,T cell of anorectum,0.7187701171992731
cell7087,T cell of anorectum,0.6390069172265439
cell7088,T cell of anorectum,0.7369904516616367
cell7089,T cell of anorectum,0.6540211836892594
cell7090,T cell of anorectum,0.6498720849713421
cell7091,T cell of anorectum,0.7469154087707575
cell7092,T cell of anorectum,0.5209406930471613
cell7093,T cell of anorectum,0.6187442793840827
cell7094,T cell of anorectum,0.59354284911061
cell7095,T cell of anorectum,0.7223289054336829
cell7096,T cell of anorectum,0.7350069320222563
cell7097,T cell of anorectum,0.7313042399399686
cell7098,T cell of anorectum,0.7620985858241318
cell7099,T cell of anorectum,0.6413655954711446
cell7100,T cell of anorectum,0.691252811683439
cell7101,T cell of anorectum,0.750952412664033
cell7102,T cell of anorectum,0.7053176657570955
cell7103,T cell of anorectum,0.6593426371639666
cell7104,T cell of anorectum,0.7400593139638616
cell7105,T cell of anorectum,0.692346675225061
cell7106,T cell of anorectum,0.6710368860971779
cell7107,T cell of anorectum,0.6711093076826826
cell7108,T cell of anorectum,0.6293551401345783
cell7109,T cell of anorectum,0.704227094670724
cell7110,T cell of anorectum,0.7209814885341167
cell7111,T cell of anorectum,0.7328296374873915
cell7112,T cell of anorectum,0.7094250366520272
cell7113,T cell of anorectum,0.7449593742253403
cell7114,T cell of anorectum,0.6918094345206696
cell7115,T cell of anorectum,0.6955252183332037
cell7116,T cell of anorectum,0.7323117763935767
cell7117,T cell of anorectum,0.5598966187006229
cell7118,T cell of anorectum,0.757073953727861
cell7119,T cell of anorectum,0.6938507662478981
cell7120,T cell of anorectum,0.688239715539286
cell7121,T cell of anorectum,0.5088112469138463
cell7122,T cell of anorectum,0.7417506240067715
cell7123,T cell of anorectum,0.7329219514972519
cell7124,T cell of anorectum,0.6858677891340108
cell7125,T cell of anorectum,0.714771816377238
cell7126,T cell of anorectum,0.653815567529999
cell7127,T cell of anorectum,0.762803291579614
cell7128,T cell of anorectum,0.670366007894469
cell7129,T cell of anorectum,0.6711753820321777
cell7130,T cell of anorectum,0.7247128801878037
cell7131,T cell of anorectum,0.7122433917081963
cell7132,T cell of anorectum,0.4635147793451961
cell7133,T cell of anorectum,0.7071393146916186
cell7134,T cell of anorectum,0.4937208447246916
cell7135,T cell of anorectum,0.6524803216029226
cell7136,T cell of anorectum,0.5644385840347432
cell7137,T cell of anorectum,0.7600328755270531
cell7138,T cell of anorectum,0.5943060038006214
cell7139,T cell of anorectum,0.6635859939200426
cell7140,T cell of anorectum,0.7442930125318212
cell7141,T cell of anorectum,0.6739418397116488
cell7142,T cell of anorectum,0.7242190751553548
cell7143,T cell of anorectum,0.6114751117492188
cell7144,T cell of anorectum,0.6757990765838643
cell7145,T cell of anorectum,0.6835339934089929
cell7146,T cell of anorectum,0.6023429040728481
cell7147,T cell of anorectum,0.7324538644381412
cell7148,T cell of anorectum,0.7486501571201151
cell7149,T cell of anorectum,0.6713914882434812
cell7150,T cell of anorectum,0.746350195017076
cell7151,T cell of anorectum,0.62851798707771
cell7152,T cell of anorectum,0.7048488630678319
cell7153,T cell of anorectum,0.7010257102235556
cell7154,T cell of anorectum,0.6981877008525719
cell7155,T cell of anorectum,0.6508628511950619
cell7156,T cell of anorectum,0.6988396077244766
cell7157,T cell of anorectum,0.754760545820512
cell7158,T cell of anorectum,0.70057032069553
cell7159,T cell of anorectum,0.6993570807798595
cell7160,T cell of anorectum,-0.21417206728642785
cell7161,T cell of anorectum,0.7418276518473566
cell7162,T cell of anorectum,0.741622265998518
cell7163,T cell of anorectum,0.5590359283193104
cell7164,T cell of anorectum,0.6378423771139343
cell7165,T cell of anorectum,0.675597437107805
