,AT1/AT2-like,AT2/Club-like,B cell,T cell,alveolar macrophage,basal cell,blood vessel endothelial cell,chondrocyte,ciliated cell,club cell,dendritic cell,endothelial cell,endothelial cell of artery,enucleate erythrocyte,fibroblast,goblet cell,lymphatics,macrophage,mast cell,monocyte,myofibroblast cell,natural killer cell,pericyte cell,smooth muscle cell,type I pneumocyte,type II pneumocyte,unknown,vascular associated smooth muscle cell,vein endothelial cell
ENSG00000174628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5988908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6637261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000111300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5363595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131370,0.0,0.0,0.0,0.0,1.3043497,0.0,0.0,0.0,0.0,0.0,0.0,2.9946237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000265972,0.0,0.0,0.0,0.0,2.5444932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1132605,0.0,2.750044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1570559
ENSG00000090661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2716458,1.8540585,0.0,0.0,0.0,0.0,0.0,2.083857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168769,0.0,1.6539057,0.0,0.0,1.2681054,0.0,0.0,0.0,0.0,0.0,2.5152907,0.0,0.0,0.0,0.0,1.6980712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000140836,0.0,1.4096496,0.0,0.0,1.2019846,0.6099349,0.0,0.0,1.6950263,0.0,0.0,0.0,0.0,0.0,1.2734898,0.0,1.037484,2.377999,0.0,0.0,3.1785955,0.0,2.6105235,3.5634077,1.7849998,0.0,0.0,3.832387,0.0
ENSG00000157796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3238969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000122417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7920818,2.0578172,0.0,0.0,0.0,0.0,0.0,2.886328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171843,1.8455932,2.4886553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1144156,0.0,0.0,0.0,0.0,0.0,2.4390438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.935194,0.0,0.0,0.0,0.0
ENSG00000153944,0.0,2.1004367,3.0355225,1.8301667,0.0,2.4078505,0.0,0.0,3.1866307,3.0668874,0.0,0.0,0.0,0.0,0.0,3.154638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6888309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9921726,0.0,0.0,0.0,0.0,0.0
ENSG00000028528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86090034,0.0,0.0,0.0,0.0
ENSG00000141338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6550589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7337842,0.0,0.0,0.0,0.0,0.0
ENSG00000138593,3.5090227,3.3591561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4191077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2310665,0.0,0.0,0.0
ENSG00000114423,0.0,0.0,0.0,2.7229562,0.0,1.9304254,0.0,0.0,1.3634388,0.0,0.0,0.0,0.0,0.0,2.9065266,1.9984865,0.0,0.0,0.0,0.0,0.85570234,3.0887365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168137,0.0,2.208274,0.0,0.0,1.2734767,1.6528764,2.9751565,0.0,1.1391447,2.0749738,0.0,0.0,0.0,0.0,1.5943935,2.021471,1.5452802,0.0,0.0,0.0,2.3580487,0.0,0.0,0.0,1.8621116,1.6684139,1.7041442,0.0,1.7369983
ENSG00000113742,0.0,0.0,0.0,0.0,1.0446125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0280634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6012186,0.0,0.0,0.0,0.0,1.0058787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000148842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9221925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000107290,0.0,0.0,0.0,0.0,1.4984978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000072786,0.0,0.0,0.0,2.4666266,1.4541961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1688037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116044,0.0,1.3605832,0.0,0.0,1.8314126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77088356,0.0,1.9361593,0.0,0.0,0.0,0.0,0.0,0.0,1.211522,0.0,0.0,0.0,0.0
ENSG00000153714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
