author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
AT1/AT2-like,0.10300012541480794,0.24883644568462007,0.171157650016873,80
AT2/Club-like,0.27063478109895556,0.16258983341331568,0.31937574040486943,117
B cell,0.8787672017313342,0.028246302717174526,0.887053401342126,87
T cell,0.3480916478485092,0.20182612907445074,0.4215050998958657,596
alveolar macrophage,0.3897825626413727,0.25403162877091884,0.4883159380759002,2641
basal cell,-0.4673313720339005,0.14121294802358975,-0.4265483523018523,60
blood vessel endothelial cell,-0.7944639806150151,0.0922449262198951,-0.8456341738663826,7
chondrocyte,-0.7440061301609262,0.0948862933949482,-0.7324062246711017,37
ciliated cell,0.8815371316711383,0.02560248219922512,0.8890955557292827,240
club cell,0.06637496530246208,0.3865232352818934,0.23512454933391552,230
dendritic cell,0.7102432686503313,0.13119058824966262,0.7727346230250651,32
endothelial cell,0.17804883526315476,0.3283276351198213,0.2627197701747438,266
endothelial cell of artery,0.05167565494866407,0.10274691029179132,0.0925133324492166,39
enucleate erythrocyte,0.9516069355631159,0.010158868723342866,0.9508811976557331,13
fibroblast,0.2148752046079516,0.16221560276652106,0.2340559233322909,674
goblet cell,0.6328159395761686,0.2095709107323965,0.7119520139309051,95
lymphatics,0.9252329908953796,0.02062580662072844,0.9307634829887372,128
macrophage,0.7296927544734084,0.09224873068695387,0.7531971914759674,205
mast cell,0.07292040291451457,0.3638701882721636,0.2843242598773741,26
monocyte,0.23537069481461373,0.26313890453365696,0.32502419406324196,831
myofibroblast cell,0.5637708393717704,0.17295540623254851,0.6505958998436383,18
natural killer cell,0.7713237584521818,0.0702465954256374,0.7928130650885534,183
pericyte cell,0.6787617229275956,0.16237266025528257,0.7075325344455841,71
smooth muscle cell,-0.33124550127844093,0.14549620600999805,-0.32356518352166447,20
type I pneumocyte,0.7263078165079647,0.11974261340723524,0.7727478855856298,1092
type II pneumocyte,0.30548371513875905,0.2831427530128453,0.4134293736406849,2069
unknown,-0.7514156890835657,0.07900712645195188,-0.7640214707128253,473
vascular associated smooth muscle cell,0.10907327174341792,0.4480491035981021,0.3050927346240017,25
vein endothelial cell,-0.04851243465275808,0.12063187748595662,-0.053463024121866876,34
