,AT1/AT2-like,AT2/Club-like,B cell,T cell,alveolar macrophage,basal cell,blood vessel endothelial cell,chondrocyte,ciliated cell,club cell,dendritic cell,endothelial cell,endothelial cell of artery,enucleate erythrocyte,fibroblast,goblet cell,lymphatics,macrophage,mast cell,monocyte,myofibroblast cell,natural killer cell,pericyte cell,smooth muscle cell,type I pneumocyte,type II pneumocyte,unknown,vascular associated smooth muscle cell,vein endothelial cell
MLLT3,0.8571428571428571,0.8750259344066892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9001362047025135,0.0,0.0,0.0,0.0,0.0,0.8732103407382965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8587964539016996,0.0,0.0,0.0,0.0
MSI2,0.0,0.7903097591229847,0.818282384957586,0.7857142857142857,0.0,0.7988424386296954,0.0,0.0,0.8252128149781909,0.8194103049380439,0.0,0.0,0.0,0.0,0.0,0.8234402196747916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL6A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9790181858198983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0
SNX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ABCA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDE5A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SECISBP2L,0.9286601287978036,0.9254773472036634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9058547509568078,0.0,0.0,0.0
CBLB,0.0,0.0,0.0,0.8479335818971906,0.0,0.8160871182169233,0.0,0.0,0.7990140723330634,0.0,0.0,0.0,0.0,0.0,0.8552821491445813,0.8187016206128257,0.0,0.0,0.0,0.0,0.7857142857142857,0.8638193075145993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SETD5,0.0,0.6330386613096509,0.0,0.0,0.5394815887723651,0.5586010217666626,0.7258294714348656,0.0,0.5357142857142857,0.6140531003475189,0.0,0.0,0.0,0.0,0.5542004661900657,0.6066739218575614,0.5513827119554792,0.0,0.0,0.0,0.6540782834802356,0.0,0.0,0.0,0.5852387994527817,0.560050870691027,0.5640334870134082,0.0,0.5682264183248792
CPEB4,0.0,0.0,0.0,0.0,0.9648515113762447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
