cluster,count
alveolar macrophage,2641
type II pneumocyte,2069
type I pneumocyte,1092
monocyte,831
fibroblast,674
T cell,596
unknown,473
endothelial cell,266
ciliated cell,240
club cell,230
macrophage,205
natural killer cell,183
lymphatics,128
AT2/Club-like,117
goblet cell,95
B cell,87
AT1/AT2-like,80
pericyte cell,71
basal cell,60
endothelial cell of artery,39
chondrocyte,37
vein endothelial cell,34
dendritic cell,32
mast cell,26
vascular associated smooth muscle cell,25
smooth muscle cell,20
myofibroblast cell,18
enucleate erythrocyte,13
blood vessel endothelial cell,7
