cluster,n_cells,percentage
AT1/AT2-like,80,0.77
AT2/Club-like,117,1.13
B cell,87,0.84
T cell,596,5.74
alveolar macrophage,2641,25.42
basal cell,60,0.58
blood vessel endothelial cell,7,0.07
chondrocyte,37,0.36
ciliated cell,240,2.31
club cell,230,2.21
dendritic cell,32,0.31
endothelial cell,266,2.56
endothelial cell of artery,39,0.38
enucleate erythrocyte,13,0.13
fibroblast,674,6.49
goblet cell,95,0.91
lymphatics,128,1.23
macrophage,205,1.97
mast cell,26,0.25
monocyte,831,8.0
myofibroblast cell,18,0.17
natural killer cell,183,1.76
pericyte cell,71,0.68
smooth muscle cell,20,0.19
type I pneumocyte,1092,10.51
type II pneumocyte,2069,19.92
unknown,473,4.55
vascular associated smooth muscle cell,25,0.24
vein endothelial cell,34,0.33
