,AZGP1 SCGB3A1 LTF high Goblet Cells,AZGP1 high Goblet Cells,B Cells,BEST4 high Cilia high Ciliated Cells,BPIFA1 high Secretory Cells,Basal Cells,CCL5 high Squamous Cells,CD8 T Cells,Cilia high Ciliated Cells,Dendritic Cells,Deuterosomal Cells,Developing Ciliated Cells,Developing Secretory and Goblet Cells,Early Response FOXJ1 high Ciliated Cells,Early Response Secretory Cells,Early Response T Cells,Enteroendocrine Cells,Erythroblasts,FOXJ1 high Ciliated Cells,HOPX high Squamous Cells,ITGAX high Macrophages,Interferon Responsive Ciliated Cells,Interferon Responsive Cytotoxic CD8 T Cells,Ionocytes,KRT24 KRT13 high Secretory Cells,MUC5AC high Goblet Cells,Mitotic Basal Cells,SCGB1A1 high Goblet Cells,SERPINB11 high Secretory Cells,SPRR2D high Squamous Cells,VEGFA high Squamous Cells
ENSG00000114331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000182827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.0,0.0,0.9751758337020874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100813,0.0,0.899423889319102,0.9269774536291758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9329863806565603,0.0,0.8667970875898997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667
ENSG00000131473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979978334903717,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000161533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000123983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9505011022090912,0.0,0.0,0.0,0.0,0.9258187433083852,0.0,0.0,0.0,0.0,0.0,0.9179716388384501
ENSG00000068366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075624,0.5414998014767964,0.5532094796498617,0.5854926427205404,0.0,0.0,0.0,0.0,0.5528398911158244,0.0,0.6532401502132416,0.0,0.0,0.0,0.5415205677350362,0.5848635554313659,0.5514251828193665,0.0,0.0,0.5333333333333333,0.6550600866476695,0.6388700445493062,0.0,0.7666654706001281,0.0,0.583801519870758,0.0,0.0,0.0,0.0,0.5747777163982392,0.5454060733318329
ENSG00000184009,0.3633717815081278,0.39982216358184813,0.26666666666666666,0.0,0.34032751123110455,0.3150868813196818,0.0,0.3180897752443949,0.0,0.37457566261291503,0.2899368147055308,0.0,0.0,0.3700461188952128,0.52410782178243,0.3842514952023824,0.0,0.0,0.32382431626319885,0.5511431435743968,0.0,0.30670618216196693,0.5323874513308208,0.2967536966005961,0.37714282870292665,0.2860404312610626,0.29477602044741313,0.31845123171806333,0.3570866783459981,0.4595511794090271,0.46001267234484355
ENSG00000130402,0.0,0.7919061621030171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.770695169766744,0.8017945647239685,0.0,0.0,0.0,0.768620373805364,0.8552671273549398,0.0,0.0,0.0,0.0,0.7927584886550904,0.0,0.0,0.0,0.0,0.7666666666666667,0.8150262653827667
ENSG00000115073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.809894080956777,0.8318567236264547,0.0,0.0,0.0,0.0,0.8658407072226206,0.0,0.0,0.8959760129451751,0.0,0.0,0.0,0.0,0.0,0.0,0.8200260519981384,0.8307192107041677
ENSG00000115091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8489325165748596,0.0,0.0,0.0,0.8145607789357503,0.8,0.0,0.0,0.0,0.0,0.8186674594879151,0.0,0.0,0.9149963200092316,0.0,0.0,0.0,0.0,0.0,0.0,0.845248031616211,0.8422113418579101
ENSG00000113812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.9459165851275126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9600523134072622
ENSG00000143537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000151694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000042980,0.0,0.0,0.0,0.0,0.0,0.8373460491498311,0.0,0.0,0.0,0.0,0.0,0.0,0.895795077085495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8465926905473073,0.8333333333333334,0.837329254547755,0.8576941271622975,0.0,0.0,0.0
ENSG00000168615,0.0,0.8685745755831401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9111500680446625,0.0,0.0,0.0,0.0,0.8836933076381683,0.0,0.0,0.0,0.0,0.8666666666666667,0.8900962710380554
ENSG00000160710,0.8289611200491588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8466986298561097,0.8010291238625844,0.0,0.0,0.0,0.8,0.8418445726235707,0.0,0.8250203311443329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8024289886156718
