,AT1,AT2,Artery,B Cells,Basophil and Mast Cells,Capillary,Ciliated Cells,Lymphatic  Cells,Macrophage and Dendritic Cells,Macrophages,Monocytes,Natural Killer Cells,Neutrophils,Other Epithelial Cells,Proliferating Macrophage,Stromal Cells,T Cells,Vein
ENSG00000188290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8184333,0.0,0.0,0.0,0.0
ENSG00000187608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6834972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162571,0.0,0.0,0.0,0.0,0.0,0.0,1.0278933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000078808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28306633,0.0,0.0,0.0,0.0,0.3742893,0.0,0.0,0.0
ENSG00000160087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1538097,0.0,0.0,0.0
ENSG00000175756,0.0,0.83704984,0.0,0.0,0.0,0.0,0.92636794,0.0,0.0,0.6830523,0.0,0.0,0.0,0.0,0.94585985,0.0,0.0,0.0
ENSG00000221978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15875842,0.0,0.0,0.0
ENSG00000242485,0.0,0.8562802,0.0,0.0,0.0,0.0,0.83044124,0.0,0.0,0.73686075,0.0,0.0,0.0,0.26167607,0.63030803,0.0,0.0,0.0
ENSG00000160075,0.0,0.88498473,0.0,0.0,0.0,0.0,0.769482,0.0,0.0,0.63137525,0.0,0.0,0.0,0.0,0.6664604,0.0,0.0,0.0
ENSG00000248333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17346403,0.0,0.0,0.0
ENSG00000078369,0.0,0.47959653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7791355,0.81885886,0.0,0.0,0.0,0.68464434,0.0,0.0,0.0
ENSG00000142609,0.0,0.0,0.0,0.0,0.0,0.0,0.41455027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162585,0.0,0.38514367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40965116,0.0,0.0,0.0
ENSG00000157933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26064444,0.0,0.0,0.0
ENSG00000157916,0.0,0.44649532,0.0,0.0,0.0,0.0,0.5486856,0.0,0.0,0.6040504,0.0,0.0,0.0,0.0,0.7168361,0.0,0.0,0.0
ENSG00000069424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5113463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116251,1.5509802,2.416743,2.1432989,2.5003188,2.9796152,0.0,2.032066,2.1386998,2.4982107,2.5485804,2.5564075,2.3884041,0.0,2.4634264,2.4171615,2.2344856,2.692234,2.2940128
ENSG00000116237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2127102,0.0,0.0,0.0
ENSG00000097021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16502811,0.0,0.0,0.0
ENSG00000171735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18172897,0.0,0.0,0.0,0.0,0.3845241,0.0,0.0,0.0
ENSG00000049245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4732361,0.0,0.0,0.0,0.0,0.37855434,0.0,0.0,0.0
ENSG00000116288,0.0,1.0713575,0.0,0.0,0.0,0.0,1.2979915,0.0,0.0,1.0818193,0.0,0.0,0.0,0.7072391,1.2439194,0.0,0.0,0.0
ENSG00000116285,0.0,0.44719574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142599,0.0,0.0,0.0,0.0,0.0,0.0,0.2982598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000074800,1.4597057,1.8883605,0.0,0.0,0.0,0.0,0.8006864,0.0,1.3955909,1.4895941,1.7855366,0.0,0.0,0.5061236,1.9548955,0.0,0.0,0.0
