GSVA_anno_labels_lowcluster,mean_silhouette,std_silhouette,median_silhouette,count
AT2,0.42033249036934245,0.23282360381898856,0.5015089802783506,39466
AT1,0.5626378181581473,0.15085228873749373,0.6074477182590146,15141
Macrophages,0.21059957117067457,0.258238192512915,0.326503623581244,9722
Capillary,0.30717787846045447,0.23309217684428984,0.3696690108225344,6989
Artery,0.191011156534039,0.29091386693939836,0.27367907740927455,5382
T Cells,0.24736661404131582,0.30516061525589355,0.3679099921168641,4889
Monocytes,0.36838742978821015,0.3102167951720591,0.47293909032432946,4596
Macrophage and Dendritic Cells,0.40469601718006337,0.23570901738702557,0.4724176825953136,4153
Vein,0.46768912908275273,0.25603396907738707,0.5635435229770832,3357
Stromal Cells,0.45853411732772054,0.3483114191240164,0.6458544843746772,2920
Natural Killer Cells,0.7117768962729458,0.19281099222414336,0.7557681033915259,2495
Neutrophils,0.7362250013435063,0.14344634151241864,0.78037042519045,2301
Ciliated Cells,0.6870216158787401,0.08606568838906484,0.7006512719458716,2299
Lymphatic  Cells,0.7060972648372942,0.13483834710402515,0.7336423850792131,2014
Basophil and Mast Cells,0.8545949034798271,0.08180284760536491,0.8726217406452343,1602
Other Epithelial Cells,0.6947056515690261,0.34476308380927745,0.781589282653458,505
Proliferating Macrophage,-0.6313511975886708,0.18192892210631112,-0.7600282090782225,492
B Cells,0.594049594417744,0.3088780712641801,0.6922607216863854,290
