cluster,count
AT2,39466
AT1,15141
Macrophages,9722
Capillary,6989
Artery,5382
T Cells,4889
Monocytes,4596
Macrophage and Dendritic Cells,4153
Vein,3357
Stromal Cells,2920
Natural Killer Cells,2495
Neutrophils,2301
Ciliated Cells,2299
Lymphatic  Cells,2014
Basophil and Mast Cells,1602
Other Epithelial Cells,505
Proliferating Macrophage,492
B Cells,290
