cluster_name,skos,manual_mapped_cid,cell_ontology_id
AT1,,,CL:0002062
AT2,,,CL:0002062
Artery,,,CL:1001568
B Cells,,,CL:0000236
Basophil and Mast Cells,,,unknown
Capillary,,,CL:4028001
Ciliated Cells,,,CL:1000271
Lymphatic  Cells,,,unknown
Macrophage and Dendritic Cells,,,unknown
Macrophages,,,CL:1001603
Monocytes,,,CL:0000576
Natural Killer Cells,,,CL:0000623
Neutrophils,,,CL:0000775
Other Epithelial Cells,,,unknown
Proliferating Macrophage,,,CL:1001603
Stromal Cells,,,CL:0000499
T Cells,,,CL:0000084
Vein,,,CL:0002543
