,AT1,AT2,Artery,B Cells,Basophil and Mast Cells,Capillary,Ciliated Cells,Lymphatic  Cells,Macrophage and Dendritic Cells,Macrophages,Monocytes,Natural Killer Cells,Neutrophils,Other Epithelial Cells,Proliferating Macrophage,Stromal Cells,T Cells,Vein
CAMTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18172897,0.0,0.0,0.0,0.0,0.3845241,0.0,0.0,0.0
VAMP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4732361,0.0,0.0,0.0,0.0,0.37855434,0.0,0.0,0.0
PARK7,0.0,1.0713575,0.0,0.0,0.0,0.0,1.2979915,0.0,0.0,1.0818193,0.0,0.0,0.0,0.7072391,1.2439194,0.0,0.0,0.0
ERRFI1,0.0,0.44719574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RERE,0.0,0.0,0.0,0.0,0.0,0.0,0.2982598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENO1,1.4597057,1.8883605,0.0,0.0,0.0,0.0,0.8006864,0.0,1.3955909,1.4895941,1.7855366,0.0,0.0,0.5061236,1.9548955,0.0,0.0,0.0
CTNNBIP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15945233,0.0,0.0,0.0
PGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.021674,1.1290469,0.0,0.0,0.0,0.5138928,0.0,0.0,0.0
CENPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1604529,0.0,0.0,0.0
TARDBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24921855,0.0,0.0,0.0
MAD2L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23078164,0.0,0.0,0.0
AGTRAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19803438,0.0,0.0,0.0,0.0,0.30392718,0.0,0.0,0.0
KIAA2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18300053,0.0,0.0,0.0
TNFRSF1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4794222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155282,0.0,0.0,0.0
PRDM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26850867,0.0,0.0,0.0
FHAD1,0.0,0.0,0.0,0.0,0.0,0.0,1.2428521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFHD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6299416,0.8880532,1.5386535,1.7797773,0.0,0.0,0.0,0.0,0.0,0.0
SPEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31908053,0.0,0.0,0.0,0.0,0.33948496,0.0,0.0,0.0
SZRD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32308894,0.0,0.0,0.0
NECAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39679867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDHB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4291701,0.0,0.0,0.0,0.0,0.36768687,0.0,0.0,0.0
RCC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14371613,0.0,0.0,0.0
UBR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21780753,0.0,0.0,0.0
AKR7A2,0.0,0.0,0.0,0.0,0.0,0.0,0.57316583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41152918,0.0,0.0,0.0
CAPZB,0.0,0.47658557,0.0,0.0,0.0,0.0,0.0,0.0,0.5165436,0.79376376,1.0276628,0.0,0.0,0.0,0.6650483,0.0,0.0,0.0
MICOS10,0.0,0.5138167,0.0,0.0,0.0,0.0,0.68092525,0.0,0.0,0.7514992,0.0,0.0,0.0,0.0,0.7728322,0.0,0.0,0.0
UBXN10,0.0,0.0,0.0,0.0,0.0,0.0,0.6990999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDOST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23359846,0.0,0.0,0.0,0.0,0.3542728,0.0,0.0,0.0
HP1BP3,0.0,0.5997476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75919384,0.0,0.0,0.0,0.0,1.5189836,0.0,0.0,0.0
ALPL,0.0,0.8875764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31184298,0.0,0.0,0.0
HSPG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99840254
CDC42,0.94452274,0.9918467,0.0,0.0,0.0,0.0,1.3624395,0.0,1.2649033,1.5380735,1.6506809,1.6483034,0.0,0.575369,1.1659974,0.0,1.1618599,0.0
C1QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9138358,3.425799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6427319,2.2377834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8882544,3.5748944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDM1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29365215,0.0,0.0,0.0
HNRNPR,0.0,0.62170815,0.0,0.0,0.0,0.0,0.6388464,0.0,0.0,0.67195463,0.0,0.0,0.0,0.18072896,1.0789049,0.0,0.0,0.0
TCEA3,0.0,0.25189674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20225593,0.0,0.0,0.0
RPL11,2.3219368,3.458844,3.0630212,3.5185165,4.033043,2.2990377,2.89434,2.9470956,3.2542584,3.3622887,3.3396482,3.3781075,0.0,3.2471044,3.2025962,3.1303434,3.7490683,3.140161
ELOA,0.0,0.4797783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23576161,0.0,0.0,0.0
PITHD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31238627,0.0,0.0,0.0
FUCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24623889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNRC2,0.0,0.7454643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3902652,0.0,0.0,0.0,0.0,0.8323512,0.0,0.0,0.0
SRSF10,0.0,0.668887,0.0,0.0,0.0,0.0,1.0291343,0.0,0.0,0.39378315,0.0,0.0,0.0,0.0,0.8632982,0.0,0.0,0.0
RCAN3,0.0,0.0,0.0,0.0,0.0,0.0,0.669375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRRM1,0.0,0.9213416,0.0,0.0,0.0,0.0,1.0552788,0.0,0.65010965,1.0313406,0.5760095,1.3367426,0.0,0.73516,1.1571345,0.0,0.0,0.0
CLIC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23760702,0.0,0.0,0.0
RUNX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5559772,0.0,0.0,0.0,0.0,0.0,0.0
SYF2,0.0,0.27107337,0.0,0.0,0.0,0.0,0.56708825,0.0,0.0,0.72864515,0.0,0.0,0.0,0.0,0.66359043,0.0,0.0,0.0
RSRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31401867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM50A,0.0,0.4167763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7557719,0.0,0.0,0.0,0.0,0.5803311,0.0,0.0,0.0
SELENON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20837526,0.0,0.0,0.0
