,Basal II cells,Basal cells,Ciliated cells,Club cells,Dendritic cells,Goblet cells,Ionocytes,MT gene enriched cells,Mast cells,Maturing ciliated cells,NK cells,Neutrophils & macrophages,Peri-goblet cells,Secretory cells (HLA-DQA1),Suprabasal cells,T cells
TSPAN6,0.5416708452869374,0.0,0.7185343895375124,0.6032639949945671,0.0,0.6165354075250783,0.5333333333333333,0.0,0.0,0.626490473949913,0.0,0.0,0.581396356141353,0.5930988821168419,0.0,0.0
DPM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CFH,0.0,0.0,0.0,0.8012648215142426,0.0,0.8500528500712877,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8595253195407723,0.0,0.0
FUCA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GCLC,0.0,0.0,0.8714549294090176,0.0,0.0,0.0,0.8375582663085532,0.0,0.0,0.8,0.0,0.0,0.8298541419571133,0.0,0.0,0.0
STPG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LAS1L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENPP4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFTR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CD99,0.390777658762795,0.41484975665336693,0.47548934119933034,0.3618332114738993,0.48113588480860214,0.388104203737391,0.0,0.0,0.5444531314510352,0.3333333333333333,0.0,0.0,0.3836305675201389,0.45197110658155515,0.0,0.6128768225031747
HS3ST1,0.0,0.0,0.0,0.7359242707948629,0.0,0.7838839224865338,0.0,0.0,0.8075164882525907,0.0,0.0,0.0,0.7487596163824103,0.7333333333333333,0.0,0.0
LASP1,0.0,0.0,0.0,0.0,0.0,0.8419670165076408,0.0,0.0,0.0,0.8151071691986665,0.0,0.0,0.8,0.8087935744204344,0.0,0.0
M6PR,0.0,0.0,0.0,0.8,0.8592600317128399,0.81117463510148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8288404694837664,0.0,0.0
CFLAR,0.5069241797629344,0.0,0.7628295488443637,0.5436803541306181,0.0,0.489022989286766,0.4831330386378781,0.0,0.0,0.5693904923913938,0.0,0.0,0.47649056940926704,0.5128995351267459,0.4666666666666667,0.0
SLC7A2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLDIP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AK2,0.5808204672830098,0.0,0.5333333333333333,0.6330866501354507,0.0,0.6268834902550452,0.6122064715359978,0.0,0.0,0.6706792690562798,0.0,0.0,0.5850193911442223,0.652608351587035,0.0,0.0
CD38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FKBP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KDM1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RECQL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFAB1,0.6,0.0,0.7473606129033333,0.6207657926716003,0.0,0.6200837555739376,0.0,0.0,0.0,0.7514110580136457,0.0,0.0,0.6042307804601799,0.6236734020341509,0.0,0.0
ZMYND10,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.9335735322283124,0.0,0.0,0.0,0.0,0.0,0.0
ST7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HCCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRSS22,0.0,0.0,0.7231896742442601,0.6834933694219821,0.0,0.7225753667336396,0.0,0.0,0.0,0.6938900634350081,0.0,0.0,0.6666666666666666,0.6782555052762569,0.0,0.0
UPF1,0.0,0.0,0.743789592635468,0.6698929131670518,0.0,0.7057850174541086,0.0,0.0,0.0,0.7420994988077857,0.0,0.0,0.6666666666666666,0.6838767055080929,0.0,0.0
SKAP2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A5,0.4108007616907371,0.3058388315474033,0.2686612208458799,0.34585027486277514,0.30904792373567286,0.3466841252115981,0.48446719813335976,0.0,0.0,0.26666666666666666,0.3480467644695332,0.0,0.43953524317727605,0.4031605778852081,0.3446168254875101,0.0
MCUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
POLR2J,0.8,0.0,0.0,0.814453722248434,0.0,0.8050861663203788,0.0,0.0,0.0,0.803544345460166,0.0,0.0,0.0,0.0,0.0,0.0
LIG3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CIAPIN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SPPL2B,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.9365347308212184,0.0,0.0,0.0,0.0,0.0,0.0
CREBBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WDR54,0.0,0.0,0.9625920072570874,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
KMT2E,0.606092667159475,0.0,0.5333333333333333,0.0,0.0,0.5957245706059653,0.5924976139876473,0.0,0.0,0.5699455214604948,0.0,0.0,0.5686124016638566,0.596823515514329,0.6215710205214848,0.0
RHBDD2,0.6062482476672225,0.0,0.7334688086920612,0.6276042242698929,0.0,0.6364542489194345,0.0,0.0,0.0,0.703946476924701,0.0,0.0,0.6212998468769044,0.6,0.0,0.0
IBTK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ITGA3,0.9258536011608631,0.0,0.9172355469833133,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
LAMP2,0.5418238209838274,0.0,0.0,0.5443694435054076,0.0,0.6311787040836967,0.6359235583767214,0.0,0.0,0.5473912944338883,0.0,0.0,0.6080386066926804,0.5950116098964529,0.5333333333333333,0.0
GDE1,0.0,0.0,0.0,0.6846835366735727,0.0,0.6666666666666666,0.7119394260101821,0.0,0.0,0.6889738074020803,0.0,0.0,0.7433076747395031,0.7213393429348945,0.0,0.0
TMEM98,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM132A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AP2B1,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.973380624369565,0.0,0.0,0.0,0.0,0.0,0.0
CX3CL1,0.7242913554785646,0.7130786785763988,0.0,0.6854374834946477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.7075372478578792,0.7778397236721813,0.0
TNFRSF12A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RALA,0.0,0.0,0.0,0.0,0.0,0.0,0.9762410602183201,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
BAIAP2L1,0.0,0.0,0.9127270296316752,0.0,0.0,0.8748762666637507,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
ALDH3B1,0.0,0.0,0.9762350106500236,0.8861755778436557,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SCIN,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARSD,0.0,0.0,0.8434526062756074,0.7759026929913485,0.0,0.7589358698585993,0.0,0.0,0.0,0.7333333333333333,0.0,0.0,0.773237483119555,0.0,0.0,0.0
PNPLA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MARK4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PROM1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAFAH1B1,0.6157047999175409,0.0,0.0,0.634207018994996,0.0,0.6367581870519738,0.6959083926933525,0.0,0.0,0.6222114887481747,0.0,0.0,0.6,0.646625247755525,0.0,0.0
NOS2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAH9,0.0,0.0,0.9936168992613645,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
BLTP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LUC7L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BAIAP3,0.0,0.0,0.9820349810598609,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
MYLIP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSMB1,0.3912139124841569,0.3451353132542796,0.48234379630545077,0.41509989930687813,0.36116350154858917,0.4745689162996574,0.38206013192990207,0.0,0.0,0.5417418548858483,0.0,0.0,0.4016681344438524,0.4519143635749993,0.3333333333333333,0.0
NADK,0.0,0.0,0.0,0.0,0.9471643296836204,0.9115785895698072,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
DLEC1,0.0,0.0,0.98126759452491,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SYPL1,0.5599831634738787,0.0,0.5524292637726375,0.5523790068588739,0.0,0.5821097082759591,0.0,0.0,0.0,0.5572814155266689,0.0,0.0,0.6135080879555658,0.6004078741814538,0.5333333333333333,0.0
CYB561,0.0,0.0,0.8768992730132571,0.0,0.0,0.8306870679152777,0.0,0.0,0.0,0.8492901556476682,0.0,0.0,0.0,0.8,0.0,0.0
MGST1,0.5465238360741602,0.43613127608256264,0.4,0.6205140763366335,0.0,0.5413220181118787,0.45774590003787147,0.0,0.0,0.519885738247451,0.0,0.0,0.5661830373059454,0.5903186390178423,0.419851766549623,0.0
NFIX,0.48541120603857535,0.5420918184702049,0.4,0.49237259936490124,0.0,0.40570146911198635,0.4320629416603692,0.0,0.0,0.4022572979416797,0.0,0.0,0.4708813301209095,0.45822937656945134,0.4532609512636105,0.0
IL32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PKD1,0.9015718841321398,0.0,0.9524460069195793,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
MED24,0.0,0.0,0.7343376892724681,0.6687827898955214,0.0,0.8174328537635845,0.7665805033808916,0.0,0.0,0.6835165610556617,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
SEC62,0.33449132000417975,0.37702465764580506,0.5100926252744716,0.4553175654324134,0.3333333333333333,0.5527749253764559,0.4290210356564538,0.0,0.0,0.34156014711301913,0.0,0.0,0.3625698760584933,0.3812364015511437,0.346936478466129,0.0
RPS20,0.08968925690509225,0.14086048615542743,0.009163543057274019,0.06237726215032521,0.05318057172672319,0.02528683503994759,0.018164860283794708,0.1503512686707846,0.06433088471097988,0.01542910265377655,0.20855149968686854,0.0,0.06621122918447428,0.052357149888622716,0.09323472889061571,0.053734144363312655
CSDE1,0.2977666046743349,0.2873482322781033,0.26666666666666666,0.34619617171492284,0.2721855369010205,0.3356004848779962,0.28900647371415633,0.0,0.3370479512265978,0.3278079943696815,0.0,0.0,0.3606112817758964,0.3269699729959715,0.29919179381116334,0.0
UBE3C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
REV3L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RANBP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF207,0.48207326455819005,0.0,0.5069544284128324,0.47690136279682566,0.0,0.4893961888314809,0.49542250939760335,0.0,0.0,0.5231432924110258,0.0,0.0,0.47299245644847737,0.5421800721698434,0.4666666666666667,0.0
