,Basal II cells,Basal cells,Ciliated cells,Club cells,Dendritic cells,Goblet cells,Ionocytes,MT gene enriched cells,Mast cells,Maturing ciliated cells,NK cells,Neutrophils & macrophages,Peri-goblet cells,Secretory cells (HLA-DQA1),Suprabasal cells,T cells
REEP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12968452579984877,0.0,0.0,0.0,0.0,0.0,0.0
CAVIN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8398099802234504,0.0
FNTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2797580621994403,0.0,0.0
SERINC2,0.4720072907399815,0.0,0.0,0.9191049432320735,0.0,1.0571034063389375,0.0,0.0,0.0,0.3673070432359028,0.0,0.0,0.7733148251119193,0.723796512311084,0.0,0.0
SLC20A2,0.0,0.0,0.5700937691586863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DYNLRB2,0.0,0.0,1.6558673523282286,0.0,0.0,0.0,0.0,0.0,0.0,0.3646812132914013,0.0,0.0,0.0,0.0,0.0,0.0
STAT3,0.506385400803256,0.0,0.6717276255955547,0.7508586350500486,0.6925477200564308,0.8124610346679926,0.8100284966454878,0.0,0.0,0.771173526143189,0.0,0.0,0.7058734626937542,0.8610938552108085,0.437271573443094,0.0
ADAM9,0.0,0.0,0.0,0.0,0.0,0.2891731472231272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFS5,0.7599523660187358,0.5994028405692355,0.7187752841195899,0.7833110868179025,0.0,0.8141029736308744,0.761105335702687,0.0,0.0,1.3289327251142344,0.0,0.0,0.7094577894897192,0.8290926947445517,0.8197537208618171,0.0
VWA3B,0.0,0.0,1.1448024881680277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM208,0.0,0.0,0.0,0.26848861003435504,0.0,0.4034750577001544,0.0,0.0,0.0,0.6962347629277345,0.0,0.0,0.0,0.0,0.0,0.0
AHCYL1,0.5173633604734437,0.0,0.40421428524701764,0.843393197320726,0.0,0.7161931912730908,0.6624738798295452,0.0,0.0,0.670610336861935,0.0,0.0,0.6985207683758846,0.5768018545633314,0.0,0.0
PKIG,0.0,0.0,0.775628157611338,0.0,0.0,0.0,0.0,0.0,0.0,0.4748639727146598,0.0,0.0,0.0,0.0,0.0,0.0
TCTN2,0.0,0.0,0.44574601729645125,0.0,0.0,0.0,0.0,0.0,0.0,0.3004513206302648,0.0,0.0,0.0,0.0,0.0,0.0
CHTF8,0.0,0.0,0.0,0.4280198738131338,0.0,0.3849260248974787,0.0,0.0,0.0,0.43480801423406645,0.0,0.0,0.0,0.0,0.0,0.0
MAPDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27532289580932506,0.0,0.0,0.0,0.0,0.0,0.0
STX18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3646812132914013,0.0,0.0,0.0,0.0,0.0,0.0
DDX19A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10565454683360347,0.0,0.0,0.0,0.0,0.0,0.0
RNF181,0.3871439849605681,0.0,0.0,0.5834465411178951,0.0,0.6108898348278536,0.0,0.0,0.0,0.7899576281488614,0.0,0.0,0.5182329338183096,0.3898645674817693,0.0,0.0
MAT2A,0.4545977966858091,0.0,0.0,0.0,0.0,0.42069031570522997,0.0,0.0,0.0,0.43493378406412675,0.0,0.0,0.4508125787355498,0.37603350797725105,0.18753868486360645,0.0
PPIC,0.0,0.0,0.0,0.0,0.0,0.4646807215566152,0.0,0.0,0.0,0.0,0.0,0.0,0.3327825609578421,0.5051051463115649,0.0,0.0
MFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34788046307406717,0.0,0.0,0.0,0.3240606517391422,0.0,0.0
LGALS9,0.41725265933985345,0.0,0.46048819301112953,0.9052740561212418,0.0,0.8079556500042293,0.0,0.0,0.0,0.39049716498483633,0.0,0.0,0.6061170355854897,0.7619572408674841,0.0,0.0
ATP5ME,0.9450993723221168,0.717770081265964,1.1228354820872486,0.9297283404394407,0.0,1.0562769109790064,0.6998131985779937,0.0,0.0,1.013977690876425,1.0689814496635603,0.0,0.9082955492240137,0.8632678923517929,0.8414928181784037,0.0
UQCRFS1,0.49910673965277724,0.0,0.0,0.47993673102626105,0.0,0.5084106764642081,0.4911508421784786,0.0,0.0,0.7250033232601785,0.0,0.0,0.5762730855607052,0.5453521161035252,0.0,0.0
HNRNPH1,1.0238561052877033,0.9688282005651168,0.6413263415774069,0.8762336137994238,0.9576828913724489,0.8495518129196767,0.761105335702687,0.0,0.8763563597522306,0.6843008493934267,0.0,0.0,0.8968579185874228,1.0165964570080586,1.0307031911218953,1.1084413700892766
UPF3A,0.0,0.0,0.0,0.0,0.0,0.0,0.6624738798295452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBBX,0.0,0.0,1.234863969992852,0.0,0.0,0.0,0.0,0.0,0.0,0.19283124040599234,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A6,2.0426175323165543,1.8721661369916553,0.9814965428222205,1.6497175295726105,1.6982334112172315,1.317809331900236,1.843763655087457,1.6326362868446753,1.5241651756007386,1.3979333959480775,1.305719048181155,0.0,1.7721900019152494,1.9830996777666168,1.83667836904795,1.3610360433048678
ODAD2,0.0,0.0,0.6411149092625575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7009567621777705,0.0,0.0,0.407344165820293,0.0,0.0,0.0
