cluster_name,skos,manual_mapped_cid,cell_ontology_id
B cells,,,CL:0000236
C-TAL,,,CL:1001106
CCD-IC-A,,,CL:1001432
CNT,,,CL:1000768
Classical monocytes,,,CL:0000860
DC,,,CL:0001056
DC2,,,CL:0000990
DCT,,,CL:1000849
DTL,,,CL:1001111
EC-AEA,,,CL:1000891
EC-AVR,,,CL:1001036
EC-DVR,,,CL:1001036
EC-GC,,,CL:1001005
EC-LYM,,,CL:0002138
EC-PTC,,,CL:1001033
FIB/aFIB,,,CL:1000692
IC-A,,,CL:1001432
IC-B,,,CL:1001432
IMCD,,,CL:1000547
M-FIB,,,CL:4030022
M-TAL,,,CL:1001106
Myeloid,,,CL:0000763
NK cells,,,CL:0000623
Non-classical monocytes,,,CL:0000875
PC,,,CL:1001431
PEC,,,CL:1000452
PT,,,CL:0002306
PT-S1/2,,,CL:0002306
PT-S3,,,CL:0002306
Podocytes,,,CL:0000653
T cells,,,CL:0000084
T/NK,,,CL:0000542
VSMC,,,CL:0000359
VSMC/P,,,CL:0008034
aPT,,,CL:0002306
aTAL,,,CL:1001106
dATL,,,CL:1001107
dC-IC-A,,,CL:1001432
dM-FIB,,,CL:4030022
dPT,,,CL:0002306
dVSMC,,,CL:0000359
