clusterName,gene
dM-FIB,AKR1B1
dM-FIB,LTBP1
dM-FIB,AQP2
CNT,CALB1
CNT,HMGCS2
CNT,TMEM52B
IC-B,SLC26A4
IC-B,INSRR
PT,GATM
PT,GSTA1
dC-IC-A,APOC1
dC-IC-A,SLC25A39
dC-IC-A,ERLN
CCD-IC-A,ERLN
CCD-IC-A,SLC4A1
CCD-IC-A,SLC26A7
Non-classical monocytes,FCGR3A
Non-classical monocytes,FCN1
Classical monocytes,S100A8
Classical monocytes,VCAN
Classical monocytes,S100A9
DC,C1QA
DC,C1QC
DC2,CLEC10A
DC2,CALHM6
B cells,CD79A
B cells,MS4A1
T cells,CD3D
NK cells,NKG7
NK cells,KLRF1
dVSMC,PLN
dVSMC,TPM2
VSMC/P,NOTCH3
VSMC/P,CPE
EC-LYM,MMRN1
EC-PTC,PLVAP
EC-PTC,RAMP3
EC-GC,SOST
EC-GC,EHD3
EC-AEA,PI16
EC-AEA,SLC6A6
EC-DVR,SLC14A1
EC-DVR,PALMD
EC-AVR,GPM6A
EC-AVR,SEMA3D
T/NK,IKZF1
T/NK,ARHGAP15
IC-A,GALNT17
IC-A,PDE1C
IMCD,LINC01924
IMCD,SLC14A2
DTL,PROM1
DTL,CPE
dATL,ABCA4
dATL,PROX1
aTAL,TMPRSS4
aTAL,SLC12A1
aTAL,CASR
M-TAL,RAP1GAP
M-TAL,CLCNKA
M-TAL,SLC12A1
C-TAL,CLDN16
C-TAL,UMOD
C-TAL,SLC12A1
DCT,SLC12A3
PC,AQP3
PC,FXYD4
aPT,CDH6
aPT,ACSM2A
aPT,AKAP12
PT-S1/2,ENSG00000248373
PT-S1/2,PRODH2
dPT,PCDH15
dPT,UPB1
dPT,PCSK5
PT-S3,C1QTNF7-AS1
PT-S3,ANKS1B
Podocytes,NPHS2
Podocytes,CLIC5
PEC,ALDH1A2
PEC,LINC01435
VSMC,KCNAB1
VSMC,RGS6
FIB/aFIB,NEGR1
FIB/aFIB,C7
M-FIB,MOXD1
M-FIB,SYT1
Myeloid,TBXAS1
Myeloid,MRC1
