,AT1,AT2,Adventitial FB,Alveolar FB,Alveolar macrophage,Arteriole,B cells,Basal,CD4,CD8/NKT,Ciliated,Differentiating ciliated,Inflamed,Inflammatory monocyte,Interstitial macrophage,KRT5-/KRT17+,Lymphatic,Mast,Mesothelial,Monocyte,Monocyte-derived macrophage,MyoFB,MyoFB - Activated,NK,PLIN2+ FB,PNEC,Pericyte,Plasma,Proliferating - Epi,Proliferating - Imm,SMC,Secretory - SCGB1A1+/MUC5B+,Secretory - SCGB1A1+/SCGB3A2+,Secretory - SCGB3A2+,Systemic venous,Transitional AT2,Venule,aCap,cDC1,cDC2,gCap,moDC,pDC
MMP23B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.801671967413877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1244594728559587,1.2566588051401415,0.0,0.0,0.0,0.0,0.0,0.0,0.8304809890922069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4818306882939676
PRKCZ,1.3373959420171992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAAP20,0.0,0.7528079016527099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.067466286683011,0.0,0.0,0.0,0.0,0.0,0.0,1.114515245496013,0.0,0.0,0.0,0.0,0.0,0.964803255267884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RER1,0.0,0.0,0.0,0.0,1.2400898062226902,0.0,0.0,0.0,0.0,0.0,0.0,0.633583402925048,0.0,0.0,1.343204982934962,1.2014541341385099,0.0,0.0,0.0,0.0,1.1124321406955233,0.0,1.441190157579357,0.0,0.0,0.0,0.0,1.3430177416057303,1.260641189577414,1.084291709052899,0.0,0.0,0.0,0.9824307341921052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9404354124653962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNAB2,0.0,0.0,0.0,0.0,0.969526857870253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.210016300951586,0.0,0.0,0.0,0.0,0.0,0.9232135132386685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL22,2.0778298573921905,2.471491891047352,2.2686984860272643,2.2717061979754782,2.352056373870064,2.343007293028854,2.662043312548551,2.3977981328692963,2.632320328285035,2.4698858341631746,1.925102337641916,2.2550769015806673,1.8426896087703617,2.317049426754294,2.170255293159558,2.2644587946675427,2.635060031448409,2.4822246740447746,2.4639800607553943,2.4475646603797956,2.340666206765586,2.3954317159187277,2.299694322520953,2.3998194941729696,2.30715263499771,2.225754130447783,2.2269915872410317,2.3087231856857913,2.30212758902984,2.2326957964879486,2.2764862411105886,2.528789194303634,2.5665335337809134,2.41177760936577,2.5749022750665076,2.262621360331613,2.306464272105633,1.9049676551722874,2.427223833391195,2.310783283822468,1.7548189537456131,2.284763171156765,2.3164065208418165
CAMTA1,0.0,0.0,0.0,0.0,0.9702570420493286,0.0,0.0,1.008741902617611,0.0,0.0,0.0,0.0,0.0,0.0,0.5772898821140289,1.1688515112427447,0.0,0.0,0.0,0.0,0.0,0.0,0.9358005742143202,0.0,0.0,0.0,0.0,0.0,1.0599456216018912,0.0,0.0,0.0,0.0,0.7626858306358568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAMP3,0.0,0.0,0.0,0.0,0.8128520035925879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9437132265672926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARK7,0.0,1.7178993878060451,1.6239597151160645,1.4776819661018572,1.665889260624075,0.7564536754550732,1.2714226870524656,1.7828184637889124,1.5328712868388477,1.7660371604296854,1.619415940408437,1.5549908375280237,0.0,1.463829561147074,1.6032851799176782,1.4366337409758527,1.389188838579281,0.0,1.6082665627769492,1.5454265355362302,1.5856782068652744,1.7160100546602504,1.709972104107884,1.7962544856570135,1.6794251072294513,1.8527649264638382,1.9237052009011846,1.6606639014080606,1.7791496214992992,1.6790503340395144,1.7349952030655018,1.6944313956428956,1.6145013393525787,1.6334150387053015,0.9427973017362845,1.4743836048771681,0.0,0.0,1.8359630780102776,1.533591902346924,0.0,1.4532945118154041,2.0795072185961123
ERRFI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00532841105838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7791585965467582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.496181633558902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENO1,1.9837810987317466,2.0110127514513496,1.280768829158892,1.5825033873464656,1.736481044785393,0.0,0.0,1.9451202386046993,1.9086822835706065,1.7679735184838974,1.0942304742079303,1.2644725801955898,0.9841748566676485,1.8468415180729498,2.027570438122005,2.210285907610102,0.8115357302615687,1.6089520405181712,1.9607501820237139,2.0109472960399364,1.8372934899034588,1.4565308066976,1.638403615851456,1.7629369904650565,1.8378969732005095,0.0,0.0,1.699515534392646,2.0767227074640657,1.9478922816417676,0.0,1.6018573573721513,1.6938981513712588,1.8415165808936762,1.0947605107621294,2.0722877494289844,0.0,0.0,1.8988816005859686,1.7902529788868335,0.0,1.7848337116550756,1.497268585415696
GPR157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2054463195782028,0.0,0.0,0.0,0.0
SPSB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8305904849723452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGD,0.0,0.0,0.0,0.0,1.9411800596191755,0.0,0.0,0.7249303554462834,0.0,0.0,0.0,0.0,0.0,1.540660709860508,1.700433145747605,0.0,0.0,0.0,0.0,1.9355189706142066,1.879825759130354,0.0,1.212784651422678,0.0,0.0,1.380085724913494,0.0,0.0,1.070333729856401,1.3189131091904107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3317973879189566,0.0,1.523667518207875,1.6497917808199882
SRM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8142084503287994,1.2746864186986175,0.0,0.0,0.0,0.0,0.0,0.0,1.4158280636815948,0.0,0.0,0.0,0.0,1.801829603057305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGTRAP,0.0,0.0,0.0,0.0,1.0159444518266039,0.0,0.0,0.0,0.0,0.0,0.9503913960579207,0.0,0.0,1.1727917211026866,0.9053398652186191,0.0,0.0,0.0,0.0,1.7594771885807503,0.7945269066239047,0.0,0.3396967831462951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLOD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0159296136109366,0.0,0.0,0.0,1.8594040967254573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7570594414204674,1.0920412595249842,0.0,0.0,0.0,0.0,1.8219872572903109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2054463195782028,0.0,0.0,0.0,0.0
PDPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5876409650337666,0.0,1.8500678213959727,0.0,0.0,0.0,1.0441598640341843,0.0,0.5766172105411517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FHAD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4619340399330203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
