,AT1,AT2,Adventitial FB,Alveolar FB,Alveolar macrophage,Arteriole,B cells,Basal,CD4,CD8/NKT,Ciliated,Differentiating ciliated,Inflamed,Inflammatory monocyte,Interstitial macrophage,KRT5-/KRT17+,Lymphatic,Mast,Mesothelial,Monocyte,Monocyte-derived macrophage,MyoFB,MyoFB - Activated,NK,PLIN2+ FB,PNEC,Pericyte,Plasma,Proliferating - Epi,Proliferating - Imm,SMC,Secretory - SCGB1A1+/MUC5B+,Secretory - SCGB1A1+/SCGB3A2+,Secretory - SCGB3A2+,Systemic venous,Transitional AT2,Venule,aCap,cDC1,cDC2,gCap,moDC,pDC
HES4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.9053984139864705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9173344045029788,0.0,0.0,0.0,0.9107872528250625,0.9280044671079191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISG15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDF4,0.0,0.0,0.8087679708948882,0.8224410132543327,0.7950759316565285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8263548183181513,0.7948149003953782,0.0,0.0,0.0,0.0,0.7912635987758485,0.0,0.8156400245173643,0.0,0.7990315682075477,0.0,0.0,0.8434402152472003,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTS11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.9793441088430777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MXRA8,0.0,0.0,0.9124462479670389,0.918064927718048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.9108869377991832,0.0,0.9066547710866383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURKAIP1,0.0,0.5501347211240022,0.0,0.0,0.5232172405534314,0.0,0.0,0.5179145802513503,0.0,0.0,0.516074308936655,0.5261413723845825,0.0,0.5021613015567404,0.5212006484672895,0.5443756079479036,0.0,0.0,0.5067061172096687,0.5073680742793705,0.5185422267208885,0.0,0.5295272026243962,0.0,0.5138883978326568,0.5446962070587977,0.0,0.6015843810448437,0.5968011638976556,0.5195990682802724,0.0,0.5434505311092606,0.0,0.5435585310024412,0.0,0.5104251639391053,0.0,0.0,0.5027805154345044,0.0,0.0,0.5,0.0
MRPL20,0.0,0.6855900429965682,0.0,0.0,0.667345728796658,0.0,0.0,0.665233556768805,0.0,0.0,0.6532018788206623,0.6730663808426003,0.0,0.0,0.6602326756547375,0.6559045556564465,0.0,0.0,0.0,0.0,0.6516017884522639,0.0,0.6579260952791784,0.0,0.0,0.6569961967083098,0.0,0.6527263283493995,0.6876475648834708,0.6428571428571429,0.0,0.6558938806251854,0.0,0.666607638865723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6452725757124631,0.0
VWA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSU72,0.0,0.6879379999007307,0.0,0.0,0.6822015339389984,0.0,0.0,0.6568837679701649,0.0,0.0,0.6429324109278997,0.6314923196863218,0.0,0.0,0.6479380423937643,0.6343933058580418,0.0,0.0,0.6219301637888907,0.0,0.6483869015831696,0.0,0.6245788510865241,0.0,0.0,0.649537794802886,0.0,0.6190476190476191,0.6519119232801052,0.6363969423033476,0.0,0.6329096986325822,0.0,0.6513353781613352,0.0,0.0,0.0,0.0,0.0,0.6377645109476306,0.0,0.0,0.0
