cluster,count
Monocyte-derived macrophage,93773
Ciliated,74760
AT2,42420
Inflammatory monocyte,24715
Secretory - SCGB1A1+/MUC5B+,20689
Alveolar macrophage,18296
Secretory - SCGB3A2+,15711
CD8/NKT,14352
Monocyte,12853
Systemic venous,10238
Basal,9349
moDC,9178
Differentiating ciliated,9088
Interstitial macrophage,8584
CD4,8168
NK,8155
cDC2,8027
Arteriole,8001
Secretory - SCGB1A1+/SCGB3A2+,7962
Venule,7512
AT1,5810
Proliferating - Imm,5805
Transitional AT2,5104
aCap,5034
Proliferating - Epi,4551
Lymphatic,4361
Adventitial FB,4129
Mesothelial,2782
Alveolar FB,2666
Mast,2604
B cells,2589
gCap,2397
KRT5-/KRT17+,2284
Pericyte,1949
SMC,1704
PLIN2+ FB,1435
MyoFB - Activated,1235
Plasma,1142
pDC,777
cDC1,664
MyoFB,457
Inflamed,345
PNEC,250
