level_3_annot,mean_silhouette,std_silhouette,median_silhouette,count
Macrophage_MMP9,-0.1496878,0.2270995,-0.09968114,345
Macrophage_TREM2,-0.055910375,0.20521283,-0.022399653,840
Mast,0.88398045,0.14013882,0.9008436,5342
Mature_colonocyte,0.4673586,0.2168797,0.53872275,16194
Melanocyte,0.6627557,0.4243677,0.7763215,345
Mesothelium,0.93759894,0.02091895,0.94422907,53
Microfold,-0.6431016,0.1224846,-0.63526773,56
Mono/neutrophil_MPO,-0.44938344,0.21653003,-0.3165228,23
Monocyte,0.2837108,0.34986198,0.44775838,2858
Mucous,0.4804577,0.35606733,0.6078449,830
Mucous_gland_neck,0.17826395,0.32197595,0.28647253,12308
Myoepithelial,0.011912134,0.26686585,0.11381507,195
Myofibroblast,0.48644713,0.37268913,0.66382855,1116
NK_CD16,-0.45070297,0.18640457,-0.40610185,1925
NK_CD56bright,0.29206896,0.40804178,0.47392863,1961
Neuroblast,-0.80085343,0.11206737,-0.83025044,55
Oesophagus_fibroblast,0.4560996,0.37904915,0.6320945,682
Oral_mucosa_fibroblast,-0.072767965,0.2672062,0.021571975,4206
Paneth,0.7895432,0.25108963,0.8477387,201
Pareital,0.4644423,0.34787434,0.59807825,1180
Pericyte,0.2800935,0.33653164,0.440843,2561
Rectum_fibroblast,-0.00652642,0.3830493,-0.13537647,1266
SF_like,-0.05724872,0.34627235,0.09973524,28
Seromucous,-0.5551213,0.26521516,-0.75017697,1354
Serous,0.08182736,0.3378507,0.23955886,4279
Surface_foveolar,0.0895094,0.29298156,0.1893016,9846
T/NK_cycling,-0.64997745,0.12063616,-0.6664036,677
TA,-0.46044737,0.10992703,-0.45110664,18617
Tfh,0.021190826,0.3569241,0.15984789,4712
Tfh_naive,0.09801435,0.2795276,0.18187761,5115
Tnaive/cm_CD4,-0.03138619,0.29832524,0.076403864,15625
Tnaive/cm_CD8,0.21518932,0.38485208,0.41253707,2943
Treg,-0.110456266,0.235525,-0.09560861,2362
Treg_IL10,0.28642482,0.3337563,0.4424347,8047
Trm/em_CD8,0.320367,0.28795943,0.44059938,12834
Trm_CD4,0.00022463466,0.29445276,0.06833173,21342
Trm_CD8,-0.09588703,0.21675715,-0.041458037,20449
Trm_Th17,0.02685547,0.2873346,0.13010693,12066
Tuft,0.6719489,0.35165995,0.77955997,1190
Vascular_smooth_muscle,0.6390917,0.19995916,0.69385433,6560
Villus_fibroblast_F3,0.55469507,0.40979126,0.69803256,4501
gdT,-0.09676819,0.20321956,-0.018781824,11121
gdT_naive,-0.30351132,0.18706244,-0.24308535,1188
